"name","id","uuid:ID","instanceType","description","label"
"E1","Encounter_1","7a9f01cb-77ec-4dd7-a784-31dc5df2c8e1","Encounter","Screening encounter","Screening 1"
"E2","Encounter_2","7e077b7f-3365-4e0e-9eb9-b99346659baf","Encounter","Screening encounter - Ambulatory ECG Placement","Screening 2"
"E3","Encounter_3","c3cc7b5e-28c7-495c-aa74-409fce8e65d2","Encounter","Baseline encounter - Ambulatory ECG Removal","Baseline"
"E4","Encounter_4","1423ef69-5763-43d3-94bd-e9f5eba8b90a","Encounter","Day 14","Week 2"
"E5","Encounter_5","67920483-658f-4168-bb97-4491a90f0280","Encounter","Day 28","Week 4"
"E7","Encounter_6","0af1c3b4-c5e0-4ef2-a3cd-21601861c553","Encounter","Day 42","Week 6"
"E8","Encounter_7","0963d5d7-93a7-4f2f-add7-09326b49ed3f","Encounter","Day 56","Week 8"
"E9","Encounter_8","cde83f60-0c15-4581-84cb-28936e9ef7ec","Encounter","Day 84","Week 12"
"E10","Encounter_9","d74938af-cb2b-4db3-bf67-0b0bb0b5f8c5","Encounter","Day 112","Week 16"
"E11","Encounter_10","0c69d37b-fc97-480a-bf44-cdac6ceb91de","Encounter","Day 140","Week 20"
"E12","Encounter_11","7dcc4df2-d86d-4bda-847d-36a7dcb7c6be","Encounter","Day 168","Week 24"
"E13","Encounter_12","a48c5cb5-1ffd-43d2-9563-722ba403e9ed","Encounter","Day 182","Week 26"
