"synonyms","name","id","uuid:ID","reference","instanceType","label"
"['Temperature']","Body Temperature","BiomedicalConcept_20","00a61417-ba32-4e47-8f66-80231bf8dbbb","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature"
"['Weight']","Body Weight","BiomedicalConcept_21","a57a1313-66c9-43d2-8398-8804c9e517c9","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight"
"['Height']","Body Height","BiomedicalConcept_22","9c5a6d77-0a2c-48a2-a334-33b3cc732473","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_23","281ed5ec-a8a7-4d98-8669-3e928904f72a","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement"
"['Albumin']","Albumin Measurement","BiomedicalConcept_24","3a10e936-fb1e-489d-97da-47a4644cbe03","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_25","f0f29492-142a-4850-893e-bf2c07ef9dc9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","f82fb655-2a68-4b86-88cb-18611777134d","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_27","6f7d9dc5-7910-412c-92f0-e67ebdb201ff","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_28","2df8f039-90c4-4967-bfa9-4567a2948164","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_29","4a31f4ee-4843-413a-b035-cd62ef5567f6","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","Sodium Measurement"
"['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","9f6912d0-bfaf-4584-b246-0afdfc92adaf","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept","Adverse Event"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","96251fbf-967d-464e-8739-f39b746f04d5","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","13ba83d4-414c-41cf-97ad-3db06fadc55d","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure"
"['Temperature']","Body Temperature","BiomedicalConcept_4","9638996a-ed7c-428d-84e2-0e1dcd02fb11","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature"
"['Weight']","Body Weight","BiomedicalConcept_5","df10b841-acd7-413f-b19f-76a6b0f4d9c8","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight"
"['Height']","Body Height","BiomedicalConcept_6","10202c97-935d-4bb3-8401-ba0355b8f495","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","fe0ee9c1-9b30-4cd3-9e81-83382a50daf2","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement"
