"name","id","uuid:ID","instanceType","description","label"
"Informed consent","Activity_1","027125b7-1e46-4c99-8d45-1ea168784c9a","Activity","",""
"Inclusion/exclusion criteria","Activity_2","a64f1fa8-d8bc-43b9-b3ab-243d48169f42","Activity","",""
"Patient number assigned","Activity_3","74671814-b239-430a-9dc7-c0335618af7f","Activity","",""
"Demographics","Activity_4","af32ac0c-267e-41f6-a876-cc01ea602279","Activity","","Demographics"
"Hachinski","Activity_5","7a810779-928c-4001-a247-f178d330195d","Activity","","Hachinski"
"MMSE","Activity_6","9bb93dc0-6ada-4884-ad9c-c39012151e30","Activity","","MMSE"
"Physical examination","Activity_7","1775d744-cf8f-48ef-bb7c-b15b39be3923","Activity","",""
"Medical history","Activity_8","5cecffdb-3af4-4070-af30-c4c9be325731","Activity","",""
"Habits","Activity_9","a55ecae5-ac9f-4cdc-a6aa-f506c5f04c66","Activity","",""
"Chest X-ray","Activity_10","a20c0581-59a9-45d0-a730-4775eef65ce7","Activity","",""
"Apo E genotyping","Activity_11","dddac054-51e5-46da-80a5-9764f512373d","Activity","",""
"Patient randomised","Activity_12","95228c61-c97b-4149-8451-dd22ac735970","Activity","",""
"Vital signs / Temperature","Activity_13","95ec19c5-7930-481a-a57b-7fe45822507d","Activity","","Vital Signs and Temperature"
"Ambulatory ECG placed","Activity_14","5edc1910-f83c-408c-a791-3fd62bfffeff","Activity","",""
"Ambulatory ECG removed","Activity_15","22d065ec-6f31-4873-89de-10cfd18d782c","Activity","",""
"ECG","Activity_16","a352bd15-5175-425a-9a47-1aba3903f15f","Activity","",""
"Placebo TTS test","Activity_17","e69e5a78-528d-44f6-93e6-2a51215bf932","Activity","",""
"CT scan","Activity_18","1ecfb2ac-d390-439e-ac8f-3ed3e0eff986","Activity","",""
"Concomitant medications","Activity_19","b738201c-7384-44ad-b20b-36edebb3d93f","Activity","",""
"Hematology","Activity_20","126380c4-1c24-4f6d-a6d5-73f30c078a72","Activity","",""
"Chemistry","Activity_21","01c2efb8-aa19-4602-9d70-d65796df21e2","Activity","",""
"Uninalysis","Activity_22","492833c1-2ce0-4250-85e3-7ac390b2dc18","Activity","",""
"Plasma Specimen (Xanomeline)","Activity_23","8a20cecf-e8a7-497e-ae5d-8820746a64b8","Activity","",""
"Hemoglobin A1C","Activity_24","a4968ba2-7260-4fb8-b38e-c31495ade7ad","Activity","",""
"Study drug","Activity_25","d15669cb-4895-4974-9aa8-8fe38e066125","Activity","","Study drug record , Medications dispensed, Medications returned"
"TTS Acceptability Survey","Activity_26","ee5ae437-cdc7-4b17-80b9-79cdb886c59f","Activity","",""
"ADAS-Cog","Activity_27","17967142-0fb8-4c74-9d8a-71a72d82b612","Activity","",""
"CIBIC+","Activity_28","15f7d64d-aacf-43ac-bdd6-5211a0406f8a","Activity","",""
"DAD","Activity_29","30476f26-b106-4522-9afa-970a07a2d4b1","Activity","",""
"NPI-X","Activity_30","0c16b28b-aa77-4caf-bebd-0bedc51712fb","Activity","",""
"Adverse events","Activity_31","aa736bb9-ef22-4b78-9ffd-684c71a73ba4","Activity","",""
"Check adverse events","Activity_32","aee2d926-d271-4e55-96ca-70f01e7ac5c5","Activity","",""
"Supine","Activity_33","c76733ea-fe36-4faf-8825-ad6f89842a9f","Activity","","Subject supine"
"Vital Signs Supine","Activity_34","376f1456-f12e-4154-965a-63a20385ddcc","Activity","","Vital signs while supine"
"Stand","Activity_35","f8f19e08-882f-4ddd-980b-0faf2325f99f","Activity","","Subject Standing"
"Vital Signs Standing","Activity_36","f02d6e73-7991-4ccc-a22e-ab9a2f6ed8a6","Activity","","Vital signs while standing"
