"id","uuid:ID","decode","codeSystemVersion","instanceType","codeSystem","code"
"Code_1","44b0c4ca-c310-47c4-9dbb-4f787834b169","Interventional Study","2023-09-29","Code","http://www.cdisc.org","C98388"
"Code_2","5b1566a4-9e65-48b5-a9f6-6a20feab1896","Phase II Trial","2023-09-29","Code","http://www.cdisc.org","C15601"
"Code_9","b761ac87-40a9-45b6-aa9e-d4557b89b10c","Sponsor Approval Date","2023-09-29","Code","http://www.cdisc.org","C132352"
"Code_10","2e92fca1-d086-45bb-b0c1-7e6abc34cbff","Global","2023-09-29","Code","http://www.cdisc.org","C68846"
"Code_72","a372cef5-1a1b-4b92-babc-f75f1aff8eb2","IRB/IEC Feedback","2023-09-29","Code","http://www.cdisc.org","C99904x3"
"Code_73","6cf8886b-9289-42be-91c9-043605ee0144","Other","2023-09-29","Code","http://www.cdisc.org","C17649"
"Code_75","33bc711b-6bab-428e-960e-6a50b9200af4","Region","2023-09-29","Code","http://www.cdisc.org","C41129"
"Code_74","1a866598-6170-4f81-ad6c-bb7bf3937148","Europe","2020-08","Code","ISO 3166 1 alpha3","150"
"Code_4","31770ed2-977b-49d7-967d-4e081a3a11cc","Eli Lilly","12","Code","SPONSOR","PHARMA"
"Code_76","b3b7d1ac-4cf3-4e59-a268-b8a3a15f7ec7","Clinical Study Sponsor","2023-09-29","Code","http://www.cdisc.org","C70793"
"Code_77","4f141ef9-1f3a-414b-9c39-1e13e240d876","Denmark","2020-08","Code","ISO 3166 1 alpha3","DNK"
"Code_78","319a7897-035b-4b5f-8e91-7a28614c3d86","Study Registry","2023-09-29","Code","http://www.cdisc.org","C93453"
"Code_136","75b0a26a-3084-474a-85d1-ce1f25036f23","Treatment Study","2023-09-29","Code","http://www.cdisc.org","C49656"
"Code_137","e6693faa-e838-4875-a95e-cae6063f1f56","Efficacy Study","2023-09-29","Code","http://www.cdisc.org","C49666"
"Code_138","edd875ff-0caf-4813-a617-3a5cbfcffb53","Safety Study","2023-09-29","Code","http://www.cdisc.org","C49667"
"Code_139","a74bbbc9-515c-4a90-99f2-72a6f07afbb2","Pharmacokinetic Study","2023-09-29","Code","http://www.cdisc.org","C49663"
"Code_133","a45c4e42-5944-45da-ab88-68f391f1614c","Mild to Moderate Alzheimer's Disease","12","Code","SPONSOR","MILD_MOD_ALZ"
"Code_134","1d496e20-a7ad-481a-9b75-1db9042a7f34","Alzheimer's disease","January 31, 2018","Code","SNOMED","26929004"
"Code_142","b63d02a9-b1f2-4953-96f0-cf9dae294f33","EXTENSION","2023-09-29","Code","http://www.cdisc.org","C99907x1"
"Code_143","bd4864b4-ea49-452a-9bac-191e9793cf49","ADAPTIVE","2023-09-29","Code","http://www.cdisc.org","C98704"
"Code_140","178e3855-0ef7-40e3-8639-7bfa16c869fa","Parallel Study","2023-09-29","Code","http://www.cdisc.org","C82639"
"Code_82","89f45f34-8852-4604-bf31-a2d5f0b20c6b","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_83","3a6aec27-5007-4369-beb7-479d288455c5","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_84","23003e65-0e2c-4240-96b5-b8302209dbce","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_85","996769c7-0c13-4a68-81a1-065c5eedfd58","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_86","dce29ba6-1706-4e9c-9447-cc1003c9aef3","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_87","fd09c23c-41c1-4bfe-b37a-5a916310e963","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_88","1d428355-7462-4e1c-9897-c402cd5877a3","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_89","cf20b52f-4ba2-4ff1-9828-940c99d5d500","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_90","4db59d3b-b247-43b9-80fb-c4fa4a025377","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_91","e9aaa89f-df81-4fe6-893a-d114289e8890","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_92","b27de6f1-ef45-4a23-99bb-f9050fc4aff4","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_93","5770bbfa-b100-4304-a5af-fad58017afeb","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_94","9dfba27e-5cb7-4ae6-bb2a-54e1af022db2","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_95","3acb9b8c-f6ef-4289-9e17-1cfc21d7096f","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_96","cc780671-02d3-4edb-a25b-887a8a7bd1ae","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_97","ce766df9-af96-4976-b460-a8d879fa6372","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_98","1dab7f09-c4bd-4707-a0a7-7d3572f8bd09","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_99","66e40d5e-59b2-4651-b9bc-e588ea51e979","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_100","0cb0cbe0-e1cf-4093-ac1b-ed75f4b1138b","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_101","f14df943-43e0-4619-bef2-d9ab33b37a92","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_102","0c2fda3d-37ae-4d7d-bb2b-fff5438802d2","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_103","e4144f12-f5c7-47e7-aef2-0d7ee2da2d64","Telephone Call","2023-09-29","Code","http://www.cdisc.org","C171537"
"Code_104","60db3e43-5056-4783-874a-23b9efddc213","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_105","3f38b244-cabb-47ba-8948-c1808a60aabf","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_106","38e93a12-05ac-4a92-8695-33cb81999c07","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_107","f27967eb-b460-4302-9783-91fed23a161e","Telephone Call","2023-09-29","Code","http://www.cdisc.org","C171537"
"Code_108","8fcb258f-2b10-46af-bc46-b1275d3fde3c","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_109","8d87f29f-ea33-41b1-a251-da98d8d8dbf2","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_110","d5c9f2af-c629-4b9d-9bd6-78c5086dd803","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_111","5d7ab455-ec4e-4f9d-9941-8d2e79cf7f2c","Telephone Call","2023-09-29","Code","http://www.cdisc.org","C171537"
"Code_112","24828744-7b2e-4270-82f0-06e26ead1cb0","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_113","1054c376-0747-4368-a3b8-5c5c8ebcef68","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_114","1754faa4-14a5-4ee6-9da6-20a4e48698f0","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_115","281448be-b4b6-4031-b497-af358aac1d12","Telephone Call","2023-09-29","Code","http://www.cdisc.org","C171537"
"Code_116","96c19734-36a5-4ab5-bfb6-da101183afaf","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_117","56e0b8ea-2e72-470d-af1e-e73711211b2d","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_118","5c2bc26a-00bf-4bae-b21d-5745b1167e69","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_119","e8609f13-4e69-4d9c-a5e4-84082ea24214","Visit","2023-09-29","Code","http://www.cdisc.org","C25716"
"Code_120","da20b6ea-28f4-4d4f-b2e7-0b9838c72f3c","Clinic","2023-09-29","Code","http://www.cdisc.org","C51282"
"Code_121","fdeeeb39-bd43-40a6-9c62-2516998e2628","In Person","2023-09-29","Code","http://www.cdisc.org","C175574"
"Code_79","595453dd-a21c-432f-9127-ead5382f2560","CT of head without contrast","January 31, 2018","Code","SNOMED","383371000119108"
"Code_80","3c602577-8258-4e43-8c40-ab21b12fb336","Subject Supine","12","Code","SPONSOR","123"
"Code_81","08829272-709d-4c5a-9ec6-fb05be5b3af6","Subject Standing","12","Code","SPONSOR","124"
"Code_278","81d44184-b5eb-4287-9a2e-546fd5f39499","Vital Signs Result","","Code","NCI Thesaurus","C173522"
"Code_279","f21f17ef-d510-448d-bc15-a5486ce1462c","Kelvin","2023-09-29","Code","http://www.cdisc.org","C42537"
"Code_280","c9a7f722-e615-4f84-a854-1b0144a8a51a","Unit of Temperature","","Code","NCI Thesaurus","C44276"
"Code_281","169881b3-500c-44e0-bfa9-035e168bf5d4","Vital Signs Location","","Code","NCI Thesaurus","C83088"
"Code_277","a2a8571f-9d44-4b08-97e1-8a330040b2d5","Body Temperature","","Code","NCI Thesaurus","C174446"
"Code_283","a6f0e5bf-d9a7-49d3-9d40-15a885fa862a","Vital Signs Result","","Code","NCI Thesaurus","C173522"
"Code_284","6bb234cd-bb5a-47c9-a1a6-199b157ce86f","Kilogram","2023-09-29","Code","http://www.cdisc.org","C28252"
"Code_285","e239b17d-0f78-4682-bc18-6d914c5a1b32","Gram","2023-09-29","Code","http://www.cdisc.org","C48155"
"Code_286","1098750b-de46-4225-ab45-3fcf352f4aa3","Pound","2023-09-29","Code","http://www.cdisc.org","C48531"
"Code_287","cabd7ea5-c0b2-43da-8a40-9201bc8bf356","Unit of Weight","","Code","NCI Thesaurus","C48208"
"Code_282","5bf26f9c-adab-467c-aea8-8cfd563b7324","Body Weight","","Code","NCI Thesaurus","C81328"
"Code_289","9fad48fe-68c5-4ffe-947b-9aeeb3dec8e8","Vital Signs Result","","Code","NCI Thesaurus","C173522"
"Code_290","5d0bd5e4-7d0e-44a8-93da-c5b963f8a208","Centimeter","2023-09-29","Code","http://www.cdisc.org","C49668"
"Code_291","7ef87741-d321-4aeb-a53d-af31150a3779","Inch","2023-09-29","Code","http://www.cdisc.org","C48500"
"Code_292","4dc12600-73aa-4413-a162-a7c5286c0ac6","Millimeter","2023-09-29","Code","http://www.cdisc.org","C28251"
"Code_293","c957784e-e121-4e1b-9fe7-825cae37327a","Meter","2023-09-29","Code","http://www.cdisc.org","C41139"
"Code_294","37b303b3-31f8-4656-9f2e-62dc522df28f","Unit of Height","","Code","NCI Thesaurus","C168688"
"Code_288","34fa09da-23d1-47ce-8675-0e36866fb987","Body Height","","Code","NCI Thesaurus","C164634"
"Code_296","efa588de-f5b6-42c5-8349-214e8be5aa9b","Laboratory Test Result","","Code","NCI Thesaurus","C36292"
