"name","id","datatype","uuid:ID","instanceType","isEnabled","label","isRequired"
"Vital Signs Result","BiomedicalConceptProperty_98","decimal","626b2a48-d9ea-409f-93bb-a177079a98a6","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Temperature","BiomedicalConceptProperty_99","string","abc0de3e-036a-44cd-b75a-9dcf7ac58a95","BiomedicalConceptProperty","True","Unit of Temperature","True"
"Vital Signs Location","BiomedicalConceptProperty_100","string","94945fc9-62f3-4b65-a6ed-00e1b2b2d8cd","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Result","BiomedicalConceptProperty_101","decimal","9c1c489c-620a-4013-a038-b6ff12aca199","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Weight","BiomedicalConceptProperty_102","string","cfa2f776-1d5f-485f-80ef-ade4d5067b6a","BiomedicalConceptProperty","True","Unit of Weight","True"
"Vital Signs Result","BiomedicalConceptProperty_103","decimal","a6d5855f-d791-4188-8549-a5a704d459de","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Height","BiomedicalConceptProperty_104","string","94b9f15e-b2d2-427c-8d44-43b22b45d397","BiomedicalConceptProperty","True","Unit of Height","True"
"Laboratory Test Result","BiomedicalConceptProperty_105","decimal","be7c1d0e-cf4d-4f81-900d-5b07b6ddaf82","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_106","boolean","bb88f656-ed66-41aa-8ae4-0beb5dde0fbf","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","string","9044c81c-2be0-4fbf-aef3-42503b696d3e","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_108","string","5980002d-787c-4386-b3dd-716a266d0b38","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_109","string","f619a01d-8a44-491a-b813-213fdb5f3fb7","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_110","boolean","11f3012c-8229-4696-8761-640696103224","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Concentration","BiomedicalConceptProperty_111","string","8307423a-4bbf-4fa4-ad50-e5d6f07654fd","BiomedicalConceptProperty","True","Unit of Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_112","string","681d1488-4a43-4567-a42a-d91c519ca589","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_113","decimal","cebd36db-fd87-40f4-b232-0a660e2cb901","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_114","boolean","b4bd2802-37a5-4397-875a-689587da86e6","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_115","string","efd72743-11d2-490f-b37e-f6997dc6f3d9","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_116","string","fc2b197c-b1c5-4503-87fd-334840cbe683","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_117","decimal","edb6eb41-eca7-437f-963a-a9382fc99ecf","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_118","boolean","2e6682b9-642c-4199-8929-838879668b0d","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_119","string","f44cb5ff-e80d-47dc-b6f9-53e609297fc3","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_120","string","69f31dba-edb8-4d10-87db-42e5f19c11e4","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_121","string","289d0692-14ab-4338-9213-ffe434e8d119","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_122","boolean","59f2c4b7-ada6-40dc-8141-34db420592e2","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Concentration","BiomedicalConceptProperty_123","string","d4f4e8d9-7172-4e5d-8fa9-55cd71e43b59","BiomedicalConceptProperty","True","Unit of Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_124","string","23916ed4-35c0-4971-bab2-d3dcfb7a711b","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_125","decimal","758896a2-52a0-4240-a318-76c080a31cb6","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_126","boolean","19758064-a572-4898-96a3-848cc5becb6c","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Molarity Unit","BiomedicalConceptProperty_127","string","5f25b1f4-7242-4426-85c0-77475dc67cdf","BiomedicalConceptProperty","True","Molarity Unit","True"
"Biospecimen Type","BiomedicalConceptProperty_128","string","e0ace335-83c6-41fc-8774-1714b9d52e4e","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_129","decimal","fba74d7f-8966-40da-b792-2ec661d383cc","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_130","boolean","26adf2ee-c65e-4f66-a824-3e0a3fe50109","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Molarity Unit","BiomedicalConceptProperty_131","string","378646fc-b126-4555-9ba0-6016affa331d","BiomedicalConceptProperty","True","Molarity Unit","True"
"Biospecimen Type","BiomedicalConceptProperty_132","string","7bd9595a-279d-4534-9d69-3af4afba7da3","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Adverse Event Verbatim Description","BiomedicalConceptProperty_1","string","fdcdb90b-d0af-42d2-b3e3-d7058193d87b","BiomedicalConceptProperty","True","Adverse Event Verbatim Description","True"
"Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","string","4f232439-66cd-48d6-8934-4be589ac316c","BiomedicalConceptProperty","True","Adverse Event Dictionary Derived Term","True"
"Adverse Event Category","BiomedicalConceptProperty_3","string","1879019b-7275-4de6-91a7-f5b26d8ba369","BiomedicalConceptProperty","True","Adverse Event Category","True"
"Adverse Event Subcategory","BiomedicalConceptProperty_4","string","fb8e2160-0872-4e49-b1f2-403e5832f17e","BiomedicalConceptProperty","True","Adverse Event Subcategory","True"
"Adverse Event Pre-specified","BiomedicalConceptProperty_5","boolean","182291ca-d6d2-4efa-b07d-21fe50c14a67","BiomedicalConceptProperty","True","Adverse Event Pre-specified","True"
"Severity of Adverse Event","BiomedicalConceptProperty_6","string","b51f9911-acb3-49b1-ae0b-83b45502b896","BiomedicalConceptProperty","True","Severity of Adverse Event","True"
"Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","string","767a9fcc-7c4c-47ab-83b7-f3ec56b8650d","BiomedicalConceptProperty","True","Adverse Event Toxicity Grade","True"
