"name","window","id","uuid:ID","windowLower","instanceType","description","label","value","windowUpper"
"TIM1","","Timing_1","a4b514d0-9a01-48d1-ba92-0f626f68c007","","Timing","Screening timing","Screening","P2W",""
"TIM2","-4..0 hours","Timing_2","aadb147e-072a-47c6-b337-bff05750fd35","PT4H","Timing","Pre dose timing","Pre dose","P2D","PT0H"
"TIM3","","Timing_3","84c8494c-1643-44f9-ae79-76c855ea808b","","Timing","Dosing anchor","Dosing","P1D",""
"TIM4","-3..3 days","Timing_4","62e1d75f-05b2-410d-aa86-102d54e24aa8","P3D","Timing","Week 2 timing","Week 2","P2W","P3D"
"TIM5","-3..3 days","Timing_5","70b389c6-4e6c-4f09-b743-493e3dfe772b","P3D","Timing","Week 4 timing","Week 4","P4W","P3D"
"TIM6","-3..3 days","Timing_6","2b9bb930-304f-4a39-87ae-3e4ee45a913c","P3D","Timing","Week 6 timing","Week 6","P6W","P3D"
"TIM7","-3..3 days","Timing_7","c507a557-17ee-4b22-af02-6d46c493cece","P3D","Timing","Week 8 timing","Week 8","P8W","P3D"
"TIM9","-4..4 days","Timing_9","3b310a67-3d3b-4576-8b48-3a4c3cf59acc","P4D","Timing","Week 12 timing","Week 12","P12W","P4D"
"TIM11","-4..4 days","Timing_11","5b1b8273-404c-4e55-b4fd-f2d704bdf175","P4D","Timing","Week 16 timing","Week 16","P16W","P4D"
"TIM13","-4..4 days","Timing_13","719902a2-841e-4e8c-a3e2-a1ee2c4dbade","P4D","Timing","Week 20 timing","Week 20","P20W","P4D"
"TIM15","-4..4 days","Timing_15","2a0de0df-6f03-4701-9453-1b07f7420d13","P4D","Timing","Week 24 timing","Week 24","P24W","P4D"
"TIM16","-3..3 days","Timing_16","7a4d679d-f03f-48a2-b736-7a1eb28c20dc","P3D","Timing","Week 26 timing","Week 26","P26W","P3D"
"TIM8","","Timing_8","b3b76f88-c918-429a-9cad-9a0f1f0ccf3e","","Timing","Week 8 at home timing","Week 8 Home","P2W",""
"TIM10","","Timing_10","e50a1e13-e77d-4b46-8ae5-668eb897af0c","","Timing","Week 12 at home timing","Week 12 Home","P2W",""
"TIM12","","Timing_12","26557238-b197-4ab5-b689-a431167f1245","","Timing","Week 16 at home timing","Week 16 Home","P2W",""
"TIM14","","Timing_14","8c4f4f49-9c37-4c98-a511-3616ef3a8d51","","Timing","Week 20 at home timing","Week 20 Home","P2W",""
"TIM17","","Timing_17","68638901-ecc1-4e8e-97d1-61fea613ac82","","Timing","Adverse Event","Adverse Event","P1D",""
"TIM18","","Timing_18","f484dfbb-79b4-4a6c-8624-df747b2c7ff8","","Timing","Early Termination","Early Termination","P1D",""
"TIM19","","Timing_19","e36b295d-a4a1-4347-bec2-e9c6a0eb62cd","","Timing","Supine","Supine","PT0M",""
"TIM20","","Timing_20","23f6336a-3f2e-4d80-9654-5c60eadefe1d","","Timing","VS while supine","VS while supine","PT5M",""
"TIM21","","Timing_21","9351e822-6f30-49bb-a6db-6f7f9486202d","","Timing","Standing","Standing","PT0M",""
"TIM22","","Timing_22","26e734c5-22f4-4bce-8e39-69bb47eedca0","","Timing","VS while standing","VS while standing","PT1M",""
"TIM23","","Timing_23","7a9e86d0-fb9c-4e61-83dc-1a567d25872b","","Timing","Standing","Standing","PT0M",""
"TIM24","","Timing_24","909cbde0-c7f8-4b64-99fb-de6fd3f071b1","","Timing","VS while standing","VS while standing","PT2M",""
