"id:ID","label","uuid","description","name","text","id"
"480","","cac950e4-716e-4974-ad71-421ab3f7eaa0","","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1"
"481","","ca9a433c-39cb-4e1c-89e1-beec1e6be2e7","","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2"
"482","","7944636c-3516-41fd-b192-88d3e093b296","","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"483","","78685ab3-66cb-4fe1-9db1-5fe9de9be196","","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"484","","0dd60e9d-82c8-4032-94a7-5c38db3eec1b","","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5"
"485","","e5cd4a41-360f-4e93-a4b0-c2fe2c7f9aab","","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6"
"486","","de44c218-0cc6-4e9e-a906-eff77b0bdef4","","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7"
"487","","87d5dae5-ff67-4c6d-9aa8-8acdee74b6c0","","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"488","","6a24f003-192e-42e3-98f4-f96a0c1bbc5f","","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9"
"489","","fc183c7e-855e-446b-91db-f01d333543ba","","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"490","","bef1687b-3c3b-4d3a-a41c-52b39426bbec","","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"491","","a8d02486-7945-447f-a723-34e4c7b1d124","","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10"
"492","","ff8630ae-93fb-40c1-b4fe-5f6ed3fc1654","","ELEMENT_START_RULE_4","Randomized","TransitionRule_11"
"493","","bbe02f2a-6c6f-4136-9f04-f742eb637d2f","","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"494","","59d0af85-4eb5-44dd-9bcc-104bb246e09d","","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
