"id:ID","uuid","sectionTitle","name","sectionNumber","text","id"
"822","8e5f448a-daa8-435f-9611-0b7730ee8e90","Root","ROOT","0","","NarrativeContent_1"
"823","735f750c-a7ae-45b4-9a36-6f8c65347b85","TITLE PAGE","SECTION 0","0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2"
"824","a03fcb4f-97da-4112-b588-684e9a95634b","PROTOCOL SUMMARY","SECTION 1","1","<div></div>","NarrativeContent_3"
"825","52fb3eb9-a441-4055-8f4b-304a5d04ded3","Protocol Synopsis","SECTION 1.1","1.1","<div></div>","NarrativeContent_4"
"826","f6e165be-cc72-44ca-b463-26f5730715e6","Trial Schema","SECTION 1.2","1.2","<div></div>","NarrativeContent_5"
"827","21395e39-f40c-43d8-a221-369c87173384","Schedule of Activities","SECTION 1.3","1.3","<div></div>","NarrativeContent_6"
"828","76aafa50-d815-4fa5-bb62-05cffde44a48","INTRODUCTION","SECTION 2","2","<div></div>","NarrativeContent_7"
"829","450fe3cf-cbe0-4fd0-ae06-e3b76df113c9","Purpose of Trial","SECTION 2.1","2.1","<div></div>","NarrativeContent_8"
"830","7134af3c-51a7-45c4-ab16-c1b3a342ed1b","Summary of Benefits and Risks","SECTION 2.2","2.2","<div></div>","NarrativeContent_9"
"831","f24e38aa-ffff-47fb-b9dc-34ebf80f8865","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","3","<div></div>","NarrativeContent_10"
"832","4605130c-4315-4184-b270-0a384ef2412a","Primary Objectives","SECTION 3.1","3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11"
"833","48e7acb2-6360-4571-8044-4204d2c513ee","TRIAL DESIGN","SECTION 4","4","<div></div>","NarrativeContent_12"
"834","362e8e60-f3c9-4d2b-9454-9764cd3bc893","Description of Trial Design","SECTION 4.1","4.1","<div></div>","NarrativeContent_13"
"835","de9ccc82-6c49-493c-8379-2e702c226763","Participant Input into Design","SECTION 4.1.1","4.1.1","<div></div>","NarrativeContent_14"
"836","933ea5bc-96c7-42d7-b035-6be7c02b3ed8","Rationale for Trial Design","SECTION 4.2","4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15"
"837","635dd533-e5cb-4266-a99f-6e4982f121c1","Rationale for Comparator","SECTION 4.2.1","4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16"
"838","2ecaf27c-8617-4088-837e-d73bf6c914a3","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","4.2.2","<div></div>","NarrativeContent_17"
"839","0dca3207-66ad-4a53-8435-64b28f082f91","Other Trial Design Considerations","SECTION 4.2.3","4.2.3","<div></div>","NarrativeContent_18"
"840","f45b9dec-1e48-4ffa-9780-2793d84a1313","Access to Trial Intervention After End of Trial","SECTION 4.3","4.3","<div></div>","NarrativeContent_19"
"841","7c06e451-ddca-4b47-96a2-79c5aa019f33","Start of Trial and End of Trial","SECTION 4.4","4.4","<div></div>","NarrativeContent_20"
"842","597e0dc9-b9ee-4819-b5c4-22fde55e73f3","TRIAL POPULATION","SECTION 5","5","<div></div>","NarrativeContent_21"
"843","c4e8185b-b56b-4d6f-b6c5-0eaea3530da0","Selection of Trial Population","SECTION 5.1","5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22"
"844","b287a80e-1f51-49b3-a596-d85582785a7a","Rationale for Trial Population","SECTION 5.2","5.2","<div></div>","NarrativeContent_23"
"845","1afd3ec6-17db-42ce-82df-006d6d333e28","Inclusion Criteria","SECTION 5.3","5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24"
"846","29a0ad5a-214b-48a6-bdb8-829a170dd8c8","Exclusion Criteria","SECTION 5.4","5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25"
"847","c99aaf31-9c62-4c38-b990-64d73aca75ce","Lifestyle Considerations","SECTION 5.5","5.5","<div></div>","NarrativeContent_26"
