"id:ID","uuid","codeSystemVersion","code","codeSystem","decode","id"
"1","a72933a0-27ab-4ef3-b1bf-09f8498d010d","2023-09-29","C98388","http://www.cdisc.org","Interventional Study","Code_1"
"2","85e1e323-1ee4-4188-9fca-0b2ea5b0a050","2023-09-29","C15601","http://www.cdisc.org","Phase II Trial","Code_2"
"3","b5aab0c9-9c21-4a39-b931-09591c6f15a9","2023-09-29","C132352","http://www.cdisc.org","Sponsor Approval Date","Code_5"
"4","abd9c9ee-1a3e-4f9d-8f6d-b60b6549b1d7","2023-09-29","C68846","http://www.cdisc.org","Global","Code_6"
"5","4fbd66d2-4120-480c-ab12-c1a302fae7fe","2023-09-29","C99904x3","http://www.cdisc.org","IRB/IEC Feedback","Code_54"
"6","d89881b4-ea39-4e03-a149-23ec0a5d2c75","2023-09-29","C17649","http://www.cdisc.org","Other","Code_55"
"7","de63bc90-b31d-4480-bded-53ba4d2edbdd","2023-09-29","C41129","http://www.cdisc.org","Region","Code_57"
"8","2de0f6df-190d-4d32-a9b8-81c29c3ce8c1","2020-08","150","ISO 3166 1 alpha3","Europe","Code_56"
"9","42392d6e-7cbf-44c8-bbe5-0b039bc8257a","2023-09-29","C25464","http://www.cdisc.org","Country","Code_59"
"10","bfaf6a34-2833-4a64-9642-20b0a186d861","2020-08","DNK","ISO 3166 1 alpha3","Denmark","Code_58"
"11","8fac5b7b-b270-4714-b4ce-2f6e3a63b102","12","PHARMA","SPONSOR","Eli Lilly","Code_3"
"12","e5722882-c6a6-42a2-b1b2-618a64b2b50e","2023-09-29","C70793","http://www.cdisc.org","Clinical Study Sponsor","Code_60"
"13","06ff5a93-b7a3-461f-b018-ad9d66d741fd","2020-08","USA","ISO 3166 1 alpha3","United States of America","Code_61"
"14","b3a5cb05-bdc3-4fe7-9f7f-b414884dbdb9","2023-09-29","C93453","http://www.cdisc.org","Study Registry","Code_62"
"15","84c5126b-5f53-45ef-8b4d-2d37bab138fc","2023-09-29","C49656","http://www.cdisc.org","Treatment Study","Code_120"
"16","89151e16-f5b5-4322-b72a-84553523b507","2023-09-29","C49666","http://www.cdisc.org","Efficacy Study","Code_121"
"17","b2f2ccb7-6a06-4d43-a124-313dc43a663f","2023-09-29","C49667","http://www.cdisc.org","Safety Study","Code_122"
"18","1feef24a-fb3d-4cef-8a1d-8c0d9ae401c3","2023-09-29","C49663","http://www.cdisc.org","Pharmacokinetic Study","Code_123"
"19","98be7850-4bb0-46aa-85d5-50437823c2ca","12","MILD_MOD_ALZ","SPONSOR","Mild to Moderate Alzheimer\'s Disease","Code_117"
"20","0027702d-58c8-4475-a951-9bad712f6443","January 31, 2018","26929004","SNOMED","Alzheimer\'s disease","Code_118"
"21","a1cc8699-2175-4696-8fd7-572704346523","2023-09-29","C82639","http://www.cdisc.org","Parallel Study","Code_124"
"22","11fb95f8-1a35-4c07-a79f-bd8e34436c7f","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_66"
"23","dabd028f-0499-405e-a5c6-62a576764a53","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_67"
"24","dd304df6-dc09-4bbb-b1dd-a68e56d70dbd","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_68"
"25","479a7629-bce2-4ca1-88ea-fe9a18c1ed03","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_69"
"26","5f1f910d-2b44-4a00-b51f-d434163a751a","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_70"
"27","cf38a893-e7e5-4bc0-a8e0-9b868257abbf","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_71"
"28","324024ff-17a2-4ea4-8634-8a49a545cda2","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_72"
"29","97464a92-d31b-43a9-997f-f63e219799fc","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_73"
"30","a2d650c5-b1c2-4c6e-8b03-81f70f482078","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_74"
"31","4e6a0421-4b98-44f5-9f88-5b47e060bbaf","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_75"
"32","9675dab0-8bb3-4715-8c75-621b76ef2034","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_76"
"33","eab87142-915b-4411-a3a9-0120ffa29b50","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_77"
"34","3dc7cb68-b879-4cb3-8039-c3d29063cec8","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_78"
"35","03225f33-3d74-4575-832f-f0588a75db9f","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_79"
"36","d035583c-4b85-4e9b-923a-fe1fc20598bc","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_80"
"37","931d9c5d-6c05-49b1-8e90-e03b631be86a","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_81"
"38","a77f1897-2c68-4dcd-a78b-4f360c358fd6","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_82"
"39","c950278d-7e57-47c0-8e7c-1bad4d7249dc","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_83"
"40","e8e5a52c-7b40-42be-97f2-f9207f8a2410","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_84"
"41","cca73221-0834-4f0a-a6cf-0785c07b2f71","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_85"
"42","4ed9d589-c099-42a2-9e78-5e091039fb17","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_86"
"43","a01b4df3-a928-4d1c-b766-9a585f7f595e","2023-09-29","C171537","http://www.cdisc.org","Telephone Call","Code_87"
"44","c4bcee81-0fa1-4b98-8b59-2b1acfcbc389","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_88"
"45","49e5077e-cdb9-4886-bc3b-06bb12beb87f","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_89"
"46","0bf733e5-555f-4eb4-9236-ad29a2643d5c","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_90"
"47","8df1f528-cf48-4d1e-b457-c374280fe546","2023-09-29","C171537","http://www.cdisc.org","Telephone Call","Code_91"
"48","f519ec19-6cdb-4c6e-ae14-410d56503a05","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_92"
"49","93a55559-621b-40a4-86b0-110b720d40f5","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_93"
"50","aff8b71e-4e55-4b55-ab0d-83c829714ec5","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_94"
