"id:ID","label","uuid","transitionEndRule","transitionStartRule","description","name","id"
"495","Screening 1","95213b84-f8f0-441d-9ec6-b66676c03051","","","Screening encounter","E1","Encounter_1"
"496","Screening 2","d77d0994-cf57-4023-9bf1-53cd776b4521","","","Screening encounter - Ambulatory ECG Placement","E2","Encounter_2"
"497","Baseline","8ff89de5-4a16-4222-8169-879f01bf59bb","","","Baseline encounter - Ambulatory ECG Removal","E3","Encounter_3"
"498","Week 2","a86a40a2-4fa5-4403-9276-cc98c1af188f","","","Day 14","E4","Encounter_4"
"499","Week 4","274fecf2-1beb-4110-b9d7-17f48f1192fd","","","Day 28","E5","Encounter_5"
"500","Week 6","b0b9436e-4f1d-433d-a928-e7aa5c9378ed","","","Day 42","E7","Encounter_6"
"501","Week 8","fe9d88ec-b28c-40f2-acf3-5b09c70ef031","","","Day 56","E8","Encounter_7"
"502","Week 12","66c96323-bbe1-4be6-9ccc-74edb7bc0f90","","","Day 84","E9","Encounter_8"
"503","Week 16","079b0963-fd8c-40e5-8881-dbadd3f191dc","","","Day 112","E10","Encounter_9"
"504","Week 20","39ec8e4f-8b9c-4035-aed8-79f50e6c8974","","","Day 140","E11","Encounter_10"
"505","Week 24","ae7d98cd-e11d-469a-9239-d9206a65096e","","","Day 168","E12","Encounter_11"
"506","Week 26","95ec27f4-a91b-46b7-92ba-459737debc2f","","","Day 182","E13","Encounter_12"
