"id:ID","label","timingWindowUpper","timingWindowLower","uuid","timingWindow","description","name","timingValue","id"
"766","Screening","","","c04bc8d7-610d-409c-9f05-2d43d52a25bc","","Screening timing","TIM1","P2W","Timing_1"
"767","Pre dose","PT0H","PT4H","e1a1b13a-ffc6-4c63-990f-200039232d90","-4..0 hours","Pre dose timing","TIM2","P2D","Timing_2"
"768","Dosing","","","d7413aa6-9570-4026-9792-30c5903a0022","","Dosing anchor","TIM3","P1D","Timing_3"
"769","Week 2","P3D","P3D","b5422881-11ca-46a0-9491-ce21f45a2d34","-3..3 days","Week 2 timing","TIM4","P2W","Timing_4"
"770","Week 4","P3D","P3D","c7a70a41-09bf-466a-8312-90acd67c674f","-3..3 days","Week 4 timing","TIM5","P4W","Timing_5"
"771","Week 6","P3D","P3D","270e927a-6391-4b39-8196-d922bd78a77e","-3..3 days","Week 6 timing","TIM6","P6W","Timing_6"
"772","Week 8","P3D","P3D","79795b46-4dff-46d0-a452-fd2840824646","-3..3 days","Week 8 timing","TIM7","P8W","Timing_7"
"773","Week 8 Home","","","e92b1d4e-2ae4-4adb-a1b7-1b9f8e69a60c","","Week 8 at home timing","TIM8","P2W","Timing_8"
"774","Week 12","P4D","P4D","4f2cce7a-6f36-4ff8-a96a-aa30f4460465","-4..4 days","Week 12 timing","TIM9","P12W","Timing_9"
"775","Week 12 Home","","","7044b44b-ad2c-4f85-93f8-0d7c36586bff","","Week 12 at home timing","TIM10","P2W","Timing_10"
"776","Week 16","P4D","P4D","99449ca8-ad2a-4b78-a1e0-0c427e40c393","-4..4 days","Week 16 timing","TIM11","P16W","Timing_11"
"777","Week 16 Home","","","efa87b18-7e4f-48f0-81e0-ce47c82fd593","","Week 16 at home timing","TIM12","P2W","Timing_12"
"778","Week 20","P4D","P4D","8133e7fa-09ce-434f-9d66-cda3be10a92d","-4..4 days","Week 20 timing","TIM13","P20W","Timing_13"
"779","Week 20 Home","","","50b83b8f-8724-41a1-9f69-dda6d06910f8","","Week 20 at home timing","TIM14","P2W","Timing_14"
"780","Week 24","P4D","P4D","62260df5-9144-4011-9335-1e3771705b9a","-4..4 days","Week 24 timing","TIM15","P24W","Timing_15"
"781","Week 26","P3D","P3D","47f0d376-9fa2-476d-9e13-cb183ce5724d","-3..3 days","Week 26 timing","TIM16","P26W","Timing_16"
"782","Adverse Event","","","c96a52c1-a23f-4afe-ba50-f9524e35bcbe","","Adverse Event","TIM17","P1D","Timing_17"
"783","Early Termination","","","f7d5f2e0-a9f0-4bf1-a5af-acaea93d403f","","Early Termination","TIM18","P1D","Timing_18"
"784","BP Anchor","","","739f4b7a-34cb-435f-8c2b-bb32d268eab5","","BP Anchor","TIM19","PT0M","Timing_19"
"785","BP while Supine","","","684fca1f-9017-46b5-a017-4ee49fb32126","","BP while Supine","TIM20","PT5M","Timing_20"
"786","BP Stand Up","PT0M","PT2M","27cf33e4-2c26-4846-a1ca-39e5e0873c5b","-2..0 mins","BP Stand Up","TIM21","PT3M","Timing_21"
"787","BP while standing","","","f42d74d4-7ac6-46b4-ba94-4e7bcf9212d0","","BP while standing","TIM22","PT0M","Timing_22"
