"sectionNumber","id","text","uuid:ID","name","sectionTitle","instanceType"
"0","NarrativeContent_1","","508f90e3-b393-49d2-9fbb-9e36a82ac727","ROOT","Root","NarrativeContent"
"0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","ae327577-5c39-4e07-a174-0e6cc4067663","SECTION 0","TITLE PAGE","NarrativeContent"
"1","NarrativeContent_3","<div></div>","855a5405-f614-4027-831e-b7c759ec6a6f","SECTION 1","PROTOCOL SUMMARY","NarrativeContent"
"1.1","NarrativeContent_4","<div></div>","57c8c9bc-2f96-45cd-942e-3df52c3c5ac2","SECTION 1.1","Protocol Synopsis","NarrativeContent"
"1.2","NarrativeContent_5","<div></div>","099dd27e-8e0f-4616-b221-a56ad69984c4","SECTION 1.2","Trial Schema","NarrativeContent"
"1.3","NarrativeContent_6","<div></div>","6cb3c9bb-e529-417a-9cfa-485bb9f0599f","SECTION 1.3","Schedule of Activities","NarrativeContent"
"2","NarrativeContent_7","<div></div>","3a680bb6-80ce-4fd2-a719-23d11b444c1d","SECTION 2","INTRODUCTION","NarrativeContent"
"2.1","NarrativeContent_8","<div></div>","445b2e90-b180-45cf-8328-f9d70318f62f","SECTION 2.1","Purpose of Trial","NarrativeContent"
"2.2","NarrativeContent_9","<div></div>","4e180691-2632-4ae4-8f49-a6a1fd98d4d0","SECTION 2.2","Summary of Benefits and Risks","NarrativeContent"
"3","NarrativeContent_10","<div></div>","1c41d333-3d74-48d2-8912-b79194cd7706","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent"
"3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","d542866e-f1a2-4812-ab0e-dd78c9b8010e","SECTION 3.1","Primary Objectives","NarrativeContent"
"4","NarrativeContent_12","<div></div>","8adb66d7-1602-4a32-8ece-38cd9c55443a","SECTION 4","TRIAL DESIGN","NarrativeContent"
"4.1","NarrativeContent_13","<div></div>","96670060-8dbf-491c-8436-b0a77866b12a","SECTION 4.1","Description of Trial Design","NarrativeContent"
"4.1.1","NarrativeContent_14","<div></div>","acdcc2e4-e50b-4969-aa3a-d3cd438f94a5","SECTION 4.1.1","Participant Input into Design","NarrativeContent"
"4.2","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","600b9e4f-5022-485e-80ce-c2552ba214f4","SECTION 4.2","Rationale for Trial Design","NarrativeContent"
"4.2.1","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","870dbe94-9978-470d-be23-f45c61209517","SECTION 4.2.1","Rationale for Comparator","NarrativeContent"
"4.2.2","NarrativeContent_17","<div></div>","52328763-6e77-47bd-b102-c274a717fc97","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent"
"4.2.3","NarrativeContent_18","<div></div>","657a5bb9-e8c1-45b1-9e2b-b03f9a17460e","SECTION 4.2.3","Other Trial Design Considerations","NarrativeContent"
"4.3","NarrativeContent_19","<div></div>","7f06dd25-6881-4442-a0e8-a1b351758c11","SECTION 4.3","Access to Trial Intervention After End of Trial","NarrativeContent"
"4.4","NarrativeContent_20","<div></div>","443da4ef-2af0-46c8-9e00-fda0e4b56d8c","SECTION 4.4","Start of Trial and End of Trial","NarrativeContent"
"5","NarrativeContent_21","<div></div>","7524ffa4-5b49-4684-9c3b-26cec28c5427","SECTION 5","TRIAL POPULATION","NarrativeContent"
"5.1","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","29089fac-f1a0-4160-9d8e-3a053aae735a","SECTION 5.1","Selection of Trial Population","NarrativeContent"
"5.2","NarrativeContent_23","<div></div>","bcf72d80-8c37-4eca-84f3-e4d433e916ec","SECTION 5.2","Rationale for Trial Population","NarrativeContent"
"5.3","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","6f2dcd2e-e76c-4fd7-b215-1ab690c8ca82","SECTION 5.3","Inclusion Criteria","NarrativeContent"
"5.4","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","52a6d990-b495-403a-b133-9a9dcc1ec5e7","SECTION 5.4","Exclusion Criteria","NarrativeContent"
"5.5","NarrativeContent_26","<div></div>","01414779-d00d-44ef-a328-cbf3cee87d09","SECTION 5.5","Lifestyle Considerations","NarrativeContent"
"5.5.1","NarrativeContent_27","<div></div>","76910d6d-dd54-425c-b1c2-a6c469ff45cd","SECTION 5.5.1","Meals and Dietary Restrictions","NarrativeContent"
"5.5.2","NarrativeContent_28","<div><p>Not applicable</p></div>","f4adb9d1-a51d-4890-807b-f07a925f0b2e","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent"
"5.5.3","NarrativeContent_29","<div></div>","aff75d85-a55d-4b93-af59-1bba867fed2d","SECTION 5.5.3","Physical Activity","NarrativeContent"
"5.5.4","NarrativeContent_30","<div></div>","1f74f136-212c-4ccc-b3e4-d87b2b435ff5","SECTION 5.5.4","Other Activity","NarrativeContent"
"5.6","NarrativeContent_31","<div></div>","a887bcf7-c7ef-45ba-939e-37ac446f0a6e","SECTION 5.6","Screen Failures","NarrativeContent"
"6","NarrativeContent_32","<div></div>","c86f4cd4-1f34-45e9-aee6-b6e8a8dc1ac7","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent"
"6.1","NarrativeContent_33","<div></div>","5614f738-a2ce-4d5b-9d61-f03849efa454","SECTION 6.1","Description of Trial Intervention","NarrativeContent"
"6.2","NarrativeContent_34","<div></div>","1f44c25b-a772-4a68-9a49-61dbc2687a6d","SECTION 6.2","Rationale for Trial Intervention","NarrativeContent"
"6.3","NarrativeContent_35","<div></div>","41a9c4a9-b56c-4b99-98cd-db99143dbf46","SECTION 6.3","Dosing and Administration","NarrativeContent"
"6.3.1","NarrativeContent_36","<div></div>","0f6abcb5-6ad4-4363-9eeb-1c09f5e52884","SECTION 6.3.1","Trial Intervention Dose Modification","NarrativeContent"
"6.4","NarrativeContent_37","<div></div>","6d676f74-94dd-472b-88df-91bd4c3f4559","SECTION 6.4","Treatment of Overdose","NarrativeContent"
"6.5","NarrativeContent_38","<div></div>","e39ed694-2ccd-4fb2-863a-d1eb8f1666dd","SECTION 6.5","Preparation, Handling, Storage and Accountability","NarrativeContent"
"6.5.1","NarrativeContent_39","<div></div>","4fcf1393-a668-43f7-afc0-4579b6755bbc","SECTION 6.5.1","Preparation of Trial Intervention","NarrativeContent"
"6.5.2","NarrativeContent_40","<div></div>","c4c647b1-16e2-4fb3-b769-6ac84498fd57","SECTION 6.5.2","Handling and Storage of Trial Intervention","NarrativeContent"
"6.5.3","NarrativeContent_41","<div></div>","ae6cbd19-5fcf-4ac6-a50a-90b11a98960f","SECTION 6.5.3","Accountability of Trial Intervention","NarrativeContent"
"6.6","NarrativeContent_42","<div></div>","c7094894-52f2-473c-ae91-328ef840d1a2","SECTION 6.6","Participant Assignment, Randomisation and Blinding","NarrativeContent"
"6.6.1","NarrativeContent_43","<div></div>","5727d731-958e-4fc5-bf7f-1545c52fb4d4","SECTION 6.6.1","Participant Assignment","NarrativeContent"
"6.6.2","NarrativeContent_44","<div></div>","e95f4025-25b6-4aae-8066-a14faf99b4fa","SECTION 6.6.2","Randomisation","NarrativeContent"
