"id","text","uuid:ID","name","instanceType"
"TransitionRule_1","Subject identifier","d404da80-cb9d-43f2-a562-985ce96f17f0","ENCOUNTER_START_RULE_1","TransitionRule"
"TransitionRule_2","completion of screening activities","a0dacf64-b621-402e-bfc6-790dd2880eed","ENCOUNTER_START_RULE_1","TransitionRule"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","e8b5be87-5b95-4e80-a36e-7ebff943fe8f","ENCOUNTER_START_RULE_2","TransitionRule"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","e0f319d8-6ca8-4e32-a466-50f8a221fbc7","ENCOUNTER_START_RULE_3","TransitionRule"
"TransitionRule_5","Radomized","6185d789-f2b6-4a62-ab23-c66116f6fbe8","ENCOUNTER_START_RULE_3","TransitionRule"
"TransitionRule_6","End of treatment","ea2199e8-b9c0-45b7-b903-50ef6d6d3808","ENCOUNTER_START_RULE_12","TransitionRule"
"TransitionRule_7","Informed consent","aadcb156-fcb1-44f2-a2cd-0ea936381570","ELEMENT_START_RULE_1","TransitionRule"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","38affa26-9e53-4ce8-8c19-7ea206f0a2e9","ELEMENT_END_RULE_1","TransitionRule"
"TransitionRule_9","Administration of first dose","b3bf5f71-d87e-44e0-9af8-eb73f42b9139","ELEMENT_START_RULE_2","TransitionRule"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","1a2c3e60-de65-4cd2-b058-0b50858b1b9e","ELEMENT_START_RULE_7","TransitionRule"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","7925778c-669f-40de-bde1-e926358fdff3","ELEMENT_END_RULE_7","TransitionRule"
"TransitionRule_10","Administration of first dose","e81688b0-d5b3-4483-a490-480db36be154","ELEMENT_START_RULE_3","TransitionRule"
"TransitionRule_11","Randomized","168b5825-09ee-44eb-ba78-ea07a263ac1b","ELEMENT_START_RULE_4","TransitionRule"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","757feea0-541d-4d37-a629-3b017b7a19e0","ELEMENT_START_RULE_5","TransitionRule"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","85bb317f-9af9-4993-9305-974fbc71ca2a","ELEMENT_START_RULE_6","TransitionRule"
