"reference","id","synonyms","uuid:ID","label","name","instanceType"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","['Temperature']","50d3c80a-ceed-4a3e-804a-6efb48120e65","Body Temperature","Body Temperature","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","['Weight']","d2fb6964-a845-4f21-8c09-8a3706ca4a39","Body Weight","Body Weight","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","['Height']","bc6ff757-fe8a-4dfa-80cc-45bd573aa1fa","Body Height","Body Height","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","['ALT', 'SGPT']","b01dbae1-13e5-41ea-95cf-665f4b3841ff","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","['Albumin']","4e17fd8b-bffc-4030-aaa0-1a34c3ab18d5","Albumin Measurement","Albumin Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","['Alkaline Phosphatase']","c47a3011-1612-4c0f-8bb2-ec4a307aec35","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","['AST', 'SGOT']","6832c3a2-0b20-490b-a60a-5acb85194fc9","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","['Creatinine']","c9cccd9d-e675-485d-b95e-cebfccb002b8","Creatinine Measurement","Creatinine Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","['Potassium', 'K']","1a965a1a-5da0-402f-882e-3f023bc9c804","Potassium Measurement","Potassium Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","['Sodium', 'NA']","154c0c72-ff68-45e2-952e-f88bd1f2ae43","Sodium Measurement","Sodium Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']","6957963b-9c63-4fce-a86f-2bafd221c0cb","Adverse Event","Adverse Event","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","['SYSBP']","305885a5-0f95-41b6-8dc3-e2ed1501a707","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","['DIABP']","f70f83c9-071b-42f4-9d1a-8aeef22d741e","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","['Temperature']","22760483-8146-47cc-a9ed-34365d032be3","Body Temperature","Body Temperature","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","['Weight']","b1f1b8d4-6ebf-4df0-a3bb-8bcd631b25f9","Body Weight","Body Weight","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","['Height']","bc325268-ee61-4abc-91f1-45ae0e37d6c3","Body Height","Body Height","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","['ALT', 'SGPT']","784d5ae0-8f43-438b-b86b-6818b1c7fc52","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","['Albumin']","d2468712-14e0-4d47-8cf8-73eb29f386fb","Albumin Measurement","Albumin Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","['Alkaline Phosphatase']","e25936a6-5a54-4a3a-a37b-37902ad7c8c9","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","['AST', 'SGOT']","271f28db-62bb-4d19-b624-01c1102c5839","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","['Creatinine']","a49ce6e8-d1aa-4d6b-b608-2cada69f3870","Creatinine Measurement","Creatinine Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","['Potassium', 'K']","47992572-1ab7-4f5a-a553-61c345146743","Potassium Measurement","Potassium Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","['Sodium', 'NA']","9bdbd591-6939-49d9-a8cb-2a4a5bb1a642","Sodium Measurement","Sodium Measurement","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","['SYSBP']","d7f5b988-7216-489d-922a-e34f977817c3","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","['DIABP']","47c783fe-9915-4494-897b-16156c760e73","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_16","","65968d46-fb7a-4ebd-8766-4962cb456fe2","Heart Rate","Heart Rate","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_17","['SYSBP']","e849f32c-d7af-4e95-9e3b-5b547bdf7c64","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_18","['DIABP']","3c09f97f-c321-416c-907b-331962f478dc","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_19","","404a7058-2d68-437d-8b36-36f949c7bc4e","Heart Rate","Heart Rate","BiomedicalConcept"
