"id","datatype","uuid:ID","label","name","isRequired","instanceType","isEnabled"
"BiomedicalConceptProperty_98","decimal","f5fc4ca1-6d2d-4c66-b576-5d90563fc1eb","Vital Signs Result","Vital Signs Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_99","string","04397c1d-dbc6-4e67-92be-ba293920c4f2","Unit of Temperature","Unit of Temperature","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_100","string","3197651f-1deb-4c19-b6ee-b7f9a9598a21","Vital Signs Location","Vital Signs Location","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_101","decimal","01910edc-9cb4-4872-a9ae-cd6d1eb12ebd","Vital Signs Result","Vital Signs Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_102","string","e886cb2d-5a99-4ef1-bfdf-a3ab2fec4547","Unit of Weight","Unit of Weight","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_103","decimal","a6e7cf85-395b-4eef-b1aa-0075bafed587","Vital Signs Result","Vital Signs Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_104","string","8608aa2f-5397-4d9e-936c-271a4ef9f675","Unit of Height","Unit of Height","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_105","decimal","c0574dce-5122-4f34-9330-c8f77f7977f4","Laboratory Test Result","Laboratory Test Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_106","boolean","f34e207c-1254-4243-861b-d6d03783afa2","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_107","string","184fa94c-aaae-46ec-9be1-9b283c20d26b","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_108","string","65cedb21-d450-416e-8850-993d4166fdc5","Biospecimen Type","Biospecimen Type","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_109","string","79167f5e-6058-4c1d-b9a6-5726102884e5","Laboratory Test Result","Laboratory Test Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_110","boolean","25f833f5-611b-4392-9fc2-7064187e2d58","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_111","string","78224d83-7572-427c-9370-371b1acf61e4","Unit of Concentration","Unit of Concentration","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_112","string","c8b3323d-eef5-41a5-9eb6-7e8542ceef76","Biospecimen Type","Biospecimen Type","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_113","decimal","01dded79-f496-4eda-90ce-ee69931d3d17","Laboratory Test Result","Laboratory Test Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_114","boolean","5eaea583-da65-45d0-9d8d-8b27a27dde6c","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_115","string","a8861444-1c55-4301-837e-fc009694d3a7","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_116","string","6f54e56a-e5a8-4aaa-b0d6-94bb9e20175c","Biospecimen Type","Biospecimen Type","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_117","decimal","3d9973b4-dbdc-405d-96eb-7d46a875a232","Laboratory Test Result","Laboratory Test Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_118","boolean","3459f011-ff4c-443d-bd10-ef91441cddd1","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_119","string","57ac324f-2c31-4538-9f29-fb8192de0a6a","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_120","string","149a75c0-1f26-4599-b45e-36afdef8abb9","Biospecimen Type","Biospecimen Type","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_121","string","8327594f-c2ff-4837-91cf-1454fa4c9993","Laboratory Test Result","Laboratory Test Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_122","boolean","8c0279db-3408-4bc4-b90d-0b3aad5aa4d4","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_123","string","f86552df-a2a7-45d2-9c5e-8e8769c75076","Unit of Concentration","Unit of Concentration","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_124","string","fa1e4db6-2caa-41ad-86c6-4b1a0cdd5592","Biospecimen Type","Biospecimen Type","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_125","decimal","106ae843-a00e-4cd9-8dd7-edd9ddae5c5f","Laboratory Test Result","Laboratory Test Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_126","boolean","376d1112-bed5-4c44-884a-975a9381dbe2","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_127","string","9be47a6f-de05-42de-b654-e7494093a8fe","Molarity Unit","Molarity Unit","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_128","string","a8d73ade-9f8a-4247-9eee-a95ed3c80868","Biospecimen Type","Biospecimen Type","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_129","decimal","b55b2cf4-52a6-44dd-bfa2-d89a18ad3b11","Laboratory Test Result","Laboratory Test Result","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_130","boolean","c816ed5a-aded-4760-be27-1e780344c472","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_131","string","b93e2c8d-06ea-4383-baa9-d8cc5b57fe5a","Molarity Unit","Molarity Unit","True","BiomedicalConceptProperty","True"
