"decode","id","codeSystemVersion","codeSystem","uuid:ID","instanceType","code"
"Interventional Study","Code_1","2023-09-29","http://www.cdisc.org","44eaa9f6-30f7-430e-bb96-6907f15443a0","Code","C98388"
"Phase II Trial","Code_2","2023-09-29","http://www.cdisc.org","8a634adb-d510-456d-a4cd-76b9d15164b1","Code","C15601"
"Sponsor Approval Date","Code_9","2023-09-29","http://www.cdisc.org","92e1f192-0b60-4713-b66d-b0ffdf40a9d2","Code","C132352"
"Global","Code_10","2023-09-29","http://www.cdisc.org","734af432-397a-4312-998c-a96b709b31fc","Code","C68846"
"IRB/IEC Feedback","Code_72","2023-09-29","http://www.cdisc.org","ef83756b-2e72-4b8e-bbdc-2e8dd081eb6b","Code","C99904x3"
"Other","Code_73","2023-09-29","http://www.cdisc.org","83f0a61a-b6ee-4a22-9a77-8c0be80d63c8","Code","C17649"
"Region","Code_75","2023-09-29","http://www.cdisc.org","e77c8f92-94be-403f-b9f2-5826fb398a36","Code","C41129"
"Europe","Code_74","2020-08","ISO 3166 1 alpha3","23c0087f-8596-4923-8a55-89540d8bd63e","Code","150"
"Eli Lilly","Code_4","12","SPONSOR","192904ba-7379-4ce0-b77d-20a3646792a7","Code","PHARMA"
"Clinical Study Sponsor","Code_76","2023-09-29","http://www.cdisc.org","c76c3776-e1e1-4b7c-9e09-9382fe359a22","Code","C70793"
"Denmark","Code_77","2020-08","ISO 3166 1 alpha3","92ab5384-574a-4c7e-92ee-54ea15490124","Code","DNK"
"Study Registry","Code_78","2023-09-29","http://www.cdisc.org","fe6bdaf9-c744-4a51-ac2c-129df5b2116d","Code","C93453"
"Treatment Study","Code_136","2023-09-29","http://www.cdisc.org","d16dd2d7-871b-4f92-8452-b6545b4575ed","Code","C49656"
"Efficacy Study","Code_137","2023-09-29","http://www.cdisc.org","953bb146-e8b6-49ed-9a8f-3922e316c883","Code","C49666"
"Safety Study","Code_138","2023-09-29","http://www.cdisc.org","d21c4d5f-e880-4edf-9836-84c9107f5f6e","Code","C49667"
"Pharmacokinetic Study","Code_139","2023-09-29","http://www.cdisc.org","2f62a62d-490e-429c-93b4-4ecbe25d7f37","Code","C49663"
"Mild to Moderate Alzheimer's Disease","Code_133","12","SPONSOR","927c4d24-ec11-40cb-bc9c-c40f3e1dd7a2","Code","MILD_MOD_ALZ"
"Alzheimer's disease","Code_134","January 31, 2018","SNOMED","48f11b5c-4036-4b60-b305-6ea19d8ee315","Code","26929004"
"EXTENSION","Code_142","2023-09-29","http://www.cdisc.org","aa4f71fc-f5e9-4ab0-9efb-742520cad50a","Code","C99907x1"
"ADAPTIVE","Code_143","2023-09-29","http://www.cdisc.org","c834a577-922e-4cda-a824-4d5c30354b3a","Code","C98704"
"Parallel Study","Code_140","2023-09-29","http://www.cdisc.org","6b83611f-9160-40fd-b234-07ad03164f25","Code","C82639"
"Visit","Code_82","2023-09-29","http://www.cdisc.org","05b6eb86-08e9-43c8-92d3-ebc2a1884cfd","Code","C25716"
"Clinic","Code_83","2023-09-29","http://www.cdisc.org","042fdfa6-5641-4a0f-b5e2-1144de6f2dfc","Code","C51282"
"In Person","Code_84","2023-09-29","http://www.cdisc.org","406fe280-46cf-4105-af5d-731bcb384d44","Code","C175574"
"Visit","Code_85","2023-09-29","http://www.cdisc.org","871f60a4-3260-4f29-a532-75da17225389","Code","C25716"
"Clinic","Code_86","2023-09-29","http://www.cdisc.org","e83672e2-063e-4952-8ef1-0b704df19874","Code","C51282"
"In Person","Code_87","2023-09-29","http://www.cdisc.org","3a689928-95e0-4994-a874-9e90230dcf15","Code","C175574"
"Visit","Code_88","2023-09-29","http://www.cdisc.org","05e8de29-a3e3-4db1-b388-11802536eb00","Code","C25716"
"Clinic","Code_89","2023-09-29","http://www.cdisc.org","689ccc92-4d9b-4cd4-b744-816335cedf6e","Code","C51282"
"In Person","Code_90","2023-09-29","http://www.cdisc.org","f9bd234c-17f1-4764-b4b6-f361152c5577","Code","C175574"
"Visit","Code_91","2023-09-29","http://www.cdisc.org","ed545c5f-c3f7-4825-8528-840bfb5bef30","Code","C25716"
"Clinic","Code_92","2023-09-29","http://www.cdisc.org","c3fec4f8-5d38-4600-899f-8aec3bf131f1","Code","C51282"
"In Person","Code_93","2023-09-29","http://www.cdisc.org","ab1c0480-5257-41f3-85af-015ee09def50","Code","C175574"
"Visit","Code_94","2023-09-29","http://www.cdisc.org","82704b47-5e75-4567-a9c1-40674680ea77","Code","C25716"
"Clinic","Code_95","2023-09-29","http://www.cdisc.org","602ca963-34b9-4e71-b02a-5873bb03cacf","Code","C51282"
"In Person","Code_96","2023-09-29","http://www.cdisc.org","e7822e82-7b97-47f8-b053-a6ff6503b502","Code","C175574"
"Visit","Code_97","2023-09-29","http://www.cdisc.org","0864e51c-02e3-4d90-be1c-c954cb96abb3","Code","C25716"
"Clinic","Code_98","2023-09-29","http://www.cdisc.org","0aeefc0d-b001-4f08-97c0-dcc98b52d137","Code","C51282"
"In Person","Code_99","2023-09-29","http://www.cdisc.org","90ab5479-05a6-4cc7-999f-3aee57a6ca20","Code","C175574"
"Visit","Code_100","2023-09-29","http://www.cdisc.org","1b1ee5c1-5490-4da9-b7b4-86c6ced2f5b0","Code","C25716"
"Clinic","Code_101","2023-09-29","http://www.cdisc.org","efa0b1d5-b090-470a-ba78-e622c4eabf81","Code","C51282"
"In Person","Code_102","2023-09-29","http://www.cdisc.org","a1470e83-30e2-45a7-84d1-17659d57ee8d","Code","C175574"
"Telephone Call","Code_103","2023-09-29","http://www.cdisc.org","b02c9965-8062-4d1f-9792-c56b177758a1","Code","C171537"
"Visit","Code_104","2023-09-29","http://www.cdisc.org","b5200bc7-aca4-405d-9f46-b25710b65f93","Code","C25716"
"Clinic","Code_105","2023-09-29","http://www.cdisc.org","60c25233-36e8-4e03-a4f9-3994db97c439","Code","C51282"
"In Person","Code_106","2023-09-29","http://www.cdisc.org","d448a1f1-94f8-4ed6-a333-f28936e7d0c0","Code","C175574"
