"value","window","id","uuid:ID","label","name","windowLower","description","windowUpper","instanceType"
"P2W","","Timing_1","677a05d4-1ff4-40fa-ae26-08c30afc52f4","Screening","TIM1","","Screening timing","","Timing"
"P2D","-4..0 hours","Timing_2","57e67af2-10c6-4e06-9fef-83f3a2d1a1a1","Pre dose","TIM2","PT4H","Pre dose timing","PT0H","Timing"
"P1D","","Timing_3","49bc5612-ae35-4044-9309-0de90e355ff1","Dosing","TIM3","","Dosing anchor","","Timing"
"P2W","-3..3 days","Timing_4","8b6504cc-5676-4a42-a679-e14fa565110f","Week 2","TIM4","P3D","Week 2 timing","P3D","Timing"
"P4W","-3..3 days","Timing_5","9675e97f-cf74-4f6f-9f85-659a99dbff6b","Week 4","TIM5","P3D","Week 4 timing","P3D","Timing"
"P6W","-3..3 days","Timing_6","6068ae10-a8d3-42bd-97a0-fd80d151b9bb","Week 6","TIM6","P3D","Week 6 timing","P3D","Timing"
"P8W","-3..3 days","Timing_7","8e5cc421-04f6-4a8f-81a9-842e9318db75","Week 8","TIM7","P3D","Week 8 timing","P3D","Timing"
"P12W","-4..4 days","Timing_9","5000cee5-c9a0-4e3c-a392-08add38511db","Week 12","TIM9","P4D","Week 12 timing","P4D","Timing"
"P16W","-4..4 days","Timing_11","512c07d7-ab88-4269-b63b-f574b9eee449","Week 16","TIM11","P4D","Week 16 timing","P4D","Timing"
"P20W","-4..4 days","Timing_13","c20a700a-5ca1-4505-b56d-e40de8f8d076","Week 20","TIM13","P4D","Week 20 timing","P4D","Timing"
"P24W","-4..4 days","Timing_15","79ad4eee-4ac3-4db8-91d1-247b96f72eb5","Week 24","TIM15","P4D","Week 24 timing","P4D","Timing"
"P26W","-3..3 days","Timing_16","e9316134-2682-4d92-a904-bcc15428a427","Week 26","TIM16","P3D","Week 26 timing","P3D","Timing"
"P2W","","Timing_8","8be4fa90-29bb-4dc2-968b-0342cb92e34e","Week 8 Home","TIM8","","Week 8 at home timing","","Timing"
"P2W","","Timing_10","dd9045f1-f804-40c2-ac33-5c3d64d18c0e","Week 12 Home","TIM10","","Week 12 at home timing","","Timing"
"P2W","","Timing_12","f7ffb179-aa20-4258-96e4-2356d148557b","Week 16 Home","TIM12","","Week 16 at home timing","","Timing"
"P2W","","Timing_14","b9a16a49-164b-472c-83df-10d35d859a46","Week 20 Home","TIM14","","Week 20 at home timing","","Timing"
"P1D","","Timing_17","7c984def-20c8-4436-baf0-26ad2424dc6d","Adverse Event","TIM17","","Adverse Event","","Timing"
"P1D","","Timing_18","238f52c0-ec3c-42b5-b173-603c22392ef2","Early Termination","TIM18","","Early Termination","","Timing"
"PT0M","","Timing_19","4ad1ea82-6f94-4933-8b5f-11908687b950","Supine","TIM19","","Supine","","Timing"
"PT5M","","Timing_20","9a00a54d-b38d-4937-a9ff-85df16cc980a","VS while supine","TIM20","","VS while supine","","Timing"
"PT0M","","Timing_21","30452274-91ad-4fd1-a590-278478cba5c7","Standing","TIM21","","Standing","","Timing"
"PT1M","","Timing_22","bde0d659-e2ca-48ed-aae2-366f910cf4f3","VS while standing","TIM22","","VS while standing","","Timing"
"PT0M","","Timing_23","29f2a1f7-57ea-4c1f-90e7-866ebd8c2535","Standing","TIM23","","Standing","","Timing"
"PT2M","","Timing_24","bdfcba53-afc1-4a69-958d-5cb73f96cdd1","VS while standing","TIM24","","VS while standing","","Timing"
