"id","uuid:ID","label","name","description","instanceType"
"Encounter_1","4840e163-624a-4ddf-afb9-5c047477b073","Screening 1","E1","Screening encounter","Encounter"
"Encounter_2","4ec42046-8ee7-4b19-b960-c2af1b6acb95","Screening 2","E2","Screening encounter - Ambulatory ECG Placement","Encounter"
"Encounter_3","03308d32-2cd9-4d84-9ed5-fd57a8ce672f","Baseline","E3","Baseline encounter - Ambulatory ECG Removal","Encounter"
"Encounter_4","1deddc00-abd8-4baf-92db-e900be381257","Week 2","E4","Day 14","Encounter"
"Encounter_5","fc146ea1-6130-43a4-9672-7a9b9b34b00e","Week 4","E5","Day 28","Encounter"
"Encounter_6","49e1d739-422a-43da-a9f5-1e11f46040b9","Week 6","E7","Day 42","Encounter"
"Encounter_7","194d848c-a330-4390-b2cf-69af30710ebf","Week 8","E8","Day 56","Encounter"
"Encounter_8","e03f4f38-0326-4753-b87a-58e9804c179a","Week 12","E9","Day 84","Encounter"
"Encounter_9","25388c07-c7e2-4051-8bc5-10c9ec9ba209","Week 16","E10","Day 112","Encounter"
"Encounter_10","101c65d6-ade0-44cd-ad67-6fcdba19710f","Week 20","E11","Day 140","Encounter"
"Encounter_11","9ee61613-8902-4332-9117-bffa22cbd16b","Week 24","E12","Day 168","Encounter"
"Encounter_12","4c79f4ee-d149-421d-9576-46628e780573","Week 26","E13","Day 182","Encounter"
