"sectionNumber","name","id","sectionTitle","text","uuid:ID"
"0","ROOT","NarrativeContent_1","Root","","0edec199-12af-41bf-b231-ba8aa1ecf398"
"1","SECTION 1","NarrativeContent_2","PROTOCOL SUMMARY","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","65be6110-c7f2-4893-b707-dce0de52f3d8"
"1.1","SECTION 1.1","NarrativeContent_3","Protocol Synopsis","<div></div>","ea6bfcb6-09c6-4862-9a93-73477598211d"
"1.2","SECTION 1.2","NarrativeContent_4","Trial Schema","<div></div>","c65cfcd4-690d-4b41-bf4e-aacd0c2b08dd"
"1.3","SECTION 1.3","NarrativeContent_5","Schedule of Activities","<div></div>","baae326b-3e81-4f52-86c0-5e9c8c017bbc"
"2","SECTION 2","NarrativeContent_6","INTRODUCTION","<div></div>","0a94a2d6-fccd-4b8e-90f7-c699e6e65d9b"
"2.1","SECTION 2.1","NarrativeContent_7","Purpose of Trial","<div></div>","9a3d6cb1-ec72-48c4-aedf-31021aafc25c"
"2.2","SECTION 2.2","NarrativeContent_8","Summary of Benefits and Risks","<div></div>","4e3c9861-a300-458a-9560-74e14255f5a2"
"3","SECTION 3","NarrativeContent_9","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","ca1c8722-e5c7-4b4e-bc66-5ce0f89b2a68"
"3.1","SECTION 3.1","NarrativeContent_10","Primary Objectives","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","abd5290a-5cb7-4942-992e-d2c82da84583"
"4","SECTION 4","NarrativeContent_11","TRIAL DESIGN","<div></div>","d249a752-9a68-4e3b-8977-92fa296988ee"
"4.1","SECTION 4.1","NarrativeContent_12","Description of Trial Design","<div></div>","cabeacfc-9a18-4fda-9555-d13c582b94e6"
"4.1.1","SECTION 4.1.1","NarrativeContent_13","Participant Input into Design","<div></div>","a9ad53fc-1294-45cb-863b-9ccdbf641ee6"
"4.2","SECTION 4.2","NarrativeContent_14","Rationale for Trial Design","<div></div>","363b628e-0912-4310-9817-b4283c49e0e3"
"4.2.1","SECTION 4.2.1","NarrativeContent_15","Rationale for Comparator","<div></div>","032e6c50-70a2-4522-a600-d1e17882b6c3"
