"description","label","purpose","name","instanceType","id","text","uuid:ID"
"","","","END1","ENDPOINT","Endpoint_1","Clinical status assessed using a 7-category ordinal scale at Day 28","438fea3b-1dc6-4c13-b34f-3d3a60dcbe61"
"","","","END2","ENDPOINT","Endpoint_2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","cbaa5ec8-d995-4649-8608-fb5f942efbba"
"","","","END3","ENDPOINT","Endpoint_3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","2970dcee-a603-42a8-ac88-92dd4669b096"
"","","","END4","ENDPOINT","Endpoint_4","Incidence of mechanical ventilation","01f729b8-84b9-4acd-a02c-2f00da96c76d"
"","","","END5","ENDPOINT","Endpoint_5","Ventilator-free days to Day 28","af1b3415-0d6e-4e97-b988-18083c3dabbf"
"","","","END6","ENDPOINT","Endpoint_6","Incidence of intensive care unit (ICU) stay","38815ba9-5aec-44f5-9c14-ed0061e89e9b"
"","","","END7","ENDPOINT","Endpoint_7","Duration of ICU stay","7e4ee8ad-f60b-48b5-8318-553493a5ad54"
"","","","END8","ENDPOINT","Endpoint_8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","eab16c1e-8380-47e7-afa9-c1d91a3f8fd9"
"","","","END9","ENDPOINT","Endpoint_9","Mortality rate at Days 7, 14, 21, 28, and 60","8428df08-0d75-47c7-b3f1-71d75e289f94"
"","","","END10","ENDPOINT","Endpoint_10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","620a6ea4-395c-4f56-9627-47b5b146feda"
"","","","END11","ENDPOINT","Endpoint_11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","b72982eb-065b-4f74-8192-69bc7d909ef6"
"","","","END12","ENDPOINT","Endpoint_12","Duration of supplemental oxygen","9d3c43db-09a0-4215-ac62-5925179dd4c4"
