"code","codeSystem","id","decode","codeSystemVersion","uuid:ID"
"C98388","http://www.cdisc.org","Code_1","Interventional Study","2023-09-29","dca88e7c-d67f-4e23-9319-7193aa499343"
"C15602","http://www.cdisc.org","Code_2","Phase III Trial","2023-09-29","52851567-6589-43ae-bf87-1f0985a2088d"
"C132352","http://www.cdisc.org","Code_6","Sponsor Approval Date","2023-09-29","18a3881b-d230-443b-869d-12608f2b229e"
"C68846","http://www.cdisc.org","Code_7","Global","2023-09-29","507c6464-790b-44c3-a598-368c32f1fc02"
"VAC","SPONSOR","Code_3","Vacines Group","12","aaf38e58-ba1b-49e7-8895-db2b4b521d95"
"REG","SPONSOR","Code_4","Regulatory","12","9a18d4c0-f304-428a-aeee-ffb3fc02c9fa"
"C93453","http://www.cdisc.org","Code_10","Study Registry","2023-09-29","22b6733a-d607-4882-8c84-3548906aa383"
"GBR","ISO 3166 1 alpha3","Code_11","United Kingdom of Great Britain and Northern Ireland","2020-08","2546e4e2-d8f5-4efb-85f8-473e28109c5f"
"C70793","http://www.cdisc.org","Code_12","Clinical Study Sponsor","2023-09-29","eb120f79-f774-4629-8d07-c6efe7b0da8e"
"FRA","ISO 3166 1 alpha3","Code_13","France","2020-08","f8753677-8330-4db2-bbb5-7a3ab3b5e1cc"
"C15714","http://www.cdisc.org","Code_42","Basic Research","2023-09-29","6d5d61af-ac12-458b-b929-ef8a4a5db021"
"C139174","http://www.cdisc.org","Code_43","Device Feasibility Study","2023-09-29","9ec99393-deef-4d39-9ab1-5c5aa2f40050"
"C49666","http://www.cdisc.org","Code_44","Efficacy Study","2023-09-29","b3192fd4-2434-4a30-8eb9-6ba9e3fd0f96"
"T2_DIABETES","SPONSOR","Code_39","Type 2 diabetes","12","d1aabb59-6b55-408f-863a-0dfdcf118e74"
"73211009","SNOMED","Code_40","Diabetes mellitus (disorder)","January 31, 2018","2de8921b-ccc2-499b-ad93-0fa81f035d12"
"C82639","http://www.cdisc.org","Code_45","Parallel Study","2023-09-29","789a5efc-386d-410f-9ffc-c834a017ba8e"
"C25716","http://www.cdisc.org","Code_16","Visit","2023-09-29","fbef3abb-7e69-4010-8596-69a0fabcca1c"
"C51282","http://www.cdisc.org","Code_17","Clinic","2023-09-29","4fefb057-abe8-4729-b3a6-c7384bd60fee"
"C175574","http://www.cdisc.org","Code_18","In Person","2023-09-29","c735e2eb-a16a-4a37-8e1b-08794c995428"
"C25716","http://www.cdisc.org","Code_19","Visit","2023-09-29","251f1f3d-f3c4-4d66-93e9-3631bfe1ce86"
"C51282","http://www.cdisc.org","Code_20","Clinic","2023-09-29","d56bbf7e-d35f-44a2-9f5e-f64db09bfe9c"
"C175574","http://www.cdisc.org","Code_21","In Person","2023-09-29","407e6b23-ffd2-491f-b4e5-410d0c070cfa"
"C25716","http://www.cdisc.org","Code_22","Visit","2023-09-29","0c5907f1-4f21-4580-acbd-e31849837e88"
"C51282","http://www.cdisc.org","Code_23","Clinic","2023-09-29","f42e575b-4b3a-448e-b169-5480d5d1884a"
"C175574","http://www.cdisc.org","Code_24","In Person","2023-09-29","ff81b1b2-a3c2-4568-9ff9-1a378dd5bc6a"
"C25716","http://www.cdisc.org","Code_25","Visit","2023-09-29","3b3cbb30-c836-46c9-b83d-863711898b3e"
"C51282","http://www.cdisc.org","Code_26","Clinic","2023-09-29","245f0b7f-ef6c-4270-bcf2-bc6b600932b2"
"C175574","http://www.cdisc.org","Code_27","In Person","2023-09-29","a4e4f1b8-c771-44b8-880e-f62533fa9ea0"
"C25716","http://www.cdisc.org","Code_28","Visit","2023-09-29","f648f81e-b74f-40aa-8406-72caae9b638a"
"C18002","http://www.cdisc.org","Code_29","Home","2023-09-29","3b626f14-6053-4769-b10d-84556e8ff703"
"C171537","http://www.cdisc.org","Code_30","Telephone Call","2023-09-29","774edba5-d7ca-4222-b9aa-67035f86c807"
"C20197","http://www.cdisc.org","Code_72","Male","2023-09-29","6ed4b9e9-810b-4cbe-a859-8beaac170535"
"C16576","http://www.cdisc.org","Code_73","Female","2023-09-29","d1f5d0bd-2dc4-4bcd-bfca-2a7c591635e9"
"C28421","NCI Thesaurus","Code_74","Sex","","347fd95a-214d-428b-8bcc-3b87b443ccf0"
"C28421","NCI Thesaurus","Code_71","Sex","","057fd1e0-d1db-4c1b-8074-0d860819dbed"
"C17049","NCI Thesaurus","Code_76","Race","","0563e4a1-0cb0-4b6c-91ae-453a0878a0d6"
"C17049","NCI Thesaurus","Code_75","Race","","55c96a60-7e1f-4945-9cd9-1f2227092fb5"
"C173522","NCI Thesaurus","Code_78","Vital Signs Result","","c5eb9642-30e2-4fe2-aa42-49c0ecef00c7"
"C28252","http://www.cdisc.org","Code_79","Kilogram","2023-09-29","34e0eddc-b3c6-4121-809e-3d0af35b86d9"
"C48155","http://www.cdisc.org","Code_80","Gram","2023-09-29","08a4f48b-fbf5-4ade-b1fb-c4d3408f2605"
"C48531","http://www.cdisc.org","Code_81","Pound","2023-09-29","98664644-c2c0-4b50-b1d6-c92438e891ee"
"C48208","NCI Thesaurus","Code_82","Unit of Weight","","4ec0fddd-bb58-4b02-aacd-1e6657d7c314"
"C81328","NCI Thesaurus","Code_77","Body Weight","","5e2edd4f-0295-4f66-a27a-f9b6cb418b53"
"C174267","http://www.cdisc.org","Code_31","Active Comparator Arm","2023-09-29","79034348-9d73-43ea-90c5-ebb428dde135"
"C188866","http://www.cdisc.org","Code_32","Data Generated Within Study","2023-09-29","8b86a1c4-586a-4f12-b5eb-78ba42fe00c6"
"C174268","http://www.cdisc.org","Code_33","Placebo Comparator Arm","2023-09-29","a811fc7c-8403-4277-b5b8-ea71864b84c4"
"C188866","http://www.cdisc.org","Code_34","Data Generated Within Study","2023-09-29","9b095722-78da-49d0-99d1-c04806485f58"
"C49659","http://www.cdisc.org","Code_41","Open Label Study","2023-09-29","3f3ac11c-23e2-4a3a-a51b-5c7012f9d1b4"
"C48262","http://www.cdisc.org","Code_35","Trial Screening","2023-09-29","6dcb0ad4-6096-4d5e-974c-0e524e7927e5"
"C125938","http://www.cdisc.org","Code_36","Baseline Epoch","2023-09-29","2a285ba4-66ab-4d0f-ad57-4da0a7ab256b"
"C101526","http://www.cdisc.org","Code_37","Treatment Epoch","2023-09-29","bb82dc4b-59c1-46a0-8b42-c2f053babac2"
