"sectionNumber","sectionTitle","text","uuid:ID","id","name"
"0","Root","","a20402f2-3341-465d-8952-78c033da5817","NarrativeContent_1","ROOT"
"1","PROTOCOL SUMMARY","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","15d18f38-f78f-4dfe-af39-54d2619e118c","NarrativeContent_2","SECTION 1"
"1.1","Protocol Synopsis","<div></div>","f1694f01-175a-4f8d-93a3-805e1d215288","NarrativeContent_3","SECTION 1.1"
"1.2","Trial Schema","<div></div>","35ee8ea6-a54f-412c-ae9b-3dcbb7166421","NarrativeContent_4","SECTION 1.2"
"1.3","Schedule of Activities","<div></div>","16582005-7bb3-472c-8136-b20899ff12f1","NarrativeContent_5","SECTION 1.3"
"2","INTRODUCTION","<div></div>","ae24eb1f-dc45-4fe9-9e54-e63a1fceb1f4","NarrativeContent_6","SECTION 2"
"2.1","Purpose of Trial","<div></div>","c240009a-723b-422e-a1e8-e2fc5ced5f6f","NarrativeContent_7","SECTION 2.1"
"2.2","Summary of Benefits and Risks","<div></div>","0fc47bda-bfc5-44b6-aa05-a6be3ee12ca2","NarrativeContent_8","SECTION 2.2"
"3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","2878aadf-a4ed-4ec9-bdc0-554f2a3bcb4e","NarrativeContent_9","SECTION 3"
"3.1","Primary Objectives","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","2e1b9da1-a2d8-421a-b56b-2e018dabe5b3","NarrativeContent_10","SECTION 3.1"
"4","TRIAL DESIGN","<div></div>","82db7983-b089-48d1-912d-f5493b36c9c2","NarrativeContent_11","SECTION 4"
"4.1","Description of Trial Design","<div></div>","f4ac4a52-2032-4e64-ac49-e47ae52f23a5","NarrativeContent_12","SECTION 4.1"
"4.1.1","Participant Input into Design","<div></div>","33e478f5-39b7-40d3-837f-622f24782a3d","NarrativeContent_13","SECTION 4.1.1"
"4.2","Rationale for Trial Design","<div></div>","4ee656b7-0b83-4654-a4b6-e3bb13424521","NarrativeContent_14","SECTION 4.2"
"4.2.1","Rationale for Comparator","<div></div>","60feee19-5f3b-4689-92d1-9b6af5d90ebf","NarrativeContent_15","SECTION 4.2.1"
"4.2.2","Rationale for Adaptive or Novel Trial Design","<div></div>","c823b009-6d36-4c06-9903-eb83a28777a0","NarrativeContent_16","SECTION 4.2.2"
"4.2.3","Other Trial Design Considerations","<div></div>","b6be8e62-af35-4ca7-bc39-75a4e83d69de","NarrativeContent_17","SECTION 4.2.3"
"4.3","Access to Trial Intervention After End of Trial","<div></div>","518d8b63-cf66-4d85-8912-2f1037ed76da","NarrativeContent_18","SECTION 4.3"
"4.4","Start of Trial and End of Trial","<div></div>","df46fec8-03ad-43c0-a5ad-cbff23700eea","NarrativeContent_19","SECTION 4.4"
"5","TRIAL POPULATION","<div></div>","33bac320-96fb-48b0-b8fd-51b19e2ff87e","NarrativeContent_20","SECTION 5"
"5.1","Selection of Trial Population","<div></div>","e8570796-b551-4aba-92bf-5567f6f5dc51","NarrativeContent_21","SECTION 5.1"
"5.2","Rationale for Trial Population","<div></div>","d4dfcdc8-74d8-4e66-9b72-48f5e5e435e2","NarrativeContent_22","SECTION 5.2"
"5.3","Inclusion Criteria","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","62a198b0-517b-4f05-897c-53f724f401c5","NarrativeContent_23","SECTION 5.3"
"5.4","Exclusion Criteria","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","db39df6d-9350-4877-a4ae-8720bb6bd440","NarrativeContent_24","SECTION 5.4"
"5.5","Lifestyle Considerations","<div></div>","f7829c7d-c17f-4128-8b29-80ed9d21f4a1","NarrativeContent_25","SECTION 5.5"
"5.5.1","Meals and Dietary Restrictions","<div></div>","c15be81d-4a9d-4bb0-b930-361245781a40","NarrativeContent_26","SECTION 5.5.1"
"5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","<div></div>","ce0cd938-7e84-478c-9fbf-d90ea1891d45","NarrativeContent_27","SECTION 5.5.2"
"5.5.3","Physical Activity","<div></div>","303d6d4e-f19a-4773-af5e-a517f39352f7","NarrativeContent_28","SECTION 5.5.3"
"5.5.4","Other Activity","<div></div>","146ee3d9-1390-4024-a64a-8fe0db4fc997","NarrativeContent_29","SECTION 5.5.4"
"5.6","Screen Failures","<div></div>","bd12c98a-ca17-4a25-84fd-f5fbee67aa47","NarrativeContent_30","SECTION 5.6"
"6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","f9c7d0d6-aa7c-435b-8a0f-16f5ab119769","NarrativeContent_31","SECTION 6"
"6.1","Description of Trial Intervention","<div></div>","b6389666-c04a-484d-86ab-9538a8f88e1c","NarrativeContent_32","SECTION 6.1"
"6.2","Rationale for Trial Intervention","<div></div>","f0060b4f-67d3-4a1f-b7a8-c7e889b201ad","NarrativeContent_33","SECTION 6.2"
"6.3","Dosing and Administration","<div></div>","fa3c637d-eb08-4813-86c3-6ca9065595fe","NarrativeContent_34","SECTION 6.3"
"6.3.1","Trial Intervention Dose Modification","<div></div>","69858797-1aa9-4db4-bb39-e0ad05cebb6c","NarrativeContent_35","SECTION 6.3.1"
"6.4","Treatment of Overdose","<div></div>","de1d260d-828b-4a32-bcd1-71245dc0fa08","NarrativeContent_36","SECTION 6.4"
"6.5","Preparation, Handling, Storage and Accountability","<div></div>","109844b7-bb89-44bc-9f95-049ca9835e51","NarrativeContent_37","SECTION 6.5"
"6.5.1","Preparation of Trial Intervention","<div></div>","c784129a-3fbf-4599-94e9-a480881b69a2","NarrativeContent_38","SECTION 6.5.1"
"6.5.2","Handling and Storage of Trial Intervention","<div></div>","1ad2e9bc-1aa8-4b17-b63f-96fd37fec466","NarrativeContent_39","SECTION 6.5.2"
"6.5.3","Accountability of Trial Intervention","<div></div>","596a4674-20da-4df0-a67a-a760a18b89eb","NarrativeContent_40","SECTION 6.5.3"
"6.6","Participant Assignment, Randomisation and Blinding","<div></div>","1685e4c8-b9c9-4327-bc7a-7f9e2128ccf1","NarrativeContent_41","SECTION 6.6"
