"text","description","uuid:ID","label","purpose","id","instanceType","name"
"Clinical status assessed using a 7-category ordinal scale at Day 28","","944aa6e9-9416-4bed-b231-d02258bef22b","","","Endpoint_1","ENDPOINT","END1"
"Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","","299ed949-0056-49ff-bf43-2c40969876de","","","Endpoint_2","ENDPOINT","END2"
"Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","","85c5e5ef-6cd4-4cf9-b12a-5cb83e203c85","","","Endpoint_3","ENDPOINT","END3"
"Incidence of mechanical ventilation","","af68cbf9-90b3-4fcd-a639-3d6858adf511","","","Endpoint_4","ENDPOINT","END4"
"Ventilator-free days to Day 28","","26dd0279-148b-4795-8d06-9daa6b37c592","","","Endpoint_5","ENDPOINT","END5"
"Incidence of intensive care unit (ICU) stay","","9cce0b7f-9c46-4b69-9614-bb604ba1e8b3","","","Endpoint_6","ENDPOINT","END6"
"Duration of ICU stay","","1c1a7fef-57c4-48b2-861a-c773694b8205","","","Endpoint_7","ENDPOINT","END7"
"Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","","cbec1b8d-2292-4a65-84ac-1175f107d9f0","","","Endpoint_8","ENDPOINT","END8"
"Mortality rate at Days 7, 14, 21, 28, and 60","","4beffe0e-2c25-492e-844a-9cf2b0e0d8ca","","","Endpoint_9","ENDPOINT","END9"
"Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","","dc4cd5d3-236a-4dba-827b-a72609ad2995","","","Endpoint_10","ENDPOINT","END10"
"Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","","627ce2d0-111d-4250-a8ec-37124194460b","","","Endpoint_11","ENDPOINT","END11"
"Duration of supplemental oxygen","","0478ed8c-19a1-4557-b419-a4321f912446","","","Endpoint_12","ENDPOINT","END12"
