"name","uuid:ID","label","id","description","instanceType"
"Informed consent","4dd273a4-7eeb-4d40-aa2b-8c2f935a9158","","Activity_1","","Activity"
"Inclusion/exclusion criteria","8b79fb67-91f5-4f28-bad4-1ed9f2a8d357","","Activity_2","","Activity"
"Patient number assigned","5345d525-7c80-4fa8-b628-c8f16cef0d2f","","Activity_3","","Activity"
"Demographics","6d35baad-16a0-4040-a7b8-944515ab963d","Demographics","Activity_4","","Activity"
"Hachinski","2801ee77-abd5-4bf3-ab2c-112fab8778fd","Hachinski","Activity_5","","Activity"
"MMSE","60cf68da-6e58-45b5-9553-152b46644cb1","MMSE","Activity_6","","Activity"
"Physical examination","b504a629-a9af-4d89-a3ab-6c7d14c6fa9a","","Activity_7","","Activity"
"Medical history","46f31a5d-52a9-4a66-b25d-d69d0e0cfed5","","Activity_8","","Activity"
"Habits","d66aa991-baea-4451-8496-ee655aba7e2f","","Activity_9","","Activity"
"Chest X-ray","77af5c29-6048-442a-aaa7-5efd374042cf","","Activity_10","","Activity"
"Apo E genotyping","51888f2b-55d8-41d7-81d0-981d08e9f4a1","","Activity_11","","Activity"
"Patient randomised","943d6e26-35f8-4435-9d35-618bc4956e3b","","Activity_12","","Activity"
"Vital signs / Temperature","b6d710ba-311a-451b-8e4b-0ba2cd2d525b","Vital Signs and Temperature","Activity_13","","Activity"
"Ambulatory ECG placed","c6dfd042-62b4-4afb-ae79-e9cd0107a585","","Activity_14","","Activity"
"Ambulatory ECG removed","dd981f72-b5bd-4bd6-aa6c-a1a49a77913b","","Activity_15","","Activity"
"ECG","9ce82106-e1af-4c49-9b63-601efd6d0a12","","Activity_16","","Activity"
"Placebo TTS test","ad4ef9ea-9a67-4d7e-9214-e33e9ff911ba","","Activity_17","","Activity"
"CT scan","f31af484-04d7-4ad3-ad38-5ec52bc0fe0c","","Activity_18","","Activity"
"Concomitant medications","13df814c-d978-4f11-a458-569a261baa97","","Activity_19","","Activity"
"Hematology","edbeaab1-3f26-400b-89b3-3e56312b42d6","","Activity_20","","Activity"
"Chemistry","7b62024c-931c-46e7-ae08-15c464a95abf","","Activity_21","","Activity"
"Uninalysis","762b8bbf-bdec-4f82-a989-4e33e5ceb0f5","","Activity_22","","Activity"
"Plasma Specimen (Xanomeline)","7ce1ae65-7e27-4ba5-8cd7-5fcfd8ab2144","","Activity_23","","Activity"
"Hemoglobin A1C","3ef2af57-e088-4f58-817e-da8ff3504783","","Activity_24","","Activity"
"Study drug","bbee8dac-7ae1-4259-90bb-42ced508fea3","Study drug record , Medications dispensed, Medications returned","Activity_25","","Activity"
"TTS Acceptability Survey","612a8da9-94c1-46f9-999c-8bb4ba42a961","","Activity_26","","Activity"
"ADAS-Cog","0dec98e2-9184-4599-837f-8745445d0e95","","Activity_27","","Activity"
"CIBIC+","a161f9fc-1438-4b34-8359-33df721720fd","","Activity_28","","Activity"
"DAD","51c543f4-7526-4d1f-9692-1da886077504","","Activity_29","","Activity"
"NPI-X","a381a6f2-e322-4e1b-85f8-c5e5e69b3fde","","Activity_30","","Activity"
"Adverse events","ee680845-b5e2-4cdd-89f4-acb634ba1c6d","","Activity_31","","Activity"
"Check adverse events","df80ce90-8161-48ea-9f08-27e065d0ab8f","","Activity_32","","Activity"
"Supine","d21ead1c-4d9a-4817-97b7-d1b4b9b843fa","Subject supine","Activity_33","","Activity"
"Vital Signs Supine","3c756ce0-36c4-4816-a454-2532dd956a26","Vital signs while supine","Activity_34","","Activity"
"Stand","8f2a86f4-f78e-4249-8c26-f816f872c8ea","Subject Standing","Activity_35","","Activity"
"Vital Signs Standing","b085e03e-4d42-4e0d-8b85-e13520e8fda6","Vital signs while standing","Activity_36","","Activity"
