"code","uuid:ID","id","codeSystemVersion","codeSystem","decode","instanceType"
"C98388","293249f3-2a06-4080-a104-28682cfc5d7b","Code_1","2023-09-29","http://www.cdisc.org","Interventional Study","Code"
"C15601","508bdc42-e97b-4717-9a84-7466e7a201eb","Code_2","2023-09-29","http://www.cdisc.org","Phase II Trial","Code"
"C132352","b764858c-3ff9-4187-bf9a-72e9299e875b","Code_9","2023-09-29","http://www.cdisc.org","Sponsor Approval Date","Code"
"C68846","0a82ad34-1f02-4d9e-9a1e-ef39b0019562","Code_10","2023-09-29","http://www.cdisc.org","Global","Code"
"C99904x3","af295cc6-be56-493b-80a8-2e9aace0b036","Code_72","2023-09-29","http://www.cdisc.org","IRB/IEC Feedback","Code"
"C17649","c7583d73-d26b-42d1-8883-0706ea20060d","Code_73","2023-09-29","http://www.cdisc.org","Other","Code"
"C41129","dd81e056-53e7-4bd0-b095-92cc92272778","Code_75","2023-09-29","http://www.cdisc.org","Region","Code"
"150","759ab35e-f94a-4aef-9947-7a32b9ce0db2","Code_74","2020-08","ISO 3166 1 alpha3","Europe","Code"
"PHARMA","6b6d9e08-99d6-42bf-9429-563f1ba6ef41","Code_4","12","SPONSOR","Eli Lilly","Code"
"C70793","ff00ce2f-293e-4e15-aae9-c509a8acfd2d","Code_76","2023-09-29","http://www.cdisc.org","Clinical Study Sponsor","Code"
"DNK","845b80c9-af02-481a-a62f-f0f0e8ab8ea5","Code_77","2020-08","ISO 3166 1 alpha3","Denmark","Code"
"C93453","b115749f-f6ad-405a-98ca-d05cc5531553","Code_78","2023-09-29","http://www.cdisc.org","Study Registry","Code"
"C49656","7e0e72d9-47b2-45b7-a2b8-b7b05a212253","Code_136","2023-09-29","http://www.cdisc.org","Treatment Study","Code"
"C49666","83a2ee1c-8b81-40b6-8846-8cce5664bc2e","Code_137","2023-09-29","http://www.cdisc.org","Efficacy Study","Code"
"C49667","c1511c35-513e-4b6d-9a17-2bc080010eda","Code_138","2023-09-29","http://www.cdisc.org","Safety Study","Code"
"C49663","7d119aef-7f82-4745-a087-4e298210a754","Code_139","2023-09-29","http://www.cdisc.org","Pharmacokinetic Study","Code"
"MILD_MOD_ALZ","272bfc53-b112-430d-b9bb-cb53da11657e","Code_133","12","SPONSOR","Mild to Moderate Alzheimer's Disease","Code"
"26929004","9fb6a2d8-1d71-4186-98c8-a4e0299b86a9","Code_134","January 31, 2018","SNOMED","Alzheimer's disease","Code"
"C99907x1","608c4e01-cb5b-42bf-b8a7-fb6626e6f0a8","Code_142","2023-09-29","http://www.cdisc.org","EXTENSION","Code"
"C98704","b9fa5320-e8a6-4a7c-96cc-a061bae49ede","Code_143","2023-09-29","http://www.cdisc.org","ADAPTIVE","Code"
"C82639","30954a3e-d97b-4cfd-a848-5d6671ed0b38","Code_140","2023-09-29","http://www.cdisc.org","Parallel Study","Code"
"C25716","0d8744c3-3b11-4b5e-80f3-462ff976f723","Code_82","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","c4a74b83-e7bd-446c-93cc-c4aa2e3c0262","Code_83","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","957ab7a5-841b-4c6e-b2e0-7d86178c492f","Code_84","2023-09-29","http://www.cdisc.org","In Person","Code"
"C25716","d2a4a91c-fc26-4c60-bd19-5e5cee2b712a","Code_85","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","f19bdfcc-b464-4ac0-978d-9caceeb65f94","Code_86","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","4e210f9b-31ba-4999-a829-21179ca3337f","Code_87","2023-09-29","http://www.cdisc.org","In Person","Code"
"C25716","8c546933-a72b-41d7-83ec-0e88c0f694ad","Code_88","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","a285df9e-4747-448b-a13a-6c30d692bb9c","Code_89","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","6b831e77-e803-4e00-a038-860f053c0f6a","Code_90","2023-09-29","http://www.cdisc.org","In Person","Code"
"C25716","b423ba50-d1e4-416e-8818-eea50b65e9d8","Code_91","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","a68d2e89-61a3-47f0-aa66-6f2894458864","Code_92","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","9f540420-2231-40f8-8756-0fd35eeb81a5","Code_93","2023-09-29","http://www.cdisc.org","In Person","Code"
"C25716","7e7d2c66-b22a-4164-80de-7cb3fed3c1e1","Code_94","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","2229145b-9c21-4537-a747-9a896b42cb86","Code_95","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","c7486486-d1c7-4d08-a534-df810a52acec","Code_96","2023-09-29","http://www.cdisc.org","In Person","Code"
"C25716","2ee2ca73-6e0e-4dcb-8f4d-68ebf9902223","Code_97","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","655cc27f-a551-47b4-9a66-c72cf46ebbe2","Code_98","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","ec8cb146-9b57-4cc4-b57b-97bbdc40f27a","Code_99","2023-09-29","http://www.cdisc.org","In Person","Code"
"C25716","7aef4775-ebe7-4fe3-9aaf-1a0330f7ba0b","Code_100","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","57c6c0c3-8a59-4166-993b-bd70161e26bb","Code_101","2023-09-29","http://www.cdisc.org","Clinic","Code"
