"name","uuid:ID","label","id","description","instanceType"
"E1","c1f83669-0995-43b0-b64e-199ce51f7a4e","Screening 1","Encounter_1","Screening encounter","Encounter"
"E2","27e1bc34-c146-432f-94b1-714401f4dd31","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter"
"E3","9a9e09d4-7533-44aa-934d-c95b9710b808","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter"
"E4","6ec78fff-129e-4f47-bc90-c644a63343dc","Week 2","Encounter_4","Day 14","Encounter"
"E5","ed600213-ecc9-426f-80f7-a5d1dad967b8","Week 4","Encounter_5","Day 28","Encounter"
"E7","b6dabf05-1ed7-4f41-be34-ecf050fc78ce","Week 6","Encounter_6","Day 42","Encounter"
"E8","40853285-5227-4c46-8f0b-f62a14a25216","Week 8","Encounter_7","Day 56","Encounter"
"E9","ce3e6f7b-786e-4a4c-aba1-9d2fd986124f","Week 12","Encounter_8","Day 84","Encounter"
"E10","e859f9fd-03a7-4de6-8af4-42c6a39e926b","Week 16","Encounter_9","Day 112","Encounter"
"E11","34ac6a27-3ef2-4f1a-b1d4-90dc9f452daa","Week 20","Encounter_10","Day 140","Encounter"
"E12","98f95f19-c0d8-4946-9462-ecc69a25a012","Week 24","Encounter_11","Day 168","Encounter"
"E13","cd77c078-3a58-459d-95f7-b80dafaeb979","Week 26","Encounter_12","Day 182","Encounter"
