"name","uuid:ID","id","instanceType","text","sectionNumber","sectionTitle"
"ROOT","29ef27a9-eebf-47a4-999b-877049165b4b","NarrativeContent_1","NarrativeContent","","0","Root"
"SECTION 0","4ed29b60-bea9-490e-9861-becb50a67105","NarrativeContent_2","NarrativeContent","<div><usdm:section name=""M11-title-page""></div>","0","TITLE PAGE"
"SECTION 1","065c233c-087b-4fc3-8f3a-49028751d0b4","NarrativeContent_3","NarrativeContent","<div></div>","1","PROTOCOL SUMMARY"
"SECTION 1.1","1df158a0-9df1-4102-a3f7-cca7e9e10d4e","NarrativeContent_4","NarrativeContent","<div></div>","1.1","Protocol Synopsis"
"SECTION 1.2","98d28b96-5430-429d-b7b7-8703ee1a6c6c","NarrativeContent_5","NarrativeContent","<div></div>","1.2","Trial Schema"
"SECTION 1.3","fb06af9e-682c-45fc-9e86-4fcae0f01d80","NarrativeContent_6","NarrativeContent","<div></div>","1.3","Schedule of Activities"
"SECTION 2","5708c235-8f42-43fb-99e6-760cf45a222a","NarrativeContent_7","NarrativeContent","<div></div>","2","INTRODUCTION"
"SECTION 2.1","ec7473a5-962d-43b0-ac3d-2999b3a00789","NarrativeContent_8","NarrativeContent","<div></div>","2.1","Purpose of Trial"
"SECTION 2.2","9e783c3a-4a66-4e68-91c1-5f49f117bd60","NarrativeContent_9","NarrativeContent","<div></div>","2.2","Summary of Benefits and Risks"
"SECTION 3","884c6f67-7a61-48b5-bb94-0b0d93f1086c","NarrativeContent_10","NarrativeContent","<div></div>","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"SECTION 3.1","a3e4337b-630c-423d-860b-b92dc6777017","NarrativeContent_11","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","Primary Objectives"
"SECTION 4","66826f3f-2e41-4ac9-a2db-aba722b5b15b","NarrativeContent_12","NarrativeContent","<div></div>","4","TRIAL DESIGN"
"SECTION 4.1","f420c3ae-a728-4533-9209-61822ce4fd3e","NarrativeContent_13","NarrativeContent","<div></div>","4.1","Description of Trial Design"
"SECTION 4.1.1","3a6bb985-629d-4402-ab13-10232db342f6","NarrativeContent_14","NarrativeContent","<div></div>","4.1.1","Participant Input into Design"
"SECTION 4.2","c0f8cfd6-4f2b-4570-8f27-7d0e477771ad","NarrativeContent_15","NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","Rationale for Trial Design"
"SECTION 4.2.1","0068212e-7a02-436e-8067-88a39be5cba8","NarrativeContent_16","NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","Rationale for Comparator"
"SECTION 4.2.2","fd2fcd83-ee21-4ac5-8a71-c80425764bcc","NarrativeContent_17","NarrativeContent","<div></div>","4.2.2","Rationale for Adaptive or Novel Trial Design"
"SECTION 4.2.3","39811e7d-f88a-47a3-a85f-447b27d5c1f0","NarrativeContent_18","NarrativeContent","<div></div>","4.2.3","Other Trial Design Considerations"
