"name","uuid:ID","id","text","instanceType"
"ENCOUNTER_START_RULE_1","276c3065-73e9-4ba6-bcfb-e50ec735ab12","TransitionRule_1","Subject identifier","TransitionRule"
"ENCOUNTER_START_RULE_1","70261e18-c9a8-4b1b-82c5-999cc60e7805","TransitionRule_2","completion of screening activities","TransitionRule"
"ENCOUNTER_START_RULE_2","e376c360-3f39-4588-b27f-31bd6a8a41a0","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"ENCOUNTER_START_RULE_3","a19a873b-c0fd-4a73-89a7-4afaafb77b2d","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"ENCOUNTER_START_RULE_3","ffffe78c-0c2f-498c-965c-7b0e98a73a05","TransitionRule_5","Radomized","TransitionRule"
"ENCOUNTER_START_RULE_12","29885b2a-f438-48f3-9e29-14aeaca0b226","TransitionRule_6","End of treatment","TransitionRule"
"ELEMENT_START_RULE_1","877ac90d-ec44-41ef-9cf2-d08f88e80971","TransitionRule_7","Informed consent","TransitionRule"
"ELEMENT_END_RULE_1","1fc3fd64-8a90-4c6d-a652-9ee5ad3861ea","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"ELEMENT_START_RULE_2","44845f92-fba8-496b-8e1a-87aefd31f58c","TransitionRule_9","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_7","997d3b08-4bd7-44b2-aa47-e5a6c6f854b8","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"ELEMENT_END_RULE_7","5adfdb36-bce1-45f7-b6fc-5526d2203bdc","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"ELEMENT_START_RULE_3","70ef74f2-4434-4c2c-9ead-ccdc6d8d8e25","TransitionRule_10","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_4","40981f8c-c480-48e8-96fd-b203754eec82","TransitionRule_11","Randomized","TransitionRule"
"ELEMENT_START_RULE_5","4455afe9-97d1-4c17-ba9b-d5f2dca14ff3","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"ELEMENT_START_RULE_6","f799e588-fedb-47c1-95b8-da186515c0c5","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
