"isEnabled","name","uuid:ID","label","datatype","id","isRequired","instanceType"
"True","Vital Signs Result","8ba7a048-c2e5-403b-9826-56626b098c47","Vital Signs Result","decimal","BiomedicalConceptProperty_98","True","BiomedicalConceptProperty"
"True","Unit of Temperature","e7230a7c-3ff0-454e-a2d3-660a160e85c3","Unit of Temperature","string","BiomedicalConceptProperty_99","True","BiomedicalConceptProperty"
"True","Vital Signs Location","1d038c20-45e7-4e7e-9c53-9db679b409c4","Vital Signs Location","string","BiomedicalConceptProperty_100","True","BiomedicalConceptProperty"
"True","Vital Signs Result","d0a4df16-a595-4a71-b1cd-7b9f15a28ea0","Vital Signs Result","decimal","BiomedicalConceptProperty_101","True","BiomedicalConceptProperty"
"True","Unit of Weight","4016aaf1-3e1d-4349-8c63-5fafae2acb44","Unit of Weight","string","BiomedicalConceptProperty_102","True","BiomedicalConceptProperty"
"True","Vital Signs Result","ebfa40ee-9b5a-4540-a76d-39565f252137","Vital Signs Result","decimal","BiomedicalConceptProperty_103","True","BiomedicalConceptProperty"
"True","Unit of Height","46a6ceca-d0ab-4ba8-a6a8-9f690cdcaa92","Unit of Height","string","BiomedicalConceptProperty_104","True","BiomedicalConceptProperty"
"True","Laboratory Test Result","12b0e585-4275-4658-886b-bd4429119eed","Laboratory Test Result","decimal","BiomedicalConceptProperty_105","True","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","2666d241-6187-4d15-ad03-3174cafad5b5","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_106","True","BiomedicalConceptProperty"
"True","Unit of Catalytic Activity Concentration","1a06b6bb-8f15-4ed6-99c5-7207f9272f08","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_107","True","BiomedicalConceptProperty"
"True","Biospecimen Type","01e141fa-32a9-4934-8b4e-0ff604127edc","Biospecimen Type","string","BiomedicalConceptProperty_108","True","BiomedicalConceptProperty"
"True","Laboratory Test Result","cd50dc4b-b240-4e65-aa3e-18198b7dd951","Laboratory Test Result","string","BiomedicalConceptProperty_109","True","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","fd7c291c-2cb9-4fa3-9c2a-ef816ed7a95d","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_110","True","BiomedicalConceptProperty"
"True","Unit of Concentration","bfefc02d-8ffa-4270-8074-a9ad62cfd375","Unit of Concentration","string","BiomedicalConceptProperty_111","True","BiomedicalConceptProperty"
"True","Biospecimen Type","1e0c6853-7a13-4027-a31b-85cf2447d1f9","Biospecimen Type","string","BiomedicalConceptProperty_112","True","BiomedicalConceptProperty"
"True","Laboratory Test Result","b49ba81b-d89e-46a4-afe5-dd09d6034181","Laboratory Test Result","decimal","BiomedicalConceptProperty_113","True","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","430dd5f6-b956-4352-a56f-81ad7399c3c4","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_114","True","BiomedicalConceptProperty"
