"windowLower","name","uuid:ID","label","id","windowUpper","window","description","value","instanceType"
"","TIM1","4a45254b-61e0-4e1d-aa73-9332ace9b773","Screening","Timing_1","","","Screening timing","P2W","Timing"
"PT4H","TIM2","83395acf-ffb9-460f-b85f-0591bc672c7f","Pre dose","Timing_2","PT0H","-4..0 hours","Pre dose timing","P2D","Timing"
"","TIM3","fcdc7bd7-0e57-4502-ad7c-c88355099a9e","Dosing","Timing_3","","","Dosing anchor","P1D","Timing"
"P3D","TIM4","926695ee-f1cc-470b-8a46-7877b2f232d1","Week 2","Timing_4","P3D","-3..3 days","Week 2 timing","P2W","Timing"
"P3D","TIM5","40d0fd23-dd4a-4b96-9569-d63522db794e","Week 4","Timing_5","P3D","-3..3 days","Week 4 timing","P4W","Timing"
"P3D","TIM6","82ec5a78-bd33-4746-a78c-21661b677ed7","Week 6","Timing_6","P3D","-3..3 days","Week 6 timing","P6W","Timing"
"P3D","TIM7","62a9acab-ee4f-44f1-a140-11439a4e43df","Week 8","Timing_7","P3D","-3..3 days","Week 8 timing","P8W","Timing"
"P4D","TIM9","b88b201a-8afb-4582-b69f-4be8e545710f","Week 12","Timing_9","P4D","-4..4 days","Week 12 timing","P12W","Timing"
"P4D","TIM11","dc64ba30-2560-43c3-a254-69a748226af4","Week 16","Timing_11","P4D","-4..4 days","Week 16 timing","P16W","Timing"
"P4D","TIM13","1b4ea6d5-a11a-4407-936d-6ffc0177a920","Week 20","Timing_13","P4D","-4..4 days","Week 20 timing","P20W","Timing"
"P4D","TIM15","4cbbabaf-b030-414c-bee9-8dcf8c4aa868","Week 24","Timing_15","P4D","-4..4 days","Week 24 timing","P24W","Timing"
"P3D","TIM16","73c0ef73-308d-4260-b7be-373e41496bab","Week 26","Timing_16","P3D","-3..3 days","Week 26 timing","P26W","Timing"
"","TIM8","260cc7d0-6839-4708-9bf1-26bc62f510b5","Week 8 Home","Timing_8","","","Week 8 at home timing","P2W","Timing"
"","TIM10","d61319e8-10b7-4a82-81ee-94d6978ef1de","Week 12 Home","Timing_10","","","Week 12 at home timing","P2W","Timing"
"","TIM12","1445095b-7858-41fc-a92d-9ee69d079914","Week 16 Home","Timing_12","","","Week 16 at home timing","P2W","Timing"
"","TIM14","066f308b-07d8-4a5a-94af-76ab92ba1673","Week 20 Home","Timing_14","","","Week 20 at home timing","P2W","Timing"
"","TIM17","bbaa006c-6fbc-483d-9193-dafbe2b3f962","Adverse Event","Timing_17","","","Adverse Event","P1D","Timing"
"","TIM18","c9399d04-3920-459c-b7fa-a0a799dc9041","Early Termination","Timing_18","","","Early Termination","P1D","Timing"
"","TIM19","9df86498-247c-4630-84b9-fdef4839a8c9","Supine","Timing_19","","","Supine","PT0M","Timing"
"","TIM20","f2c4218b-c91b-425f-b7ee-23a49a1b3e94","VS while supine","Timing_20","","","VS while supine","PT5M","Timing"
"","TIM21","4189f0c9-df5f-4f9d-b3db-e7d2dc401168","Standing","Timing_21","","","Standing","PT0M","Timing"
"","TIM22","7a891255-afd6-4dac-81de-bf0931625b80","VS while standing","Timing_22","","","VS while standing","PT1M","Timing"
"","TIM23","5a8545bf-ff32-4d58-a7bf-04f98c24556b","Standing","Timing_23","","","Standing","PT0M","Timing"
"","TIM24","3886cd04-3664-48fe-b68d-8b7d8f9cb722","VS while standing","Timing_24","","","VS while standing","PT2M","Timing"
