"id","codeSystemVersion","uuid:ID","code","instanceType","codeSystem","decode"
"Code_1","2023-09-29","a16bd0be-143b-42b6-bc4d-5ad4b96005bf","C98388","Code","http://www.cdisc.org","Interventional Study"
"Code_2","2023-09-29","1533a660-28e7-4f82-a5d5-06ee22291399","C15601","Code","http://www.cdisc.org","Phase II Trial"
"Code_9","2023-09-29","7dd81fab-4330-4076-bfc8-ce98f5b0a340","C132352","Code","http://www.cdisc.org","Sponsor Approval Date"
"Code_10","2023-09-29","fd3d99d2-27d2-4526-8055-e7e252a7fb87","C68846","Code","http://www.cdisc.org","Global"
"Code_72","2023-09-29","3cf1271c-4a41-4a14-a679-8fbcd7089083","C99904x3","Code","http://www.cdisc.org","IRB/IEC Feedback"
"Code_73","2023-09-29","b2ac1649-0407-40ba-9c9e-d8e104fbf5ce","C17649","Code","http://www.cdisc.org","Other"
"Code_75","2023-09-29","a67a9a28-c109-412d-b025-d93b253011a2","C41129","Code","http://www.cdisc.org","Region"
"Code_74","2020-08","7d6f05f0-0054-4c18-830d-e0ba68cb5e02","150","Code","ISO 3166 1 alpha3","Europe"
"Code_4","12","0e238677-2878-4ec1-844a-4bd37a44fb40","PHARMA","Code","SPONSOR","Eli Lilly"
"Code_76","2023-09-29","97799f90-eafd-4b0e-82c7-b7646a56da6b","C70793","Code","http://www.cdisc.org","Clinical Study Sponsor"
"Code_77","2020-08","5ba6ac17-521f-44e9-a34f-be69148f3eb5","DNK","Code","ISO 3166 1 alpha3","Denmark"
"Code_78","2023-09-29","558d4839-20b8-47d3-b037-9f63c785d78c","C93453","Code","http://www.cdisc.org","Study Registry"
"Code_136","2023-09-29","13f9412e-5a2c-432c-9ac2-35cea3f4da45","C49656","Code","http://www.cdisc.org","Treatment Study"
"Code_137","2023-09-29","c964785a-fc3e-407f-a705-4431b08a3ffc","C49666","Code","http://www.cdisc.org","Efficacy Study"
"Code_138","2023-09-29","2ecffa07-3820-4cad-9c56-4233c823ccdf","C49667","Code","http://www.cdisc.org","Safety Study"
"Code_139","2023-09-29","8879b5d1-7d2d-4da0-9a8c-ef0e5c8575d8","C49663","Code","http://www.cdisc.org","Pharmacokinetic Study"
"Code_133","12","954c6493-0156-412d-ab31-757bab62e4b3","MILD_MOD_ALZ","Code","SPONSOR","Mild to Moderate Alzheimer's Disease"
"Code_134","January 31, 2018","23ee1c7b-d488-4bed-a5b2-c3f72ed27824","26929004","Code","SNOMED","Alzheimer's disease"
"Code_142","2023-09-29","5bcbdf60-45c6-45c5-bb93-7b3897bd2b07","C99907x1","Code","http://www.cdisc.org","EXTENSION"
"Code_143","2023-09-29","408338a1-be10-44df-b400-e4a29ef86e51","C98704","Code","http://www.cdisc.org","ADAPTIVE"
"Code_140","2023-09-29","a5fc71a4-d14e-4e57-834d-45e5fe566513","C82639","Code","http://www.cdisc.org","Parallel Study"
"Code_82","2023-09-29","fe267073-9a8b-4c03-a5ea-3db285fa6871","C25716","Code","http://www.cdisc.org","Visit"
