"windowLower","id","description","value","uuid:ID","name","window","instanceType","windowUpper","label"
"","Timing_1","Screening timing","P2W","2f68f668-8279-4ff0-b96a-588a2281105c","TIM1","","Timing","","Screening"
"PT4H","Timing_2","Pre dose timing","P2D","fab694e2-9d26-4f3a-b91f-a665eed28107","TIM2","-4..0 hours","Timing","PT0H","Pre dose"
"","Timing_3","Dosing anchor","P1D","2b825c34-c98d-4d6b-bcf2-d242d14f1e25","TIM3","","Timing","","Dosing"
"P3D","Timing_4","Week 2 timing","P2W","e0ad04e8-b693-4ae7-abf6-073d9bd8137e","TIM4","-3..3 days","Timing","P3D","Week 2"
"P3D","Timing_5","Week 4 timing","P4W","56fb790d-551a-4951-bc87-e5c5220f18b6","TIM5","-3..3 days","Timing","P3D","Week 4"
"P3D","Timing_6","Week 6 timing","P6W","33ce0293-f0cc-45d7-a8cb-e31bd7088b59","TIM6","-3..3 days","Timing","P3D","Week 6"
"P3D","Timing_7","Week 8 timing","P8W","878d62be-9628-40e2-bfd6-dfab63b95eb3","TIM7","-3..3 days","Timing","P3D","Week 8"
"P4D","Timing_9","Week 12 timing","P12W","29af1941-542f-4c9e-b624-5e1ac9004140","TIM9","-4..4 days","Timing","P4D","Week 12"
"P4D","Timing_11","Week 16 timing","P16W","7da9746e-3803-4c86-9c14-3f3bce98d6bf","TIM11","-4..4 days","Timing","P4D","Week 16"
"P4D","Timing_13","Week 20 timing","P20W","f3ef9b80-a9c8-48d4-9e3b-b0bf5f2dc034","TIM13","-4..4 days","Timing","P4D","Week 20"
"P4D","Timing_15","Week 24 timing","P24W","465aa41a-08f6-4956-a100-b79e13e2a367","TIM15","-4..4 days","Timing","P4D","Week 24"
"P3D","Timing_16","Week 26 timing","P26W","d8c7e84d-5fdf-40f0-97ba-5456784a6891","TIM16","-3..3 days","Timing","P3D","Week 26"
"","Timing_8","Week 8 at home timing","P2W","3b4ea807-b1ca-4ee7-a924-3ca295eca5f9","TIM8","","Timing","","Week 8 Home"
"","Timing_10","Week 12 at home timing","P2W","5ac1df42-472e-49ef-bdad-ad9ffe0b9a98","TIM10","","Timing","","Week 12 Home"
"","Timing_12","Week 16 at home timing","P2W","9ba429d0-8c2d-49a9-8811-44403e00a734","TIM12","","Timing","","Week 16 Home"
"","Timing_14","Week 20 at home timing","P2W","fc643edd-38fb-44a1-8760-613ade00f44c","TIM14","","Timing","","Week 20 Home"
"","Timing_17","Adverse Event","P1D","1bb97218-a65f-4378-a56c-77d932adfc7a","TIM17","","Timing","","Adverse Event"
"","Timing_18","Early Termination","P1D","d32e73e2-f80b-477f-88b2-72a1446ea062","TIM18","","Timing","","Early Termination"
"","Timing_19","Supine","PT0M","a039cf25-0774-48fc-a582-54ce03f89ef9","TIM19","","Timing","","Supine"
"","Timing_20","VS while supine","PT5M","472b6199-c307-4565-b023-286ba50ca025","TIM20","","Timing","","VS while supine"
"","Timing_21","Standing","PT0M","1b9da728-5df5-46f6-bcb6-2d7c853f9249","TIM21","","Timing","","Standing"
"","Timing_22","VS while standing","PT1M","d68cdd20-3778-4fd3-809d-d8b036b1501e","TIM22","","Timing","","VS while standing"
"","Timing_23","Standing","PT0M","75334818-eab9-4be1-9761-42feaba18c96","TIM23","","Timing","","Standing"
"","Timing_24","VS while standing","PT2M","29df30a7-2e71-4af8-9c8f-2a64be840db7","TIM24","","Timing","","VS while standing"
