"id","uuid:ID","name","instanceType","sectionTitle","text","sectionNumber"
"NarrativeContent_1","b5cd0fc0-3667-4021-8f32-4a42a4d1843c","ROOT","NarrativeContent","Root","","0"
"NarrativeContent_2","8cd5011d-201a-4c29-a69e-4d929e0d572c","SECTION 0","NarrativeContent","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","0"
"NarrativeContent_3","cc68c735-ec55-4a9b-826a-d3282df7c2cd","SECTION 1","NarrativeContent","PROTOCOL SUMMARY","<div></div>","1"
"NarrativeContent_4","cf61c73e-910f-4ea7-afc4-af0dc8304918","SECTION 1.1","NarrativeContent","Protocol Synopsis","<div></div>","1.1"
"NarrativeContent_5","986f17a3-2219-48d0-8b7e-ee9b19418bca","SECTION 1.2","NarrativeContent","Trial Schema","<div></div>","1.2"
"NarrativeContent_6","49f12dcf-8857-44bb-932a-fdd9b9a1a918","SECTION 1.3","NarrativeContent","Schedule of Activities","<div></div>","1.3"
"NarrativeContent_7","799d2b50-c14d-4ba0-9cc8-acf3fe62977a","SECTION 2","NarrativeContent","INTRODUCTION","<div></div>","2"
"NarrativeContent_8","db10375b-957b-4607-b27a-db260f1e4f85","SECTION 2.1","NarrativeContent","Purpose of Trial","<div></div>","2.1"
"NarrativeContent_9","67aa06d4-1be0-44d3-9bd5-df102b71ff5b","SECTION 2.2","NarrativeContent","Summary of Benefits and Risks","<div></div>","2.2"
"NarrativeContent_10","68776d9a-6c9d-4525-ab4f-af922b79c486","SECTION 3","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","3"
"NarrativeContent_11","4d446fd8-eeae-4449-aa60-9b8386a483d6","SECTION 3.1","NarrativeContent","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1"
"NarrativeContent_12","42e71f8a-bdad-4e37-8577-7efeb7a61558","SECTION 4","NarrativeContent","TRIAL DESIGN","<div></div>","4"
"NarrativeContent_13","4d7c8eb8-cc55-4c88-a8e0-826b7a5dc43c","SECTION 4.1","NarrativeContent","Description of Trial Design","<div></div>","4.1"
"NarrativeContent_14","4fcfafad-5a2f-4111-87c9-1bcb26548120","SECTION 4.1.1","NarrativeContent","Participant Input into Design","<div></div>","4.1.1"
"NarrativeContent_15","3a90a27b-655d-46b4-913c-078bcb8e922c","SECTION 4.2","NarrativeContent","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2"
"NarrativeContent_16","83c4c3ef-f91c-49b6-baf9-5f32e3fcbcec","SECTION 4.2.1","NarrativeContent","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1"
"NarrativeContent_17","b659d922-9c5b-4b22-8779-5d46ea93d8ac","SECTION 4.2.2","NarrativeContent","Rationale for Adaptive or Novel Trial Design","<div></div>","4.2.2"
"NarrativeContent_18","d9cf088a-a9a6-41c2-b534-202d9c55c776","SECTION 4.2.3","NarrativeContent","Other Trial Design Considerations","<div></div>","4.2.3"
"NarrativeContent_19","24d06658-9fb0-4ab7-ad11-81981c3a557b","SECTION 4.3","NarrativeContent","Access to Trial Intervention After End of Trial","<div></div>","4.3"
