"id","synonyms","uuid:ID","name","instanceType","reference","label"
"BiomedicalConcept_20","['Temperature']","f10fc15b-5065-4d6c-87f4-83e6cbe39547","Body Temperature","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature"
"BiomedicalConcept_21","['Weight']","2482fc02-bdc3-491e-bf0b-c6236057a67e","Body Weight","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight"
"BiomedicalConcept_22","['Height']","089cb0bb-25bd-4872-840a-2fe14c0916c9","Body Height","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height"
"BiomedicalConcept_23","['ALT', 'SGPT']","db9861cf-e75e-45ef-a700-ca09998fe880","Alanine Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement"
"BiomedicalConcept_24","['Albumin']","57499b93-53af-47a1-932f-7ce05ed7abc9","Albumin Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement"
"BiomedicalConcept_25","['Alkaline Phosphatase']","0571c70e-e4b9-4f8d-95f7-e8ba0a2c4837","Alkaline Phosphatase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement"
"BiomedicalConcept_26","['AST', 'SGOT']","78306168-9d4b-4a03-a13a-528b9a6fa97e","Aspartate Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_27","['Creatinine']","0dc2e08f-c9d4-47bb-8d2a-40f00d061290","Creatinine Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement"
"BiomedicalConcept_28","['Potassium', 'K']","77d1fe3f-996e-448b-98fe-f1a2f152ba61","Potassium Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement"
"BiomedicalConcept_29","['Sodium', 'NA']","fc940558-4eac-4618-9c0d-c0d433c2d5f0","Sodium Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement"
"BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']","72ca5335-5a39-4965-8a75-66ea1722944e","Adverse Event","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event"
"BiomedicalConcept_2","['SYSBP']","5bcf10ba-6b17-4639-8be3-a87230e1b0a2","Systolic Blood Pressure","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure"
"BiomedicalConcept_3","['DIABP']","a917970a-da35-4c2e-88db-101e02cedcc6","Diastolic Blood Pressure","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure"
"BiomedicalConcept_4","['Temperature']","4de177ab-0278-42da-8540-46a26d545b92","Body Temperature","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature"
"BiomedicalConcept_5","['Weight']","73402164-4a90-4827-bc5c-1cfae5acb62c","Body Weight","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight"
"BiomedicalConcept_6","['Height']","8c2c0897-71f6-46a4-93b3-e2a8f314d9f5","Body Height","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height"
"BiomedicalConcept_7","['ALT', 'SGPT']","6b286116-b7fb-4f56-9aab-c5b8cad8c008","Alanine Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement"
"BiomedicalConcept_8","['Albumin']","423b9da2-60ad-49fc-867c-ce1798755a76","Albumin Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement"
"BiomedicalConcept_9","['Alkaline Phosphatase']","d3bdc0f9-aecc-4d8a-9d2d-dc2afd11d259","Alkaline Phosphatase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement"
"BiomedicalConcept_10","['AST', 'SGOT']","8694d156-8433-40e3-a5f1-9cddb3650efb","Aspartate Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_11","['Creatinine']","25e58ff0-749d-490f-b9fa-97851f06a604","Creatinine Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement"
"BiomedicalConcept_12","['Potassium', 'K']","f251cf3b-aa21-4dca-9d05-7f75f16ee65f","Potassium Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement"
"BiomedicalConcept_13","['Sodium', 'NA']","7f55195d-f4f7-4b84-9af5-d5c420796184","Sodium Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement"
"BiomedicalConcept_14","['SYSBP']","3bdfa2cc-ce3c-4522-bec6-886209a76375","Systolic Blood Pressure","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure"
