"id","datatype","uuid:ID","isEnabled","name","instanceType","isRequired","label"
"BiomedicalConceptProperty_98","decimal","db238e80-c0a8-4428-b471-5a351693d774","True","Vital Signs Result","BiomedicalConceptProperty","True","Vital Signs Result"
"BiomedicalConceptProperty_99","string","cd553576-da55-42fd-b6b4-a294263f0751","True","Unit of Temperature","BiomedicalConceptProperty","True","Unit of Temperature"
"BiomedicalConceptProperty_100","string","942f4a4d-c928-4f1c-8b4f-8d1b8a218c78","True","Vital Signs Location","BiomedicalConceptProperty","True","Vital Signs Location"
"BiomedicalConceptProperty_101","decimal","207bdd66-3ef7-4d85-a3f7-212bda437706","True","Vital Signs Result","BiomedicalConceptProperty","True","Vital Signs Result"
"BiomedicalConceptProperty_102","string","760502a8-b1dd-4ff6-bc3a-704a158543b6","True","Unit of Weight","BiomedicalConceptProperty","True","Unit of Weight"
"BiomedicalConceptProperty_103","decimal","9fed4525-57ba-41b3-8784-2307bda453a7","True","Vital Signs Result","BiomedicalConceptProperty","True","Vital Signs Result"
"BiomedicalConceptProperty_104","string","7df97bd6-d3c9-4458-acb3-eb6e9b7dc846","True","Unit of Height","BiomedicalConceptProperty","True","Unit of Height"
"BiomedicalConceptProperty_105","decimal","18a7cdae-e6fe-4546-8387-5b698bed3b0b","True","Laboratory Test Result","BiomedicalConceptProperty","True","Laboratory Test Result"
"BiomedicalConceptProperty_106","boolean","c1384458-6644-476d-a1c0-aa10dcfd0d46","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_107","string","c76b731f-1607-4e40-9987-d859a25a4f6d","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_108","string","4eaf0232-6c7c-488b-ae83-3ced8a3da8a3","True","Biospecimen Type","BiomedicalConceptProperty","True","Biospecimen Type"
"BiomedicalConceptProperty_109","string","5c77ea65-6a04-4727-89e4-c3256f628db4","True","Laboratory Test Result","BiomedicalConceptProperty","True","Laboratory Test Result"
"BiomedicalConceptProperty_110","boolean","8d6367e5-046c-4973-97fe-40d00f500703","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_111","string","a2d55998-4f21-4faa-b605-2b872b075f7c","True","Unit of Concentration","BiomedicalConceptProperty","True","Unit of Concentration"
"BiomedicalConceptProperty_112","string","8fae3890-a4a2-4c57-ab82-0b148317d830","True","Biospecimen Type","BiomedicalConceptProperty","True","Biospecimen Type"
"BiomedicalConceptProperty_113","decimal","2926a40a-4199-4b53-874c-1a19ceccc325","True","Laboratory Test Result","BiomedicalConceptProperty","True","Laboratory Test Result"
"BiomedicalConceptProperty_114","boolean","d63cf45c-9fcc-4dbd-8bfb-b57d7fdc18fc","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_115","string","e00fb45a-6bf6-4f63-8691-866367417bef","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_116","string","36465287-0b81-4868-87be-eeca1cc73d0c","True","Biospecimen Type","BiomedicalConceptProperty","True","Biospecimen Type"
"BiomedicalConceptProperty_117","decimal","2ceda611-8a62-4421-86e4-adfa5efdbb33","True","Laboratory Test Result","BiomedicalConceptProperty","True","Laboratory Test Result"
"BiomedicalConceptProperty_118","boolean","417e5464-b9ec-471e-b14a-fbcee4afa367","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_119","string","b0681396-ec82-4b27-9a5c-3c4c2ed288e9","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_120","string","7c29d6ac-5d21-43fd-8fbf-b6c219da177f","True","Biospecimen Type","BiomedicalConceptProperty","True","Biospecimen Type"
