"id","description","uuid:ID","name","instanceType","label"
"Encounter_1","Screening encounter","0750b584-c12f-4317-919a-48eaf32350ee","E1","Encounter","Screening 1"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","9d957ca9-ef83-406f-8142-ab84c951364c","E2","Encounter","Screening 2"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","278bc716-e867-4306-823b-254fa3a54c92","E3","Encounter","Baseline"
"Encounter_4","Day 14","595b0ac3-24dc-49b6-8a5a-8a8fb8716347","E4","Encounter","Week 2"
"Encounter_5","Day 28","b08771bd-c224-4d62-b99a-b80610292f1c","E5","Encounter","Week 4"
"Encounter_6","Day 42","90212f11-4c42-4079-870a-fe1a16feba64","E7","Encounter","Week 6"
"Encounter_7","Day 56","181189c6-c93f-4010-90f2-d9c6adc97870","E8","Encounter","Week 8"
"Encounter_8","Day 84","673062f4-2881-4c05-84ef-99fb4bb5e0f3","E9","Encounter","Week 12"
"Encounter_9","Day 112","651b111d-8618-4049-830b-12b2b3ca1b12","E10","Encounter","Week 16"
"Encounter_10","Day 140","40d5ce80-ed36-4900-88ed-211760242e2f","E11","Encounter","Week 20"
"Encounter_11","Day 168","925113b2-bea0-4d4e-93fd-f0791040aac2","E12","Encounter","Week 24"
"Encounter_12","Day 182","7279b91c-b307-425f-a80a-1b88ce87f01e","E13","Encounter","Week 26"
