"instanceType","name","description","id","uuid:ID","label"
"ScheduledActivityInstance","SCREEN1","-","ScheduledActivityInstance_9","eee27e0b-e576-4553-b8ab-c82f1f6d0dbf","Screen One"
"ScheduledActivityInstance","SCREEN2","-","ScheduledActivityInstance_10","37690b19-84ad-45b5-a2bf-ace14eb093f5","Screen Two"
"ScheduledActivityInstance","DOSE","-","ScheduledActivityInstance_11","52f0f46f-4af0-4d54-ae12-cfe69bd0b705","Dose"
"ScheduledActivityInstance","WK2","-","ScheduledActivityInstance_12","205fb3fb-8b08-448a-8594-49733c3215ac","Week 2"
"ScheduledActivityInstance","WK4","-","ScheduledActivityInstance_13","eddf603d-efe5-41cd-a415-c1af4e16b438","Week 4"
"ScheduledActivityInstance","WK6","-","ScheduledActivityInstance_14","48ad1916-0c7d-4c87-82f3-7d98b824ec00","Week 6"
"ScheduledActivityInstance","WK8","-","ScheduledActivityInstance_15","982c6857-3885-4f47-b91f-5f7a85cd1dec","Week 8"
"ScheduledActivityInstance","WK8N","-","ScheduledActivityInstance_16","78976ae9-9fec-4d20-b4aa-2e8013f20f7c","Week NPI"
"ScheduledActivityInstance","WK12","-","ScheduledActivityInstance_17","11c3529f-3074-4f31-ab9b-41a89d23c201","Week 12"
"ScheduledActivityInstance","WK12N","-","ScheduledActivityInstance_18","7bfac971-e423-4b48-8ab5-f6731abc3329","Week 12 NPI"
"ScheduledActivityInstance","WK16","-","ScheduledActivityInstance_19","c764cb51-3cc4-4299-b51d-861d9274650e","Week 16"
"ScheduledActivityInstance","WK16N","-","ScheduledActivityInstance_20","59314d66-00db-4fd1-9a51-6483512908f9","Week 16 NPI"
"ScheduledActivityInstance","WK20","-","ScheduledActivityInstance_21","4c6157a4-8059-46c0-9323-2f9498377d37","Week 20"
"ScheduledActivityInstance","WK20N","-","ScheduledActivityInstance_22","26171865-3c90-4ed2-95b2-1043965fae1f","Week 20 NPI"
"ScheduledActivityInstance","WK24","-","ScheduledActivityInstance_23","de2bfea4-14cc-4fe0-8bcd-6aac367db035","Week 24"
"ScheduledActivityInstance","WK26","-","ScheduledActivityInstance_24","9b75c43d-0403-4e50-beff-e574dc8efe10","Week 26"
"ScheduledActivityInstance","AE","-","ScheduledActivityInstance_1","8101cf17-f63b-4519-bb73-34624e5548c2","Adevers Event"
"ScheduledActivityInstance","ET","-","ScheduledActivityInstance_2","5365cb70-e3c8-46f1-99c2-5ecc04d04819","Early Termination"
"ScheduledActivityInstance","VS_5MIN","","ScheduledActivityInstance_3","72bc27ac-1de9-41e8-954c-70c9f1734981","5 minute supine"
"ScheduledActivityInstance","VS_SUPINE","","ScheduledActivityInstance_4","756f54f6-ca1e-43b9-b8ed-976ac92c3a96","Vital signs supine"
"ScheduledActivityInstance","VS_1MIN","","ScheduledActivityInstance_5","523841f6-af1f-4dfd-bd75-8edb11d291b2","1 minute standing"
"ScheduledActivityInstance","VS_STAND1","","ScheduledActivityInstance_6","d581e832-b1ef-4ffd-9a44-fd3bb88fac12","Vital signs after 1 min standing"
"ScheduledActivityInstance","VS_2MIN","","ScheduledActivityInstance_7","d53151b9-cbbd-49a2-b365-c7a6725fc3fb","2 minute standing"
"ScheduledActivityInstance","VS_STAND3","","ScheduledActivityInstance_8","d9a3fc65-c395-4b59-aed2-2c60753ce8de","Vital signs after 3 min standing"
