"text","instanceType","name","id","uuid:ID"
"Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1","2b61bf0c-958e-4fb9-b8a4-5d2dffa61ba8"
"completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2","da9fbb1e-be86-422b-9da3-7ec025421f57"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3","e14c4f8e-0bd3-4ce6-bd82-7138e14199f4"
"subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4","ee73653a-37ba-4153-a2b9-7db6372abbcb"
"Radomized","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5","a0d59d67-b018-48f9-ad68-e3c9a4bf8172"
"End of treatment","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6","db3427cd-ef4a-4cbe-862f-5587543cd017"
"Informed consent","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7","41c11b01-8dc9-4cfe-9045-cb8629ae74b0"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8","dcc33b01-3ecf-4334-b52b-ef3ee904e2fa"
"Administration of first dose","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9","a75ef592-5e54-4c4c-92a0-1fb55a9167af"
"End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14","f4547144-b5be-4f97-ad99-e7470238e7a0"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15","872f4ba0-7c79-4b30-99dc-396ecd322872"
"Administration of first dose","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10","615a5f0c-9122-48a3-9873-057ff1c7abde"
"Randomized","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11","c849354a-5708-43e1-8ef5-145f9689463e"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12","937ff2d9-b4e9-4c2e-8e60-fa5e3cacb42d"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13","30111d98-4982-4b0d-9b99-1f0b85fb2e28"
