"codeSystemVersion","instanceType","decode","codeSystem","id","uuid:ID","code"
"2023-12-15","Code","Interventional Study","http://www.cdisc.org","Code_1","cbe62bff-bef9-4395-9fe7-7b6a992e5c11","C98388"
"2023-12-15","Code","Phase II Trial","http://www.cdisc.org","Code_2","d83e16b6-2368-43c7-9f38-26d8e45864cf","C15601"
"2023-12-15","Code","Sponsor Approval Date","http://www.cdisc.org","Code_9","dd6b8cfb-0d43-4b8c-a6eb-4e825b725e48","C132352"
"2023-12-15","Code","Global","http://www.cdisc.org","Code_10","e90bdaac-8cb8-454d-ac36-737edbbd65c3","C68846"
"2023-12-15","Code","IRB/IEC Feedback","http://www.cdisc.org","Code_72","e7ed6238-b39a-46f3-a0d5-f7b836f288ec","C99904x3"
"2023-12-15","Code","Other","http://www.cdisc.org","Code_73","389a208c-c89a-4708-a233-d5a9360370f5","C17649"
"2023-12-15","Code","Region","http://www.cdisc.org","Code_75","dda92649-9e04-4f7e-9a4e-26124ac87e62","C41129"
"2020-08","Code","Europe","ISO 3166 1 alpha3","Code_74","4c5899c6-3a4c-418b-bdaa-51f1c6b38c7e","150"
"12","Code","Eli Lilly","SPONSOR","Code_4","4c772ffc-0f22-49ba-8c50-af7040360ed4","PHARMA"
"2023-12-15","Code","Clinical Study Sponsor","http://www.cdisc.org","Code_76","e8f1c3e7-db56-4558-b59e-e5e6844b201e","C70793"
"2020-08","Code","United States of America","ISO 3166 1 alpha3","Code_77","1077c542-d7d9-43ee-a1fc-031062f318a9","USA"
"2023-12-15","Code","Study Registry","http://www.cdisc.org","Code_78","8e61377b-1d0a-4f3f-8beb-b6e58b0745de","C93453"
"2020-08","Code","United States of America","ISO 3166 1 alpha3","Code_79","cbf952a9-3b6a-4de0-bbb4-71861ab9d124","USA"
"2023-12-15","Code","Treatment Study","http://www.cdisc.org","Code_137","7eb8975a-83a8-44e2-861a-a02002b49f80","C49656"
"2023-12-15","Code","Efficacy Study","http://www.cdisc.org","Code_138","3d5abe2c-fcc0-4a0f-b787-8d3e0c4c91a9","C49666"
"2023-12-15","Code","Safety Study","http://www.cdisc.org","Code_139","c8d3da34-d63a-4786-9f24-9e75275059bb","C49667"
"2023-12-15","Code","Pharmacokinetic Study","http://www.cdisc.org","Code_140","3decfbb3-fb83-406f-b382-74b92dffa31e","C49663"
"12","Code","Mild to Moderate Alzheimer's Disease","SPONSOR","Code_134","897577e8-3994-4eca-8837-3c984a7df236","MILD_MOD_ALZ"
"January 31, 2018","Code","Alzheimer's disease","SNOMED","Code_135","a9217b88-888d-4593-970c-7c7bc987799f","26929004"
"2023-12-15","Code","EXTENSION","http://www.cdisc.org","Code_143","9a242ac9-9c7d-45e6-af8d-add4b62ca71c","C99907x1"
"2023-12-15","Code","ADAPTIVE","http://www.cdisc.org","Code_144","7b125161-5048-4184-850f-e4c836ad732e","C98704"
"2023-12-15","Code","Parallel Study","http://www.cdisc.org","Code_141","c94ad95a-11ba-4d30-a8e6-9b499756747a","C82639"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_83","759acae7-3f28-43d0-a733-b4541e7d24b3","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_84","93760324-ab88-4283-ae99-2d75b75c15a3","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_85","4abafcb3-6598-40bc-a23e-71c3a1fdc6cc","C175574"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_86","4b8e6ddc-00e5-4dc1-97ba-fb7a8f26550c","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_87","f969a3e2-6469-4c97-873f-4bc090cf6aa2","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_88","ad890491-4ccb-437a-be8a-349e7020415d","C175574"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_89","a074e7b7-0396-4f4b-87ad-76ab7d535792","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_90","287867d5-d4b4-40fb-8a83-2fa84313bacb","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_91","274ce74f-48b4-425e-90df-99333008945e","C175574"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_92","d35381bd-70c4-4f79-b600-f6628d81c0c0","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_93","2f81871f-f195-4af1-84f1-a2ecf245e6af","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_94","70d30610-d689-4202-bd72-93955e062f51","C175574"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_95","28636c0f-c976-4bfa-b115-37f021c64a01","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_96","91b1adf7-0638-436e-a3a9-a69e76bc3422","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_97","95a1a674-00d1-4399-9e44-f62c153dc1f4","C175574"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_98","d21bf24a-80f4-457b-a91c-215065b31a44","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_99","07b979cb-7ead-43c6-8882-a96120404fea","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_100","8e900c7e-164b-4bfd-bcd0-751aa1274181","C175574"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_101","57522274-33e4-4dad-bb92-0bb214d2a27d","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_102","2ac8188a-4f15-4bef-bb5a-de67e260c909","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_103","dc45d292-a3df-4379-8aa6-3a24baadbee2","C175574"
"2023-12-15","Code","Telephone Call","http://www.cdisc.org","Code_104","13290f7e-8d6f-4149-8736-26a5ef30cf93","C171537"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_105","471ff406-2ef0-44a5-926b-9dc4b3bc613b","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_106","6468c204-50d5-4814-986e-687e6452b268","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_107","be3db0fe-f522-4f17-8daa-aaf0804722be","C175574"
"2023-12-15","Code","Telephone Call","http://www.cdisc.org","Code_108","67cac235-8c02-48f8-9a38-3abba3d33a07","C171537"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_109","46be8702-9f17-455c-af31-058a02e6097a","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_110","d9c23a91-893a-46d0-950e-44cd3964ad53","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_111","94ebeba8-f120-4f98-8695-5ca1303eb0aa","C175574"
"2023-12-15","Code","Telephone Call","http://www.cdisc.org","Code_112","4449153f-ffb0-432a-b27b-a10752e9d2bd","C171537"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_113","b89302dd-fada-40db-a3fc-0eee0cae71f0","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_114","22df3fe0-f13f-495c-a190-a88a5b5cee1b","C51282"
"2023-12-15","Code","In Person","http://www.cdisc.org","Code_115","78993f44-0fb5-4179-8248-4b49683e1a40","C175574"
"2023-12-15","Code","Telephone Call","http://www.cdisc.org","Code_116","28c207c0-ac0b-4366-9a93-a0e1d80b2610","C171537"
"2023-12-15","Code","Visit","http://www.cdisc.org","Code_117","d679953f-2729-4219-8625-299043a1f0e3","C25716"
"2023-12-15","Code","Clinic","http://www.cdisc.org","Code_118","33d21310-19cb-4880-b959-be1d9bf68fcf","C51282"
