"datatype","instanceType","isRequired","name","isEnabled","id","uuid:ID","label"
"text","BiomedicalConceptProperty","True","DSDECOD","True","BiomedicalConceptProperty_116","eb808196-55de-432a-bf01-6f3ed441077f","DSDECOD"
"text","BiomedicalConceptProperty","True","DSTERM","True","BiomedicalConceptProperty_117","4c71344f-7c5c-485b-ba80-0f97066c3a25","DSTERM"
"datetime","BiomedicalConceptProperty","True","DSSTDTC","True","BiomedicalConceptProperty_118","51b3da1b-9742-489c-9fc5-dcbe6eca724c","DSSTDTC"
"string","BiomedicalConceptProperty","True","Sex","True","BiomedicalConceptProperty_119","7fb4c950-f3c9-44b9-96cb-b0609b3131c7","Sex"
"string","BiomedicalConceptProperty","True","Race","True","BiomedicalConceptProperty_120","670300a3-de65-4585-93c3-53edcd10d2cc","Race"
"","BiomedicalConceptProperty","True","VSTESTCD","True","BiomedicalConceptProperty_121","cb61c07d-f56c-4683-bbd1-4b2fa4b21345","VSTESTCD"
"float","BiomedicalConceptProperty","True","VSORRES","True","BiomedicalConceptProperty_122","0fb9095c-b527-4e7c-9010-2212e3592dad","VSORRES"
"","BiomedicalConceptProperty","True","VSORRESU","True","BiomedicalConceptProperty_123","7144a8ef-c68b-44b6-90c7-02c8808ea25a","VSORRESU"
"","BiomedicalConceptProperty","True","VSLOC","True","BiomedicalConceptProperty_124","32b5a4b4-eb21-4421-b3e5-e836e76c6eb5","VSLOC"
"","BiomedicalConceptProperty","True","VSTESTCD","True","BiomedicalConceptProperty_125","0929024b-ce8b-4191-89c0-2729f3c63914","VSTESTCD"
"float","BiomedicalConceptProperty","True","VSORRES","True","BiomedicalConceptProperty_126","a123d99d-d17b-4f2a-ade7-9b52d0fd89db","VSORRES"
"","BiomedicalConceptProperty","True","VSORRESU","True","BiomedicalConceptProperty_127","88fbe26b-c840-4ed6-bb73-9e7586c91e63","VSORRESU"
"","BiomedicalConceptProperty","True","VSTESTCD","True","BiomedicalConceptProperty_128","3ce3bf8b-beb6-4d3e-a3b4-5622b20135f4","VSTESTCD"
"float","BiomedicalConceptProperty","True","VSORRES","True","BiomedicalConceptProperty_129","83f07cf3-9efc-4281-9dbe-d749bfd1ad32","VSORRES"
"","BiomedicalConceptProperty","True","VSORRESU","True","BiomedicalConceptProperty_130","498e04b2-40e5-4e59-9bde-8dfc018e34ea","VSORRESU"
"","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_131","29d8fb4f-aeab-49b8-9687-08a87ee74caf","LBTESTCD"
"float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_132","f3885444-8e03-4d36-a79b-e5c05393906f","LBORRES"
"","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_133","6f1efd4b-7cd0-4ce4-b74a-c936509339dc","LBORRESU"
"","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_134","d48f2124-1915-4d69-b94c-9048dd1a6ed1","LBSPEC"
"","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_135","543d2fee-7c0f-4fdb-86d3-5f2bb39936ce","LBFAST"
"","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_136","b2803ce3-4eab-4e62-bcb5-0428f1e12868","LBTESTCD"
"text","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_137","cf4b42a7-5969-42f6-9ca7-cdca4920b503","LBORRES"
"","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_138","3d52bc81-8463-49fd-a6c1-2a990271b804","LBSPEC"
"","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_139","f1050ef4-365a-4655-9b6f-4bfe827ce8a0","LBFAST"
"","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_140","1966ae1f-ece1-4ab7-994e-563726304c4d","LBTESTCD"
"float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_141","b721e186-ddbc-4eef-af3b-848dbfbcca68","LBORRES"
"","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_142","facd15aa-5b68-408d-a0de-a975189f46d1","LBORRESU"
"","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_143","757adae1-3ea3-416d-a9b0-85b3acbf2be8","LBSPEC"
"","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_144","8568b4fc-5804-4b96-9ac8-2a5046e01b04","LBFAST"
"","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_145","8a355b39-8688-43c6-bfde-b279b6cbb9bc","LBTESTCD"
"float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_146","d7b01614-a9be-4a5d-a0a3-c41549e5e44c","LBORRES"
"","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_147","6b1b980c-2b1a-4f91-8b89-84da3e0f6e68","LBORRESU"
"","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_148","acb46c2e-a998-499f-bc8b-c4e397d495aa","LBSPEC"
"","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_149","b5810452-064f-4aca-a270-0a13e97ce005","LBFAST"
"","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_150","9066443f-b713-4505-9c38-6bde0c3cd69d","LBTESTCD"
"float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_151","b8c11005-c0c9-45dc-9a79-bb6866675a90","LBORRES"
"","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_152","92e355d4-2935-416b-824a-cd52da53e787","LBORRESU"
"","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_153","8671a91f-dcf6-489f-ac85-f8ce03ca7c55","LBSPEC"
"","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_154","cc77d4a1-6296-4bfe-a18b-dbf9d77cc48c","LBFAST"
"","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_155","25d840ee-7b0e-4fd6-b884-5b5d5e7e896c","LBTESTCD"
"float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_156","4a15ab9e-98fc-459c-8acf-d90e0ced0557","LBORRES"
"","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_157","e0371771-d446-4257-948e-41dba586f320","LBORRESU"
"","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_158","a558406c-ea8d-40fb-8e01-22d42e2e46ed","LBSPEC"
"","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_159","10f4b981-142c-4bfe-8a41-5b2443b3ae76","LBFAST"
"","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_160","fdb5e769-d69e-4eac-a47d-50523f1a93c4","LBTESTCD"
"float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_161","698c0d02-0676-4b5e-a5be-cef705c470d9","LBORRES"
"","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_162","768b01b7-db0a-45f3-a5bf-bc02ad37d47d","LBORRESU"
"","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_163","eb87ce9a-4be9-4529-ab6e-a64342f892df","LBSPEC"
"","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_164","de37ab9e-a7df-45f9-9586-35289709a5b4","LBFAST"
"","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_165","128afe4f-6ef9-4fe1-ba29-23acc344edd3","LBTESTCD"
"float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_166","6054e2d6-5b5b-4dab-b805-ee7608697c7d","LBORRES"
"","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_167","775268d3-4433-4bc6-9372-eef2893b804a","LBORRESU"
"","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_168","bbc1a2fa-48c4-4e3e-849c-a660d31dbd5f","LBSPEC"
"","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_169","088f37f1-660e-496b-9d38-5211e0ffd9c9","LBFAST"
"text","BiomedicalConceptProperty","True","AETERM","True","BiomedicalConceptProperty_1","33f7f830-b7d3-4b54-b51f-3aad1ee7b529","AETERM"
"text","BiomedicalConceptProperty","True","AEDECOD","True","BiomedicalConceptProperty_2","a857a5a7-3932-4be6-8be2-05ef2a094d8a","AEDECOD"
