"instanceType","name","id","uuid:ID","synonyms","reference","label"
"BiomedicalConcept","Informed Consent Obtained","BiomedicalConcept_20","26430180-76e1-453f-ab14-8dfa4c573cfd","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained"
"BiomedicalConcept","Sex","BiomedicalConcept_21","1ac09786-9c70-4470-a531-bcd78a6d3016","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex"
"BiomedicalConcept","Race","BiomedicalConcept_22","b969ea96-acb1-4d33-acb8-3a368a7e76be","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race"
"BiomedicalConcept","Temperature","BiomedicalConcept_23","95b1b51a-17fb-4eff-b5ce-1c21512bc69c","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"BiomedicalConcept","Weight","BiomedicalConcept_24","c8ad1f5b-b4cd-463b-88b5-b28d1edc1f63","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"BiomedicalConcept","Height","BiomedicalConcept_25","667b0436-7281-44d2-a6eb-8cb973103346","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","e352c020-2be6-4880-ae84-9a2cd18698eb","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_27","91532c3d-7fa5-4d43-8fad-642f0975db8f","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","9702eb87-ed63-4a05-8a7e-77eca89c8e66","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","886d0596-2eda-40f0-8e3a-bf9e4c7a8818","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_30","b548c74a-382d-43bf-a4dc-82cf2cf277ce","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_31","e883467b-42e8-4378-acfe-a2cba6c695a0","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_32","6464e3c2-a33e-4413-a458-3e9138b5074d","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"BiomedicalConcept","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","1b1eb62a-cc9e-4a94-8728-d947686224ff","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood"
"BiomedicalConcept","Adverse Event Prespecified","BiomedicalConcept_1","31007dfb-efa0-4143-ae1b-ecae636f4457","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified"
"BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","38fa1286-d06f-4a88-9cb7-751557f461ee","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","74a2a42c-f4ee-4427-935a-81a1d17ec77d","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"BiomedicalConcept","Temperature","BiomedicalConcept_4","3c46a68f-92d6-4ebe-bafb-d354ce672389","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"BiomedicalConcept","Weight","BiomedicalConcept_5","671eb742-a0f1-4bc3-b2c2-076c420f28a7","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"BiomedicalConcept","Height","BiomedicalConcept_6","2e308843-1fda-4ed5-b85c-1d001161c4a1","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","8c5c6219-e65b-4397-a748-55540095a1d6","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_8","0b81bfa5-e778-4497-a20d-72fa528c8db5","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","2e95826f-9db4-43a5-bbb5-17b8a8e71dc4","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","7d5fac19-6adf-4a21-9693-673e9c081177","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_11","cd3debae-e1df-4d86-a3d9-34bf44a8cf75","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_12","646bd52f-4e3e-4796-8aed-c8bea1e94948","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_13","8b80294b-20dc-4c50-a395-f6818f1aab01","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","75bd9d74-949c-4e82-b11d-933b643956d0","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","2987ba3c-75ae-4bc0-b195-c0de682058af","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"BiomedicalConcept","Heart Rate","BiomedicalConcept_16","beef4ab0-c9bb-4b9c-9d15-2af12b843c67","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
"BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","57703868-a2df-472c-82ee-db3d88db2909","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","a2d65f55-e4e5-4694-b32a-1d276071d2ca","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"BiomedicalConcept","Heart Rate","BiomedicalConcept_19","34f7c612-5650-4e91-a57d-11785647d913","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
