"instanceType","windowLabel","value","name","windowLower","description","id","uuid:ID","windowUpper","valueLabel","label"
"Timing","","P2W","TIM1","","Screening timing","Timing_1","a98e10aa-0658-4ac4-a582-69a87cbd78a1","","2 weeks","Screening"
"Timing","-4..0 hours","P2D","TIM2","PT4H","Pre dose timing","Timing_2","242ef131-82a2-4a05-ba3b-bd72b51b7ae3","PT0H","2 days","Pre dose"
"Timing","","P1D","TIM3","","Dosing anchor","Timing_3","c84846d2-34c7-4009-8308-878eb0b138fe","","1 Day","Dosing"
"Timing","-3..3 days","P2W","TIM4","P3D","Week 2 timing","Timing_4","4296d521-e03e-407b-9d5e-8393353c006b","P3D","2 Weeks","Week 2"
"Timing","-3..3 days","P4W","TIM5","P3D","Week 4 timing","Timing_5","d6fe8af4-463e-4e64-b918-af82e0ccbcdd","P3D","4 Weeks","Week 4"
"Timing","-3..3 days","P6W","TIM6","P3D","Week 6 timing","Timing_6","d1780707-c30b-46c1-964b-1b1866d9aa6d","P3D","6 Weeks","Week 6"
"Timing","-3..3 days","P8W","TIM7","P3D","Week 8 timing","Timing_7","49bffa95-3dc6-4ceb-97ad-429a4c349400","P3D","8 Weeks","Week 8"
"Timing","-4..4 days","P12W","TIM9","P4D","Week 12 timing","Timing_9","335f69d4-efd9-4ab1-8868-c8f4380e6881","P4D","12 Weeks","Week 12"
"Timing","-4..4 days","P16W","TIM11","P4D","Week 16 timing","Timing_11","ab95c3a1-916d-4d16-a05a-927d1ed94c58","P4D","16 Weeks","Week 16"
"Timing","-4..4 days","P20W","TIM13","P4D","Week 20 timing","Timing_13","90b7c7a5-59be-46f5-a940-49381c659237","P4D","20 Weeks","Week 20"
"Timing","-4..4 days","P24W","TIM15","P4D","Week 24 timing","Timing_15","e9aa95bf-2a2a-4d0b-bd80-c7e53cd281a9","P4D","24 Weeks","Week 24"
"Timing","-3..3 days","P26W","TIM16","P3D","Week 26 timing","Timing_16","59a11a9a-de5b-4e7e-98c3-20809a2c2913","P3D","26 Weeks","Week 26"
"Timing","","P2W","TIM8","","Week 8 at home timing","Timing_8","f295d337-2f14-4dff-bd2b-c4374b8eba23","","2 Weeks","Week 8 Home"
"Timing","","P2W","TIM10","","Week 12 at home timing","Timing_10","8dbe7383-1815-4090-9f43-c8a69f731932","","2 Weeks","Week 12 Home"
"Timing","","P2W","TIM12","","Week 16 at home timing","Timing_12","cb2e7ed2-95e2-47bd-b50e-bf6690f98538","","2 Weeks","Week 16 Home"
"Timing","","P2W","TIM14","","Week 20 at home timing","Timing_14","7a68a88c-4eab-4ce5-b47e-c11618868d03","","2 Weeks","Week 20 Home"
"Timing","","P1D","TIM17","","Adverse Event","Timing_17","f0f61a1f-193f-4985-94a7-eed7149751dd","","1 Day","Adverse Event"
"Timing","","P1D","TIM18","","Early Termination","Timing_18","e46f4f80-bc09-4944-b7a5-51d2a46187c2","","1 Day","Early Termination"
"Timing","","PT0M","TIM19","","Supine","Timing_19","e3c2b7e5-1fa4-4e03-bade-55747bf39a2b","","0 mins","Supine"
"Timing","","PT5M","TIM20","","VS while supine","Timing_20","a13b4d3c-18aa-458f-b0e9-44bc5171192a","","5 mins","VS while supine"
"Timing","","PT0M","TIM21","","Standing","Timing_21","c12da71c-abd9-437d-acd9-bdb257e85bd6","","0 min","Standing"
"Timing","","PT1M","TIM22","","VS while standing","Timing_22","c4c80fe1-f8f3-40dd-a2b3-3d2482235ad8","","1 min","VS while standing"
"Timing","","PT0M","TIM23","","Standing","Timing_23","010e5c44-1b4f-4968-9b59-f5b2b803a296","","0 min","Standing"
"Timing","","PT2M","TIM24","","VS while standing","Timing_24","4e3932c0-4b3f-4267-b3c9-c580cb42d35a","","2 min","VS while standing"
