"text","instanceType","purpose","name","description","id","uuid:ID","label"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","","END1","","Endpoint_1","a019dbee-9afb-4423-bf50-a2a4029a3543",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","","END2","","Endpoint_2","d0311ab1-61a4-4efb-ae90-30b4f5b3f7fc",""
"Adverse events","Endpoint","","END3","","Endpoint_3","7df51810-bdeb-4e52-b01a-7506ac75fef8",""
"Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","","END4","","Endpoint_4","82d1bef4-4e77-42fd-be86-86d7c2aacf9f",""
"Laboratory evaluations (Change from Baseline)","Endpoint","","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","8ab1ec39-298c-4d08-8405-1c42c5cd03cf",""
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","","END6","","Endpoint_6","895e07f5-3c45-49af-b42d-071687c70232",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","","END7","","Endpoint_7","30159fe0-7197-40c4-b3a0-3137c1532ab6",""
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","","END8","","Endpoint_8","f5a65038-8133-4710-a45a-1e4c2b3c9fbd",""
"*** To be determined from protocol ***","Endpoint","","END9","","Endpoint_9","0e8f56a6-6726-4b77-bd6e-2bc472d6788b",""
"*** To be determined from protocol ***","Endpoint","","END10","","Endpoint_10","d0e92ac0-b571-4a6a-b95d-8214a9f6d550",""
"*** To be determined from protocol ***","Endpoint","","END11","","Endpoint_11","d7d0a884-0110-4383-84ec-be1159a5e6dd",""
