"id","name","text","uuid:ID"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","9e2944b2-cb81-4140-b27b-4fde3079c523"
"TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","caec0139-f383-436c-85f8-e02f010966f2"
"TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","c0945c77-16cd-4b8d-9d82-d50158419fe6"
"TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","273f7124-aadb-43ae-9707-b205032bc37a"
"TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","e3380d23-7ddc-4cf7-808f-728c83059288"
"TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","11ad6435-0781-4ccf-ac88-a0260652d995"
"TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","4d8318c1-f062-43d3-b7c1-ca622447a739"
"TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","2bd668ff-fc0a-4cbf-b725-aa48abc550ca"
"TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","344d6cd0-af04-42ff-9928-e0a9dfcf1372"
"TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","5d1de065-e8e0-4990-b89d-9bca91183bb4"
"TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","80952f65-f454-4286-bdc4-4f58c25e4eea"
"TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","16fd2b77-ba19-459c-8773-97c492261c7c"
"TransitionRule_11","ELEMENT_START_RULE_4","Randomized","f12744d2-780e-44e0-9754-052bb6382530"
"TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","6bf16d1c-6cf7-4de2-9cd2-7052de0f1cc3"
"TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","3f5b51d0-0d39-46bc-a221-47486aafd6b0"
