"bcPropertyDatatype","name","label","uuid:ID","bcPropertyRequired","id","bcPropertyEnabled"
"decimal","Vital Signs Result","Vital Signs Result","0f22db69-a2cb-48a2-a9fc-e90d89a41881","True","BiomedicalConceptProperty_86","True"
"string","Unit of Temperature","Unit of Temperature","c7e52bbb-aa21-4341-a1f7-abe1cd8eee95","True","BiomedicalConceptProperty_87","True"
"string","Vital Signs Location","Vital Signs Location","aea0fe5b-e701-43ed-abc0-4aceb217abe0","True","BiomedicalConceptProperty_88","True"
"decimal","Vital Signs Result","Vital Signs Result","adafca43-090e-4b65-8fa3-3a2aba6a7272","True","BiomedicalConceptProperty_89","True"
"string","Unit of Weight","Unit of Weight","2bad0901-9c0e-46f3-ad79-a471e93b9660","True","BiomedicalConceptProperty_90","True"
"decimal","Vital Signs Result","Vital Signs Result","3b319736-e7d6-4846-8452-144476ed231f","True","BiomedicalConceptProperty_91","True"
"string","Unit of Height","Unit of Height","82f05bfa-c5e7-4efe-a6d8-9f365e0e9606","True","BiomedicalConceptProperty_92","True"
"decimal","Laboratory Test Result","Laboratory Test Result","d2146da0-682b-4efc-affa-ea24e3cf21c1","True","BiomedicalConceptProperty_93","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","49ee97f3-379b-4ed3-b120-20e4f0227a88","True","BiomedicalConceptProperty_94","True"
"string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","e45c2314-3eaa-429f-8284-0323dd9da35d","True","BiomedicalConceptProperty_95","True"
"string","Biospecimen Type","Biospecimen Type","39660004-e151-42bc-a178-86abdf59bed5","True","BiomedicalConceptProperty_96","True"
"string","Laboratory Test Result","Laboratory Test Result","68eaee98-3965-4238-8d14-5a7bba2a1b08","True","BiomedicalConceptProperty_97","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","29d3e455-fb2f-4ca3-9a13-cf19aca80a60","True","BiomedicalConceptProperty_98","True"
"string","Unit of Concentration","Unit of Concentration","e2ee23e6-1ddc-4dcc-ad99-8872f6a55740","True","BiomedicalConceptProperty_99","True"
"string","Biospecimen Type","Biospecimen Type","09b0bc90-c9aa-49fc-912c-de34a6e54e9f","True","BiomedicalConceptProperty_100","True"
"decimal","Laboratory Test Result","Laboratory Test Result","b5618ff5-6542-4c0b-acde-8cc1f69b5f0d","True","BiomedicalConceptProperty_101","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","9b18501c-38b3-4f50-90b5-ed0cabbc9bae","True","BiomedicalConceptProperty_102","True"
"string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","364b5f91-c445-4b4d-b4cd-efbc985c23a3","True","BiomedicalConceptProperty_103","True"
"string","Biospecimen Type","Biospecimen Type","da1fd7c6-da08-451f-8aff-61355f97b7e8","True","BiomedicalConceptProperty_104","True"
"decimal","Laboratory Test Result","Laboratory Test Result","92d42562-04ef-4eb1-bebb-e511e2cafa9a","True","BiomedicalConceptProperty_105","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","df4725f2-0fa3-4643-a4a6-578273e3da92","True","BiomedicalConceptProperty_106","True"
"string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","ae8743e1-95a4-49aa-bbda-2c01d96f017f","True","BiomedicalConceptProperty_107","True"
"string","Biospecimen Type","Biospecimen Type","01b3cffd-0492-44e9-8511-c76fd5bb698e","True","BiomedicalConceptProperty_108","True"
"string","Laboratory Test Result","Laboratory Test Result","b24fa488-66d0-402c-8fb7-2d2b6f82b63d","True","BiomedicalConceptProperty_109","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","5c1f3bd1-c17f-46cd-8122-0e0d8b01955b","True","BiomedicalConceptProperty_110","True"
"string","Unit of Concentration","Unit of Concentration","960b1450-7e1e-451c-af23-d71f6996f26c","True","BiomedicalConceptProperty_111","True"
