"timingWindow","name","timingWindowUpper","label","uuid:ID","id","timingWindowLower","description","timingValue"
"","TIM1","","Screening","722b9123-5d16-49ee-9135-6f87dde830ef","Timing_1","","Screening timing","P2W"
"-4..0 hours","TIM2","PT0H","Pre dose","90a9b03e-ff62-4ac5-a18a-6c7f090af8b8","Timing_2","PT4H","Pre dose timing","P2D"
"","TIM3","","Dosing","b0ed21ec-8a87-4c18-9cf2-062400dd99d2","Timing_3","","Dosing anchor","P1D"
"-3..3 days","TIM4","P3D","Week 2","b74f1025-5169-4747-80ed-53dddc264ea1","Timing_4","P3D","Week 2 timing","P2W"
"-3..3 days","TIM5","P3D","Week 4","42720c1c-b8ea-43b9-b296-703cb859e622","Timing_5","P3D","Week 4 timing","P4W"
"-3..3 days","TIM6","P3D","Week 6","3e27acad-b7dc-43e3-8aca-96abb54acdbf","Timing_6","P3D","Week 6 timing","P6W"
"-3..3 days","TIM7","P3D","Week 8","e6d83fd2-8703-4d42-b81a-5607f2e04502","Timing_7","P3D","Week 8 timing","P8W"
"","TIM8","","Week 8 Home","a4fbb802-dfe8-419c-a7a9-07f316b70b3a","Timing_8","","Week 8 at home timing","P2W"
"-4..4 days","TIM9","P4D","Week 12","a310afae-7b44-4e7e-a6ba-00ec1cd7485a","Timing_9","P4D","Week 12 timing","P12W"
"","TIM10","","Week 12 Home","8bd2f33b-6ed7-4764-877f-6c7cd21ae89e","Timing_10","","Week 12 at home timing","P2W"
"-4..4 days","TIM11","P4D","Week 16","13bedb38-2a5a-48cd-a3d1-cd72793f9ce4","Timing_11","P4D","Week 16 timing","P16W"
"","TIM12","","Week 16 Home","f5467c1c-d790-458a-8489-cdb5d5d3adc1","Timing_12","","Week 16 at home timing","P2W"
"-4..4 days","TIM13","P4D","Week 20","2c58f1a4-4f0c-4903-bf35-d6b80d5d2284","Timing_13","P4D","Week 20 timing","P20W"
"","TIM14","","Week 20 Home","a34eb9e7-fff5-4ebd-84f4-af7bfdd9b049","Timing_14","","Week 20 at home timing","P2W"
"-4..4 days","TIM15","P4D","Week 24","1efbd346-d890-42fe-aa05-e424d18d7b2a","Timing_15","P4D","Week 24 timing","P24W"
"-3..3 days","TIM16","P3D","Week 26","bafa303b-11f4-4862-af61-5ef0b518fe4c","Timing_16","P3D","Week 26 timing","P26W"
"","TIM17","","Adverse Event","bef8911c-5f87-41cb-86ca-e47f3910e0dc","Timing_17","","Adverse Event","P1D"
"","TIM18","","Early Termination","81f99e63-8992-47ca-a092-6994b4ade7bc","Timing_18","","Early Termination","P1D"
"","TIM19","","BP Anchor","2542dfc8-192a-413f-a54e-6aa632fb9633","Timing_19","","BP Anchor","PT0M"
"","TIM20","","BP while Supine","2310531d-7291-4af2-9cf7-ab0f572e4c7d","Timing_20","","BP while Supine","PT5M"
"-2..0 mins","TIM21","PT0M","BP Stand Up","457a1538-3a6f-493f-96f1-d375f546f7ae","Timing_21","PT2M","BP Stand Up","PT3M"
"","TIM22","","BP while standing","9e5699d5-439c-4d93-b1f5-9e2dc9156fce","Timing_22","","BP while standing","PT0M"
