"decode","codeSystemVersion","uuid:ID","codeSystem","id","code"
"Interventional Study","2023-09-29","bb8cf695-9253-47ad-a01a-4e3d0ced3869","http://www.cdisc.org","Code_1","C98388"
"Phase II Trial","2023-09-29","aa644404-3585-4303-a06b-54a7e8a8c00f","http://www.cdisc.org","Code_2","C15601"
"Sponsor Approval Date","2023-09-29","89076de7-ec55-4479-94fe-6e0faeef30e3","http://www.cdisc.org","Code_5","C132352"
"Global","2023-09-29","4ee342bd-0595-407c-834d-69fd0e42edd7","http://www.cdisc.org","Code_6","C68846"
"IRB/IEC Feedback","2023-09-29","01f51e9c-08ef-46ec-a015-bd5e994f5cd1","http://www.cdisc.org","Code_54","C99904x3"
"Other","2023-09-29","5ffd773a-c485-4e52-b99c-82e06097d2eb","http://www.cdisc.org","Code_55","C17649"
"Region","2023-09-29","9f61e39f-9216-41fa-a693-b4d5f8e2b99d","http://www.cdisc.org","Code_57","C41129"
"Europe","2020-08","4d348c65-0062-4604-9379-edc463e33b05","ISO 3166 1 alpha3","Code_56","150"
"Eli Lilly","12","f0c4c353-97c4-4d66-b748-0cf85a60cb6d","SPONSOR","Code_3","PHARMA"
"Clinical Study Sponsor","2023-09-29","cbe2d3d6-cd13-4657-80ea-5ae61788eeec","http://www.cdisc.org","Code_58","C70793"
"United States of America","2020-08","af580521-8ed1-449f-9e7b-a33862ae3a8c","ISO 3166 1 alpha3","Code_59","USA"
"Study Registry","2023-09-29","2673d109-249c-4e18-888a-1f4853c6416a","http://www.cdisc.org","Code_60","C93453"
"Treatment Study","2023-09-29","2015dddb-76c7-4493-a4f7-2992d3b635a2","http://www.cdisc.org","Code_118","C49656"
"Efficacy Study","2023-09-29","379a762c-a8e6-4039-9e22-41f47d2ccd6f","http://www.cdisc.org","Code_119","C49666"
"Safety Study","2023-09-29","17b227f5-03f3-4cce-9f2a-1386aede24ca","http://www.cdisc.org","Code_120","C49667"
"Pharmacokinetic Study","2023-09-29","03c0bd6c-60fb-4440-bc7e-61e2220fb3a6","http://www.cdisc.org","Code_121","C49663"
"Mild to Moderate Alzheimer\'s Disease","12","d273fb50-605c-4fc7-b87b-b9df774b7ca6","SPONSOR","Code_115","MILD_MOD_ALZ"
"Alzheimer\'s disease","January 31, 2018","d073013b-c8be-4750-a2c7-d325a289cd0f","SNOMED","Code_116","26929004"
"Parallel Study","2023-09-29","d6fdb1fd-a21c-4340-ac4a-eaafb78ccffc","http://www.cdisc.org","Code_122","C82639"
"Visit","2023-09-29","0635f863-3666-418b-9157-f6145baedc35","http://www.cdisc.org","Code_64","C25716"
"Clinic","2023-09-29","48e12e81-7881-4226-a830-dc005c2fb11a","http://www.cdisc.org","Code_65","C51282"
"In Person","2023-09-29","1d6b3dd6-c75d-4646-9bde-c9e06af99a3a","http://www.cdisc.org","Code_66","C175574"
"Visit","2023-09-29","79610b10-fc98-4529-a5ad-1ac6151bbc78","http://www.cdisc.org","Code_67","C25716"
"Clinic","2023-09-29","ef2971de-74df-40b5-93c0-6a13a2a67507","http://www.cdisc.org","Code_68","C51282"
"In Person","2023-09-29","3c40b32f-eb53-4e49-9126-557c39a3a37f","http://www.cdisc.org","Code_69","C175574"
"Visit","2023-09-29","05395ccd-9a15-4c1f-8558-179cd00d7cb0","http://www.cdisc.org","Code_70","C25716"
"Clinic","2023-09-29","019a5592-e988-4ef8-9252-6c70467704d6","http://www.cdisc.org","Code_71","C51282"
"In Person","2023-09-29","101f1bf9-8294-4a69-a658-84cf47e53601","http://www.cdisc.org","Code_72","C175574"
"Visit","2023-09-29","cd32580a-6686-49cd-8f45-e37deaad8501","http://www.cdisc.org","Code_73","C25716"
"Clinic","2023-09-29","78e8e63e-73c0-4d60-a36e-d3d6c371adf9","http://www.cdisc.org","Code_74","C51282"
"In Person","2023-09-29","5c2834c4-b1e1-4e7b-850f-2d5c60e44376","http://www.cdisc.org","Code_75","C175574"
"Visit","2023-09-29","e30d55e9-2796-47ac-af4b-335be8ba2c70","http://www.cdisc.org","Code_76","C25716"
"Clinic","2023-09-29","08b91729-9d44-450b-9cb3-3b125f10441b","http://www.cdisc.org","Code_77","C51282"
"In Person","2023-09-29","51b8ffe4-9f59-491f-9c3c-ce46f2142008","http://www.cdisc.org","Code_78","C175574"
"Visit","2023-09-29","8db0966f-ff64-49f3-acd7-0ab68ae56eb3","http://www.cdisc.org","Code_79","C25716"
"Clinic","2023-09-29","fef179e8-d3da-41f7-9da6-5bbbdc57caf8","http://www.cdisc.org","Code_80","C51282"
"In Person","2023-09-29","0195c601-68fe-43eb-869b-2c60552d3d54","http://www.cdisc.org","Code_81","C175574"
"Visit","2023-09-29","39df8fb2-97b6-4dc7-a847-dde45051f20e","http://www.cdisc.org","Code_82","C25716"
"Clinic","2023-09-29","09305383-da65-45c8-b574-89be6bbaa566","http://www.cdisc.org","Code_83","C51282"
"In Person","2023-09-29","f7ad67bf-f48f-4da2-a0a2-d6f9f3ea02f8","http://www.cdisc.org","Code_84","C175574"
"Telephone Call","2023-09-29","4a9931a3-76e3-47c7-a0cc-9c0edc8c7319","http://www.cdisc.org","Code_85","C171537"
"Visit","2023-09-29","ac24c0bd-4b9b-4703-8358-8362f3ecc0b3","http://www.cdisc.org","Code_86","C25716"
"Clinic","2023-09-29","2e4d1eaf-796f-4c08-b63d-8344967c5e7e","http://www.cdisc.org","Code_87","C51282"
"In Person","2023-09-29","81e9b81e-a7c0-4338-a716-5e301f86c165","http://www.cdisc.org","Code_88","C175574"
"Telephone Call","2023-09-29","960fc5e2-a25b-4817-9511-2289039ec565","http://www.cdisc.org","Code_89","C171537"
"Visit","2023-09-29","3b3effbb-04af-4fe9-9727-a6504de6be88","http://www.cdisc.org","Code_90","C25716"
"Clinic","2023-09-29","43592810-a8c9-4468-bd3f-07bdca436838","http://www.cdisc.org","Code_91","C51282"
"In Person","2023-09-29","7f35e16c-ac5b-4148-8f86-6dbff5d6b224","http://www.cdisc.org","Code_92","C175574"
"Telephone Call","2023-09-29","97c394b2-7050-4c6f-b0f8-f44f100f5558","http://www.cdisc.org","Code_93","C171537"
"Visit","2023-09-29","16d9ccd7-e2bc-4677-a304-82bdf0736ca1","http://www.cdisc.org","Code_94","C25716"
"Clinic","2023-09-29","cab2a2b2-98d9-420a-bae5-1150fc5171f4","http://www.cdisc.org","Code_95","C51282"
"In Person","2023-09-29","788c7e2d-3e70-45a5-9a02-7275bfdcb246","http://www.cdisc.org","Code_96","C175574"
"Telephone Call","2023-09-29","b9ece47f-3e5e-4c72-92f6-523241112149","http://www.cdisc.org","Code_97","C171537"
"Visit","2023-09-29","59d1505b-82e3-4120-b53e-481b5420815e","http://www.cdisc.org","Code_98","C25716"
"Clinic","2023-09-29","f11114fa-7fb4-4238-8667-91bb83b334b8","http://www.cdisc.org","Code_99","C51282"
"In Person","2023-09-29","32cce09b-f5fe-4b5b-b2c4-06a01b232284","http://www.cdisc.org","Code_100","C175574"
"Visit","2023-09-29","b7226bc3-86e1-4230-96cd-c25089afb347","http://www.cdisc.org","Code_101","C25716"
"Clinic","2023-09-29","4538ae00-ada5-47bf-ad4d-a0bf93328dab","http://www.cdisc.org","Code_102","C51282"
"In Person","2023-09-29","740c2423-e0ab-414f-9fea-6077503470f2","http://www.cdisc.org","Code_103","C175574"
"CT of head without contrast","January 31, 2018","54a4dc21-3d75-4165-9847-d50bf2dc0d70","SNOMED","Code_61","383371000119108"
"Supine for 5 minutes","12","7e9dec39-410b-454c-9cff-0b6f1184df09","SPONSOR","Code_62","123"
"Standingfor 1-3 minutes","12","d7fb0a68-ad41-45ba-831c-94c5180af944","SPONSOR","Code_63","124"
"Vital Signs Result","","c543292c-9f59-44c1-83b4-c985348b7303","NCI Thesaurus","Code_242","C173522"
"Kelvin","2023-09-29","cadb3d1c-505a-4a93-91aa-a99f8cd9ea1a","http://www.cdisc.org","Code_243","C42537"
"Unit of Temperature","","59c2f798-3614-4f23-a2c4-495a917c6215","NCI Thesaurus","Code_244","C44276"
"Vital Signs Location","","7080ff0d-8437-4166-a0d1-ec68d823cd38","NCI Thesaurus","Code_245","C83088"
"Body Temperature","","f7e26865-9f13-4dfa-b457-a04b8b2a4938","NCI Thesaurus","Code_241","C174446"
"Vital Signs Result","","2ece36c1-5113-4ff3-96fa-2fdafe8f02da","NCI Thesaurus","Code_247","C173522"
"Kilogram","2023-09-29","801d171e-c7d2-45c4-8f31-26ec2d0c6b42","http://www.cdisc.org","Code_248","C28252"
"Gram","2023-09-29","e3d07221-0e64-4957-b24c-0ce4886f4a5f","http://www.cdisc.org","Code_249","C48155"
"Pound","2023-09-29","a15e31c8-5586-4152-b557-f7321364cc4b","http://www.cdisc.org","Code_250","C48531"
"Unit of Weight","","3354f1c7-32ce-4702-a6d5-37ada80549cc","NCI Thesaurus","Code_251","C48208"
"Body Weight","","6b51f3c9-8b8c-4782-b53e-aa69f3ed49ab","NCI Thesaurus","Code_246","C81328"
"Vital Signs Result","","3c795612-fa0c-443b-ac2a-bd0b4afc8064","NCI Thesaurus","Code_253","C173522"
"Centimeter","2023-09-29","48992161-20d9-466a-9322-15145a2ae01b","http://www.cdisc.org","Code_254","C49668"
"Inch","2023-09-29","5b57c043-9494-4f2d-bb6e-cfd93004c6f2","http://www.cdisc.org","Code_255","C48500"
"Millimeter","2023-09-29","37a9588a-736c-4f8d-a7c9-5a77c23a0fa9","http://www.cdisc.org","Code_256","C28251"
"Meter","2023-09-29","add91bcc-8d4a-4af1-9f20-e2c68b209d8a","http://www.cdisc.org","Code_257","C41139"
"Unit of Height","","06ca6a57-2f26-45b4-8e65-f99b37ffc44f","NCI Thesaurus","Code_258","C168688"
"Body Height","","76ed11ab-6ec9-4088-92d6-1e5c17974ba1","NCI Thesaurus","Code_252","C164634"
"Laboratory Test Result","","a5744df3-255e-41ee-8762-36e2975269c0","NCI Thesaurus","Code_260","C36292"
"Laboratory Test Fasting Status","","40fdf2b5-f8da-4cfc-8a7a-373919f3ec79","NCI Thesaurus","Code_261","C83309"
"Unit of Catalytic Activity Concentration","","5a28f888-e3e1-45c7-99b7-fb32c604789e","NCI Thesaurus","Code_262","C67365"
