"name","sectionTitle","sectionNumber","text","uuid:ID","id"
"ROOT","Root","0","","45b08ab2-1b88-4d3c-bdda-4b04cede98ce","NarrativeContent_1"
"SECTION 0","TITLE PAGE","0","<div><usdm:section name=""M11-title-page""></div>","ed8fd73f-cd33-46dd-abb6-6b6b57b16a9b","NarrativeContent_2"
"SECTION 1","PROTOCOL SUMMARY","1","<div></div>","fdc44c31-7423-4f60-a072-8475a9242295","NarrativeContent_3"
"SECTION 1.1","Protocol Synopsis","1.1","<div></div>","a8545c00-13b1-43b8-b10a-b2eb2a4a8fe5","NarrativeContent_4"
"SECTION 1.2","Trial Schema","1.2","<div></div>","c869faf3-95c8-458e-a046-b1bb801db621","NarrativeContent_5"
"SECTION 1.3","Schedule of Activities","1.3","<div></div>","8e70b097-794f-44a6-8bf2-d914fb918573","NarrativeContent_6"
"SECTION 2","INTRODUCTION","2","<div></div>","5caee615-62e4-425c-b232-1b06162ceb9d","NarrativeContent_7"
"SECTION 2.1","Purpose of Trial","2.1","<div></div>","4a1a0f1f-5a8f-45f3-8ed3-e5e830177486","NarrativeContent_8"
"SECTION 2.2","Summary of Benefits and Risks","2.2","<div></div>","b05e4cfa-0c8b-440d-b27f-8f8b636c63c5","NarrativeContent_9"
"SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","<div></div>","819a73d4-ebb7-49bd-b1a8-a034ebe24911","NarrativeContent_10"
"SECTION 3.1","Primary Objectives","3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","5ba3e1c5-80cc-4a36-91fa-491b90b8cb10","NarrativeContent_11"
"SECTION 4","TRIAL DESIGN","4","<div></div>","23e0c110-bec3-4a09-aac5-dcca4ae45801","NarrativeContent_12"
"SECTION 4.1","Description of Trial Design","4.1","<div></div>","4bb8bc3c-9bd8-47e5-98d1-b69d84aff3f5","NarrativeContent_13"
"SECTION 4.1.1","Participant Input into Design","4.1.1","<div></div>","98f6ccbd-a756-4b27-a5cd-1ec8007008c2","NarrativeContent_14"
"SECTION 4.2","Rationale for Trial Design","4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","ab7e4509-b724-4ad5-abec-40c257f6d157","NarrativeContent_15"
"SECTION 4.2.1","Rationale for Comparator","4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","6e7164b6-86a3-4541-bc24-4c4c2e5ee691","NarrativeContent_16"
"SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","4.2.2","<div></div>","3adb179c-f5be-46ce-9e1c-9e1fb79fcc5c","NarrativeContent_17"
"SECTION 4.2.3","Other Trial Design Considerations","4.2.3","<div></div>","90b21405-bf4d-4ebc-a4ae-10bdd8462b65","NarrativeContent_18"
"SECTION 4.3","Access to Trial Intervention After End of Trial","4.3","<div></div>","846ba6ad-b157-4abc-859c-252e59e3f2ee","NarrativeContent_19"
"SECTION 4.4","Start of Trial and End of Trial","4.4","<div></div>","a48ff1f7-b563-40d6-a153-500a3ce0715d","NarrativeContent_20"
"SECTION 5","TRIAL POPULATION","5","<div></div>","a23a0829-c7ed-4791-a59e-9fe332977997","NarrativeContent_21"
"SECTION 5.1","Selection of Trial Population","5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","70a32038-7ec3-4ca6-b69c-8c5f411aed80","NarrativeContent_22"
"SECTION 5.2","Rationale for Trial Population","5.2","<div></div>","96fc29ee-c517-4899-bea8-03977912e342","NarrativeContent_23"
"SECTION 5.3","Inclusion Criteria","5.3","<div><usdm:section name=""M11-inclusion""></div>","28a02832-434d-4f4f-af8d-f4b7afa21dc5","NarrativeContent_24"
"SECTION 5.4","Exclusion Criteria","5.4","<div><usdm:section name=""M11-exclusion""></div>","39039c7d-c31b-401c-8511-052e855bef23","NarrativeContent_25"
"SECTION 5.5","Lifestyle Considerations","5.5","<div></div>","aded1402-9059-47b3-8c0d-83cf31ffedd5","NarrativeContent_26"
"SECTION 5.5.1","Meals and Dietary Restrictions","5.5.1","<div></div>","1b9adc0e-ed60-4524-adf2-bf4144ed520e","NarrativeContent_27"
"SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","<div><p>Not applicable</p></div>","5e7458c5-befe-4e56-8e59-5b1abdd560d2","NarrativeContent_28"
"SECTION 5.5.3","Physical Activity","5.5.3","<div></div>","f09b7533-6ee0-40e8-a6b0-d3ac3fff816c","NarrativeContent_29"
"SECTION 5.5.4","Other Activity","5.5.4","<div></div>","5c2941e7-a2b1-497a-b8e3-df26566ca88a","NarrativeContent_30"
"SECTION 5.6","Screen Failures","5.6","<div></div>","a8fd2cb2-44ea-4592-a884-ca8f9101e63b","NarrativeContent_31"
"SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","<div></div>","238ea88a-254e-4583-884a-e6a627d75747","NarrativeContent_32"
"SECTION 6.1","Description of Trial Intervention","6.1","<div></div>","f1eb50a4-7df3-4990-8e9c-364c6cc1ca58","NarrativeContent_33"
"SECTION 6.2","Rationale for Trial Intervention","6.2","<div></div>","39799237-ba19-41fe-b913-adaba9d53302","NarrativeContent_34"
"SECTION 6.3","Dosing and Administration","6.3","<div></div>","5d6a5f90-c68c-4c76-ba3c-7222d4c21d67","NarrativeContent_35"
"SECTION 6.3.1","Trial Intervention Dose Modification","6.3.1","<div></div>","8190fa08-b055-45f5-bba2-1ca060671cd1","NarrativeContent_36"
"SECTION 6.4","Treatment of Overdose","6.4","<div></div>","2058deaa-782c-461e-a6f7-1427d0cba53f","NarrativeContent_37"
