"name","bcReference","label","uuid:ID","bcSynonyms","id"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","51bb8d11-a19f-424a-8fa0-b5c4efc45dc9","['Temperature']","BiomedicalConcept_18"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","607e26ce-60f9-499d-9d95-8407944305ff","['Weight']","BiomedicalConcept_19"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","12a60400-740e-4dcf-9cf0-e642b27ce003","['Height']","BiomedicalConcept_20"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","d703b681-968c-43a4-92e7-d285f63dbcb0","['ALT', 'SGPT']","BiomedicalConcept_21"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","c9186b63-3e2a-47cb-9479-af0ac93a3e06","['Albumin']","BiomedicalConcept_22"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","bec5977f-d145-4430-a009-eb0cb84a4d7e","['Alkaline Phosphatase']","BiomedicalConcept_23"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","c05f346e-741b-4cce-bf41-d712f994e778","['AST', 'SGOT']","BiomedicalConcept_24"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","1ed0d734-7667-4290-9777-6535a8cc2ae2","['Creatinine']","BiomedicalConcept_25"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","52be1a13-ed8b-4405-9642-660120c099b1","['Potassium', 'K']","BiomedicalConcept_26"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","11153c9e-f875-40f2-9299-3336b5f81ae6","['Sodium', 'NA']","BiomedicalConcept_27"
