"instanceType","text","id","purpose","label","name","uuid:ID","description"
"ENDPOINT","Clinical status assessed using a 7-category ordinal scale at Day 28","Endpoint_1","","","END1","96b87f35-21b2-4d25-a342-85a21686f253",""
"ENDPOINT","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","Endpoint_2","","","END2","8fefd2e9-ca41-41ea-8180-75c6f74841fd",""
"ENDPOINT","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","Endpoint_3","","","END3","cc497512-20a3-4c99-968d-5b3913a0e48e",""
"ENDPOINT","Incidence of mechanical ventilation","Endpoint_4","","","END4","5ca1289f-0813-4eea-9b8e-1aab528312aa",""
"ENDPOINT","Ventilator-free days to Day 28","Endpoint_5","","","END5","df05bf3a-ff5c-4636-801e-4812aaa5ad25",""
"ENDPOINT","Incidence of intensive care unit (ICU) stay","Endpoint_6","","","END6","2be8d19e-30c2-455d-bfa2-5588d9a542be",""
"ENDPOINT","Duration of ICU stay","Endpoint_7","","","END7","5677d2ef-302c-4bc2-bde8-891c43b86ff4",""
"ENDPOINT","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","Endpoint_8","","","END8","97114b9c-a7b6-4333-8962-d1306075704e",""
"ENDPOINT","Mortality rate at Days 7, 14, 21, 28, and 60","Endpoint_9","","","END9","1e47700a-89fb-434b-b1ae-d23aaa447b04",""
"ENDPOINT","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","Endpoint_10","","","END10","75970f0a-6a44-4733-b6ee-aaa989a1bbf1",""
"ENDPOINT","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","Endpoint_11","","","END11","258775ee-946b-41ae-9597-b0beafdb0d8a",""
"ENDPOINT","Duration of supplemental oxygen","Endpoint_12","","","END12","3428ef2e-fd20-4ea6-aa34-2c76fe88c550",""
