"sectionTitle","text","id","name","uuid:ID","sectionNumber"
"Root","","NarrativeContent_1","ROOT","094c0278-20a5-4d0c-ae7f-c44da6bfc1f0","0"
"PROTOCOL SUMMARY","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","NarrativeContent_2","SECTION 1","bea144fe-67a8-4ec5-9eda-736f80247159","1"
"Protocol Synopsis","<div></div>","NarrativeContent_3","SECTION 1.1","5730005b-cbc5-4c0a-9cb2-cec27e0956c2","1.1"
"Trial Schema","<div></div>","NarrativeContent_4","SECTION 1.2","10b8a48f-300c-46cb-a59f-f711b3239580","1.2"
"Schedule of Activities","<div></div>","NarrativeContent_5","SECTION 1.3","927ceaf5-f64b-4a72-a42a-0e7116be9ae2","1.3"
"INTRODUCTION","<div></div>","NarrativeContent_6","SECTION 2","8e33e652-d173-4868-b129-a03ae7b9dc50","2"
"Purpose of Trial","<div></div>","NarrativeContent_7","SECTION 2.1","e6d3202b-cf69-4d01-9d7a-16edafb2dde6","2.1"
"Summary of Benefits and Risks","<div></div>","NarrativeContent_8","SECTION 2.2","b9041312-62fe-49b8-8bdd-66d7bfd29de0","2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_9","SECTION 3","a782a6f9-7d41-4c23-8cda-88c1ee9737d7","3"
"Primary Objectives","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","NarrativeContent_10","SECTION 3.1","d7f9c413-1a73-4dd2-9a22-14a35772d7d0","3.1"
"TRIAL DESIGN","<div></div>","NarrativeContent_11","SECTION 4","1fc88dc9-bb09-4874-ac45-b7f83dc17ddb","4"
"Description of Trial Design","<div></div>","NarrativeContent_12","SECTION 4.1","e26cdce3-b854-408f-acd0-6bb90f43f8a9","4.1"
"Participant Input into Design","<div></div>","NarrativeContent_13","SECTION 4.1.1","d1134f70-ce71-4b9e-87b2-dddb027ffade","4.1.1"
"Rationale for Trial Design","<div></div>","NarrativeContent_14","SECTION 4.2","bb5a822b-1c18-4ab9-a02a-df93f8632885","4.2"
"Rationale for Comparator","<div></div>","NarrativeContent_15","SECTION 4.2.1","4ee6694a-c61b-4389-b7b9-a9c104e9ad10","4.2.1"
"Rationale for Adaptive or Novel Trial Design","<div></div>","NarrativeContent_16","SECTION 4.2.2","b51a5344-0a2b-46c9-a3c0-7eed01283924","4.2.2"
"Other Trial Design Considerations","<div></div>","NarrativeContent_17","SECTION 4.2.3","c92c63e9-68b3-486c-aa25-97e1968c3c7b","4.2.3"
"Access to Trial Intervention After End of Trial","<div></div>","NarrativeContent_18","SECTION 4.3","4e8d9919-c1a1-4a21-8d58-890ec7547f41","4.3"
"Start of Trial and End of Trial","<div></div>","NarrativeContent_19","SECTION 4.4","cc0d7c3a-15d9-433d-bbf7-f48816fbb41d","4.4"
