"purpose","id","description","label","uuid:ID","instanceType","name","text"
"","Endpoint_1","","","0ce7aea1-c8dc-4103-8cce-82b38186838d","Endpoint","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","Endpoint_2","","","6e9d20ee-218b-4d67-a47b-79172123792d","Endpoint","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","Endpoint_3","","","209f4035-5cd9-4bb2-9dd7-cf2b56db0e06","Endpoint","END3","Adverse events"
"","Endpoint_4","","","7d8a9d8b-2218-44d6-8715-82652f340cd3","Endpoint","END4","Vital signs (weight, standing and supine blood pressure, heart rate)"
"","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","bb873d8d-9f79-44aa-af4b-d106255b7ca3","Endpoint","END5","Laboratory evaluations (Change from Baseline)"
"","Endpoint_6","","","5e9e5e47-7973-464e-b42e-ed36623a375e","Endpoint","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","Endpoint_7","","","6c0fe607-b209-476e-a5e3-e44733af106b","Endpoint","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","Endpoint_8","","","2cfe8e06-408e-480f-8e92-2991d619f61b","Endpoint","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","Endpoint_9","","","5a3c1611-2810-47e2-8c43-dbd6d7c48a06","Endpoint","END9","*** To be determined from protocol ***"
"","Endpoint_10","","","d8b686c5-ac61-4960-af86-1d3caf0f975c","Endpoint","END10","*** To be determined from protocol ***"
"","Endpoint_11","","","d55497dc-8b73-4f30-8dad-54120b21167e","Endpoint","END11","*** To be determined from protocol ***"
