"decode","id","uuid:ID","instanceType","codeSystemVersion","code","codeSystem"
"Interventional Study","Code_1","a866a1a9-a057-449e-a49b-90bb5869ec10","Code","2023-12-15","C98388","http://www.cdisc.org"
"Phase II Trial","Code_2","bfad52c0-18a5-4e2c-b212-4d21b6b3bff3","Code","2023-12-15","C15601","http://www.cdisc.org"
"Sponsor Approval Date","Code_9","a7c20fd3-4699-41ce-bfbe-0fceb3253730","Code","2023-12-15","C132352","http://www.cdisc.org"
"Global","Code_10","fea068ea-2035-4f4e-a2da-b16bb4307e09","Code","2023-12-15","C68846","http://www.cdisc.org"
"IRB/IEC Feedback","Code_72","263b5703-75b5-4f4a-ba7c-49f8bf398611","Code","2023-12-15","C99904x3","http://www.cdisc.org"
"Other","Code_73","7342594b-9106-4ae3-a651-be6be5085476","Code","2023-12-15","C17649","http://www.cdisc.org"
"Region","Code_75","2df6e094-978c-4684-9446-1ff8460bbef4","Code","2023-12-15","C41129","http://www.cdisc.org"
"Europe","Code_74","ca228967-989c-43c6-a90c-9b2838758f0f","Code","2020-08","150","ISO 3166 1 alpha3"
"Eli Lilly","Code_4","ee1f2cee-f8ba-420d-b14a-9a40c6e23dbf","Code","12","PHARMA","SPONSOR"
"Clinical Study Sponsor","Code_76","3fd761f3-30f0-4b02-b52f-f6d53bc4d872","Code","2023-12-15","C70793","http://www.cdisc.org"
"United States of America","Code_77","942228a7-aec3-4356-a76e-ca92be9c6129","Code","2020-08","USA","ISO 3166 1 alpha3"
"Study Registry","Code_78","87723501-23bf-49a9-8d02-7665af359bf1","Code","2023-12-15","C93453","http://www.cdisc.org"
"United States of America","Code_79","f5c9ae3b-984f-4066-a3a4-51b76a54e9ba","Code","2020-08","USA","ISO 3166 1 alpha3"
"Treatment Study","Code_137","2dfdfe09-4050-44bf-b35b-0770113c623d","Code","2023-12-15","C49656","http://www.cdisc.org"
"Efficacy Study","Code_138","c4eee05a-4d50-49a2-aa3e-1c647d524e5c","Code","2023-12-15","C49666","http://www.cdisc.org"
"Safety Study","Code_139","594da4ca-979e-4d97-bd8f-e014b5096202","Code","2023-12-15","C49667","http://www.cdisc.org"
"Pharmacokinetic Study","Code_140","02d46c2e-22bd-47d5-a060-ab73dc394d8e","Code","2023-12-15","C49663","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","Code_134","f58d6c18-dbe8-4879-b73d-16f518ab386f","Code","12","MILD_MOD_ALZ","SPONSOR"
"Alzheimer's disease","Code_135","2f0c1ec7-e469-4fa0-b881-5b52f4f9fb9b","Code","January 31, 2018","26929004","SNOMED"
"EXTENSION","Code_143","3f3bc32d-93f5-40f1-b553-f9c95e0a52c7","Code","2023-12-15","C99907x1","http://www.cdisc.org"
"ADAPTIVE","Code_144","a5571b30-98f6-4ed4-b524-e2ca9e3c97bc","Code","2023-12-15","C98704","http://www.cdisc.org"
"Parallel Study","Code_141","b9465211-1809-420b-98a4-02da07b342c4","Code","2023-12-15","C82639","http://www.cdisc.org"
"Visit","Code_83","c0608a2f-ea2f-49ff-99e6-1558e8b31c6c","Code","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","Code_84","8ac7c3ae-f506-48b7-93db-aef13599ca50","Code","2023-12-15","C51282","http://www.cdisc.org"
"In Person","Code_85","e4fc0d3d-8be2-4a81-acfd-a071e5b4ab25","Code","2023-12-15","C175574","http://www.cdisc.org"
"Visit","Code_86","e14ff203-1b09-4589-8189-9ea7d733bb78","Code","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","Code_87","ac6c1d4d-bba9-48d4-bc0b-c938ce2eccd3","Code","2023-12-15","C51282","http://www.cdisc.org"
"In Person","Code_88","c202a654-34f3-4ee0-b30f-eb31016d9407","Code","2023-12-15","C175574","http://www.cdisc.org"
"Visit","Code_89","e9f93918-ad5e-4a41-8928-2769fddf1bf7","Code","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","Code_90","dcfb8ed4-cbb2-4d52-9fdb-bbb153beab56","Code","2023-12-15","C51282","http://www.cdisc.org"
"In Person","Code_91","be996b8f-47d4-495b-b975-52aa0112d6e0","Code","2023-12-15","C175574","http://www.cdisc.org"
"Visit","Code_92","a5d7260a-8cc9-4ae0-83f2-46176c8d02f9","Code","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","Code_93","32ba6e22-5320-40f7-ac09-a60833503d84","Code","2023-12-15","C51282","http://www.cdisc.org"
"In Person","Code_94","2acd4de3-9223-437c-8d67-6383f7d23509","Code","2023-12-15","C175574","http://www.cdisc.org"
"Visit","Code_95","135054fe-c356-4864-81b7-38f813f86a5b","Code","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","Code_96","c74cf798-66d8-4188-b344-a0b44d860362","Code","2023-12-15","C51282","http://www.cdisc.org"
"In Person","Code_97","f10cb6f8-fe42-49b9-ab79-c07989b467a8","Code","2023-12-15","C175574","http://www.cdisc.org"
"Visit","Code_98","1b1ee3a9-14c6-4e1c-805f-33d25cb69ca6","Code","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","Code_99","4e19b1ed-093e-416b-bb96-9e5b48c0703f","Code","2023-12-15","C51282","http://www.cdisc.org"
"In Person","Code_100","b0991c49-16c8-49b4-8bc2-4a4ea3e01a56","Code","2023-12-15","C175574","http://www.cdisc.org"
"Visit","Code_101","3b9e4d88-57be-4510-bb73-6400c16f7ec1","Code","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","Code_102","ec8c65a0-5b8d-4ece-9c89-0cbb92b62d65","Code","2023-12-15","C51282","http://www.cdisc.org"
"In Person","Code_103","7d788afb-c7f7-4e25-8612-a3d1abd7a92f","Code","2023-12-15","C175574","http://www.cdisc.org"
"Telephone Call","Code_104","fd677d55-6e29-4658-9fb9-c271821a4964","Code","2023-12-15","C171537","http://www.cdisc.org"
"Visit","Code_105","332bae50-2155-4aff-b87b-98b260af4fe1","Code","2023-12-15","C25716","http://www.cdisc.org"
