"id","uuid:ID","instanceType","name","text"
"TransitionRule_1","3d8077e5-89cc-48fd-a749-466182ca669b","TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule_2","211e7c56-309d-43e2-a854-e37b1fd9a924","TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule_3","b4332e66-b4da-439c-b12b-c9bc510f0cee","TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","697dfa52-bacd-436e-a857-e21961c8ed33","TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","a4ca662d-8b8c-4df1-ade6-4244b757dd3e","TransitionRule","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule_6","e645a34a-2b5f-41cd-ab07-f3a09c0cd19a","TransitionRule","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule_7","547278a5-7cb3-4bac-8d9d-2f718911a11d","TransitionRule","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule_8","c931284b-4a24-4fca-a2d1-6d8e607443a7","TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","11f136fc-206d-470e-bcbc-ff31b55ce53c","TransitionRule","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule_14","ae0cb77d-f3f7-4804-aa8c-e1f52b03e17e","TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","e0a45c22-253b-4014-925e-7811434b43da","TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","c7249b49-49c6-45f3-89c7-0fe453e56c7b","TransitionRule","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule_11","a0fa2842-1879-40fd-8024-385855b0604b","TransitionRule","ELEMENT_START_RULE_4","Randomized"
"TransitionRule_12","a94a64da-1886-47f6-86af-2662ca3c1021","TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","9ec7c9d4-3cab-4761-8626-430e8d8b03eb","TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
