"windowUpper","id","windowLower","description","label","value","valueLabel","windowLabel","instanceType","uuid:ID","name"
"","Timing_1","","Screening timing","Screening","P2W","2 weeks","","Timing","d02b6c45-765f-4e35-9c75-692a16247fb8","TIM1"
"PT0H","Timing_2","PT4H","Pre dose timing","Pre dose","P2D","2 days","-4..0 hours","Timing","203f1acc-ac7a-4782-8478-ceb66e94b28b","TIM2"
"","Timing_3","","Dosing anchor","Dosing","P1D","1 Day","","Timing","67415d0a-a2ce-400b-ad72-34b09e915ae4","TIM3"
"P3D","Timing_4","P3D","Week 2 timing","Week 2","P2W","2 Weeks","-3..3 days","Timing","9fd81d66-b5ac-4634-91a4-ba259e7a85b1","TIM4"
"P3D","Timing_5","P3D","Week 4 timing","Week 4","P4W","4 Weeks","-3..3 days","Timing","b4e935f0-d601-46d0-8808-e2ebf83438e6","TIM5"
"P3D","Timing_6","P3D","Week 6 timing","Week 6","P6W","6 Weeks","-3..3 days","Timing","7ed56373-637c-46b6-9904-b9a5e34dc3fd","TIM6"
"P3D","Timing_7","P3D","Week 8 timing","Week 8","P8W","8 Weeks","-3..3 days","Timing","2f7b9f31-7775-4637-9bf4-1ffafdcf28f2","TIM7"
"P4D","Timing_9","P4D","Week 12 timing","Week 12","P12W","12 Weeks","-4..4 days","Timing","ea50b78e-962a-4821-9145-e14e30eb1010","TIM9"
"P4D","Timing_11","P4D","Week 16 timing","Week 16","P16W","16 Weeks","-4..4 days","Timing","73c8a7d1-25fa-4a67-9dc1-76ee79e57503","TIM11"
"P4D","Timing_13","P4D","Week 20 timing","Week 20","P20W","20 Weeks","-4..4 days","Timing","03109e87-d3d7-4432-8802-f1a252b6686c","TIM13"
"P4D","Timing_15","P4D","Week 24 timing","Week 24","P24W","24 Weeks","-4..4 days","Timing","6d1298bd-b3e5-47a1-aa7f-c49659995e78","TIM15"
"P3D","Timing_16","P3D","Week 26 timing","Week 26","P26W","26 Weeks","-3..3 days","Timing","3cc3b62b-1c79-45ec-883b-df43b754c79d","TIM16"
"","Timing_8","","Week 8 at home timing","Week 8 Home","P2W","2 Weeks","","Timing","7742192f-1afe-47ac-ae73-bf04ddee7815","TIM8"
"","Timing_10","","Week 12 at home timing","Week 12 Home","P2W","2 Weeks","","Timing","f89fd5a1-a45f-487e-aa58-7ee023bfbb38","TIM10"
"","Timing_12","","Week 16 at home timing","Week 16 Home","P2W","2 Weeks","","Timing","9b03ba1d-ac37-4b29-ad06-3e45faabe5db","TIM12"
"","Timing_14","","Week 20 at home timing","Week 20 Home","P2W","2 Weeks","","Timing","1258ccb1-cc40-49c8-bd44-de208657b306","TIM14"
"","Timing_17","","Adverse Event","Adverse Event","P1D","1 Day","","Timing","3c5137ad-8864-46d3-9e3c-1a6c1af4991c","TIM17"
"","Timing_18","","Early Termination","Early Termination","P1D","1 Day","","Timing","db61a590-9855-43a9-946a-405efb8388b7","TIM18"
"","Timing_19","","Supine","Supine","PT0M","0 mins","","Timing","52e2208d-3663-43d8-b95f-74536d0b434c","TIM19"
"","Timing_20","","VS while supine","VS while supine","PT5M","5 mins","","Timing","9582f9b1-7727-4804-baa1-ce701c98af68","TIM20"
"","Timing_21","","Standing","Standing","PT0M","0 min","","Timing","e83474f1-ba9b-44ce-8c44-6532d51814bf","TIM21"
"","Timing_22","","VS while standing","VS while standing","PT1M","1 min","","Timing","1bd44bce-544a-4a99-b942-89a7ad000e9e","TIM22"
"","Timing_23","","Standing","Standing","PT0M","0 min","","Timing","5010a7cc-d893-4aa1-be42-a8b06da88be8","TIM23"
"","Timing_24","","VS while standing","VS while standing","PT2M","2 min","","Timing","2acad1b6-8334-4777-8432-69ff4dbd96cf","TIM24"
