"id","description","label","uuid:ID","instanceType","name"
"Activity_1","","Informed consent","42bd72af-bd82-469b-8e14-6cb05b6df2b4","Activity","Informed consent"
"Activity_2","","Inclusion and exclusion criteria","380276b0-909e-4d18-abc9-9ad5a5bb9850","Activity","Inclusion/exclusion criteria"
"Activity_3","","Patient number assigned","59dde575-c19f-4133-b500-1f6fa2cf9e08","Activity","Patient number assigned"
"Activity_4","","Demographics","e6c0e514-2337-4854-ac5d-e8b7106fd63b","Activity","Demographics"
"Activity_5","","Hachinski Ischemic Scale","08d23e05-b363-4131-8646-6ad58460b263","Activity","Hachinski"
"Activity_6","","MMSE","09d8bbec-e796-4ee7-93fe-8e1743b93629","Activity","MMSE"
"Activity_7","","Physical examination","7cdd1117-222a-4d56-841d-3638f4905c62","Activity","Physical examination"
"Activity_8","","Medical history","281d5f01-245b-4f19-a9f5-fc0569793c12","Activity","Medical history"
"Activity_9","","Habits","bb9238b5-3198-4209-b78e-c4bbdaa877fa","Activity","Habits"
"Activity_10","","Chest X-ray","ffb9e967-541f-4203-a35c-aed58380d098","Activity","Chest X-ray"
"Activity_11","","Apo E genotyping","e957ea79-ea0a-4abc-b6b8-201f79b92d86","Activity","Apo E genotyping"
"Activity_12","","Patient randomised","cc45ce6d-0f8b-4d45-b63c-7b467d3fd2af","Activity","Patient randomised"
"Activity_13","","Vital Signs and Temperature","c703b8b6-5aaa-4ebe-8646-0fcffe220db4","Activity","Vital signs / Temperature"
"Activity_14","","Ambulatory ECG placed","4a8e1575-2140-46ef-b963-f8666f65b41d","Activity","Ambulatory ECG placed"
"Activity_15","","Ambulatory ECG removed","cc8cdf0c-4055-4c2a-8727-edafd6aa8ac7","Activity","Ambulatory ECG removed"
"Activity_16","","ECG","bc40059c-df5a-4e66-a7bc-7077ea00ada6","Activity","ECG"
"Activity_17","","Placebo TTS test","3e378eba-4f78-4bd6-8218-ff7e4c69aa4d","Activity","Placebo TTS test"
"Activity_18","","CT scan","0922bbb0-0179-47ca-be53-b23a397b609e","Activity","CT scan"
"Activity_19","","Concomitant medications","27f564d2-6fa4-48ad-87a1-c35cbf200ca8","Activity","Concomitant medications"
"Activity_20","","Hematology","d5d23e6e-05fe-4638-830d-5203fe097918","Activity","Hematology"
"Activity_21","","Chemistry","b5b034d3-933c-4f86-adfc-25dc10f6de74","Activity","Chemistry"
"Activity_22","","Uninalysis","47d2c365-8e6a-48d4-8523-8ff2ab57a52a","Activity","Uninalysis"
"Activity_23","","Plasma Specimen (Xanomeline)","02c46a7f-8d94-40e4-84e0-af113dc3106f","Activity","Plasma Specimen (Xanomeline)"
"Activity_24","","Hemoglobin A1C","a82ef6b2-bdc9-414b-9284-230bdca03cd5","Activity","Hemoglobin A1C"
"Activity_25","","Study drug record , Medications dispensed, Medications returned","f2e52951-414b-4b9f-9a5a-ed0f094557a4","Activity","Study drug"
"Activity_26","","TTS Acceptability Survey","955fa445-cbaa-4639-989d-45cd1a65db8b","Activity","TTS Acceptability Survey"
"Activity_27","","ADAS-Cog","5e4425be-2fc7-4bff-9a4e-bdc25d03ec0a","Activity","ADAS-Cog"
"Activity_28","","CIBIC+","be54feb9-2935-4e35-8983-4738681ff207","Activity","CIBIC+"
"Activity_29","","DAD","b0d6b480-4fae-479c-ad2b-42ee51e3cd69","Activity","DAD"
"Activity_30","","NPI-X","136f2f5a-ef00-4cef-8af0-4f0724aa21c1","Activity","NPI-X"
"Activity_31","","Adverse events","9dede218-5c60-4eb4-8cb8-3e3f74c12004","Activity","Adverse events"
"Activity_32","","Check adverse events","6be77f17-0883-4860-a9f2-2cac5e3b8ed8","Activity","Check adverse events"
"Activity_33","","Subject supine","e6e97392-54fb-44b2-a92d-a58ac090262d","Activity","Supine"
"Activity_34","","Vital signs while supine","3dcc28f8-8c9a-420d-a23c-3f7f29d2ceb6","Activity","Vital Signs Supine"
"Activity_35","","Subject Standing","c9285889-ea36-45f7-87c9-589086218c0d","Activity","Stand"
"Activity_36","","Vital signs while standing","b057884d-277f-47a5-a630-e1d0c9b86904","Activity","Vital Signs Standing"
