"id","description","label","uuid:ID","instanceType","name"
"ScheduledActivityInstance_9","-","Screen One","299a22f5-18b3-4e78-9196-1ca3e0ab9e9d","ScheduledActivityInstance","SCREEN1"
"ScheduledActivityInstance_10","-","Screen Two","d73d79c0-47d3-405f-beba-366db394ee81","ScheduledActivityInstance","SCREEN2"
"ScheduledActivityInstance_11","-","Dose","cc1ac0e3-1d95-4ffc-b937-205d9c6b3a4e","ScheduledActivityInstance","DOSE"
"ScheduledActivityInstance_12","-","Week 2","8c88f967-196c-471a-9e1b-0fb4a2094488","ScheduledActivityInstance","WK2"
"ScheduledActivityInstance_13","-","Week 4","c0b88b9f-7bc2-4845-8420-2990738f9811","ScheduledActivityInstance","WK4"
"ScheduledActivityInstance_14","-","Week 6","7a9ea38d-c9c5-48a5-a1f7-acf0989d4619","ScheduledActivityInstance","WK6"
"ScheduledActivityInstance_15","-","Week 8","97822680-062a-457f-9171-e50c3f4a0cba","ScheduledActivityInstance","WK8"
"ScheduledActivityInstance_16","-","Week NPI","72b793e2-21de-43e5-9dc2-82aa6b7d8feb","ScheduledActivityInstance","WK8N"
"ScheduledActivityInstance_17","-","Week 12","1338cd27-df41-4899-97e8-ed16b870d683","ScheduledActivityInstance","WK12"
"ScheduledActivityInstance_18","-","Week 12 NPI","81cd25a8-9346-4825-b380-671c290c304f","ScheduledActivityInstance","WK12N"
"ScheduledActivityInstance_19","-","Week 16","5abb9f07-3e29-4500-97b3-b84dd2e794c5","ScheduledActivityInstance","WK16"
"ScheduledActivityInstance_20","-","Week 16 NPI","88d0ef2a-ca89-4a65-9f41-acaa277392bc","ScheduledActivityInstance","WK16N"
"ScheduledActivityInstance_21","-","Week 20","a4587f2e-173f-4efd-930e-2cc7cb501082","ScheduledActivityInstance","WK20"
"ScheduledActivityInstance_22","-","Week 20 NPI","091a3b5d-0246-48f8-b361-75e4140ade20","ScheduledActivityInstance","WK20N"
"ScheduledActivityInstance_23","-","Week 24","3a1aac46-d4be-42a7-a168-0ed2ae2b32d2","ScheduledActivityInstance","WK24"
"ScheduledActivityInstance_24","-","Week 26","fb3764d6-5fb5-40b0-8077-285010a01440","ScheduledActivityInstance","WK26"
"ScheduledActivityInstance_1","-","Adevers Event","edf130f0-9bbb-41fd-bcdc-dfb98d7b04b7","ScheduledActivityInstance","AE"
"ScheduledActivityInstance_2","-","Early Termination","3c20a01a-ea02-49e6-be64-f38f3ec9cf29","ScheduledActivityInstance","ET"
"ScheduledActivityInstance_3","","5 minute supine","bee39adf-93ea-4e2f-9c3c-10752c00f774","ScheduledActivityInstance","VS_5MIN"
"ScheduledActivityInstance_4","","Vital signs supine","401dfce5-28c7-4247-95c7-46722e26855b","ScheduledActivityInstance","VS_SUPINE"
"ScheduledActivityInstance_5","","1 minute standing","71fee0fa-8402-4544-8f90-3c3f2246a9fd","ScheduledActivityInstance","VS_1MIN"
"ScheduledActivityInstance_6","","Vital signs after 1 min standing","5ab3ca80-127c-40a7-87fb-338fdb13ff32","ScheduledActivityInstance","VS_STAND1"
"ScheduledActivityInstance_7","","2 minute standing","59aeaff9-5a4c-44c7-8439-03b5d14071ca","ScheduledActivityInstance","VS_2MIN"
"ScheduledActivityInstance_8","","Vital signs after 3 min standing","48c1fadd-d183-43e2-9d86-4402a2d33e48","ScheduledActivityInstance","VS_STAND3"
