"id","reference","label","uuid:ID","instanceType","name","synonyms"
"BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained","94cd4fa0-5735-4b58-80e1-cb518fdaab49","BiomedicalConcept","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']"
"BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","cba8b038-72b4-4339-9128-1532587ee3a7","BiomedicalConcept","Sex",""
"BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","4ec8a961-235a-439a-9fe9-289386918f2d","BiomedicalConcept","Race","['Racial Group']"
"BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","fb099718-6ced-489b-a448-79341cc81496","BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']"
"BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","abbff83e-f901-489b-bd12-635156036af7","BiomedicalConcept","Weight","['Weight', 'Body Weight']"
"BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","cbf7d770-2ff0-4961-ba19-9ac1b527be14","BiomedicalConcept","Height","['Height', 'Body Height']"
"BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","c9708ba7-e62e-416f-a22c-8ce00c02797a","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","ac7c4d7d-8a09-499a-8fb3-aff13c6ae193","BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","a2d5dd31-4f89-40d6-90c7-93fddc66826a","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","f89b2864-205e-476e-9c82-a153e1c3aacc","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","fd2d232e-86d6-4f95-b177-4224d214ba25","BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","70db28e8-827e-4705-bdd8-90ef56373e50","BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","868990e3-8edc-458a-a02e-9d35493ccd1d","BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","c50c5dcb-183a-4e16-8ffe-94c002bdff69","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","af0e5f61-45fd-465a-9972-eafee8c87c16","BiomedicalConcept","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']"
"BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","d54a2b2d-fde7-46fc-9b98-29b8655a2ece","BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","1b9d23b8-cc1a-4199-9d3b-0988345b2b5d","BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","b4f77e49-e049-4fa0-8ff0-c1c2a27b7f9b","BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']"
"BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","ce0db962-01b1-4213-85ea-b61b9408b048","BiomedicalConcept","Weight","['Weight', 'Body Weight']"
"BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","27f0929d-38fd-43b7-9eaa-82e537dbfdd2","BiomedicalConcept","Height","['Height', 'Body Height']"
"BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","6e61531c-1d77-45f6-8b34-0979450eb7a5","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","43b29657-6f90-4962-8e65-ad6993dd4d91","BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","b7ab1d3a-381d-4e6b-9a99-e72d097da866","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","99e05240-f876-4f87-bf9a-3c0c4b37a929","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","2d95d3bf-5610-4543-9636-60f9995bb4d1","BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","d834c020-46b3-4945-bf35-169f59a45e92","BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","9d7b8ce7-a9f7-4ab3-959b-b9c62444736b","BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","4184a96f-49c6-4e9b-a173-f636107eed69","BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
