"id","description","label","uuid:ID","instanceType","name"
"Encounter_1","Screening encounter","Screening 1","9f05bb84-327a-4199-8f47-7e2db1840211","Encounter","E1"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","4d8a141f-443f-4b06-aeb2-d1c8138eecab","Encounter","E2"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","857e2bed-a3d4-448e-a113-bf235a3a26cd","Encounter","E3"
"Encounter_4","Day 14","Week 2","572b4194-b36c-467f-8178-4a3a3b1a6afb","Encounter","E4"
"Encounter_5","Day 28","Week 4","07f43330-84ab-41d4-9090-b46664429616","Encounter","E5"
"Encounter_6","Day 42","Week 6","cf1a03cb-3945-4ed4-9a40-cf6040f2203d","Encounter","E7"
"Encounter_7","Day 56","Week 8","5264e1df-e1f0-4637-b68a-03518f992a8f","Encounter","E8"
"Encounter_8","Day 84","Week 12","09564a71-4ee8-4687-9210-820e33465f4e","Encounter","E9"
"Encounter_9","Day 112","Week 16","febfc145-ce10-4573-a2fc-f71cfe9807d2","Encounter","E10"
"Encounter_10","Day 140","Week 20","ef123af2-c260-40e8-95d7-e57860f8a85c","Encounter","E11"
"Encounter_11","Day 168","Week 24","8b043055-e686-4dba-a058-bbd8ea7ec060","Encounter","E12"
"Encounter_12","Day 182","Week 26","cd33af9a-1fb3-4267-b6d0-db310e05101b","Encounter","E13"
