"id:ID","codeSystem","decode","uuid","code","codeSystemVersion","id"
"1","http://www.cdisc.org","Interventional Study","a8a7a362-f60d-438c-856b-44349384b520","C98388","2023-09-29","Code_1"
"2","http://www.cdisc.org","Phase II Trial","0f0fe24e-142d-4cde-9e89-abe7f9c07806","C15601","2023-09-29","Code_2"
"3","http://www.cdisc.org","Sponsor Approval Date","8d1f3ab1-a720-4c59-bbad-893e39fa1736","C132352","2023-09-29","Code_5"
"4","http://www.cdisc.org","Global","42143caa-f573-42ee-9954-3897c5fa1873","C68846","2023-09-29","Code_6"
"5","http://www.cdisc.org","IRB/IEC Feedback","e0fadd59-a5eb-4c7d-923d-987545c98b43","C99904x3","2023-09-29","Code_54"
"6","http://www.cdisc.org","Other","f16487c5-3692-4501-8c83-327b28a3685e","C17649","2023-09-29","Code_55"
"7","http://www.cdisc.org","Region","1b1e400b-cebd-4619-8d55-b8328c411026","C41129","2023-09-29","Code_57"
"8","ISO 3166 1 alpha3","Europe","2b6c56b4-6ae8-40d6-9ca0-e761a14b39a0","150","2020-08","Code_56"
"9","http://www.cdisc.org","Country","0e25cfc5-2a42-49c1-b45d-8c8f8ca1bcb4","C25464","2023-09-29","Code_59"
"10","ISO 3166 1 alpha3","Denmark","7341f82c-47cb-4b0c-895b-17b54b30d87f","DNK","2020-08","Code_58"
"11","SPONSOR","Eli Lilly","f20fc2af-d237-4b98-b1e6-d7d665d11d23","PHARMA","12","Code_3"
"12","http://www.cdisc.org","Clinical Study Sponsor","fd42d87d-78c5-46f4-9604-1348e99e2d2f","C70793","2023-09-29","Code_60"
"13","ISO 3166 1 alpha3","United States of America","07d781f2-1061-4610-8253-0c6589679d32","USA","2020-08","Code_61"
"14","http://www.cdisc.org","Study Registry","35482d11-23cf-48c9-a1ac-a119eea8c73f","C93453","2023-09-29","Code_62"
"15","http://www.cdisc.org","Treatment Study","1841b839-0131-4fe3-bf31-06003402776e","C49656","2023-09-29","Code_120"
"16","http://www.cdisc.org","Efficacy Study","754f4861-cdb8-4cd3-a0d5-fed569398739","C49666","2023-09-29","Code_121"
"17","http://www.cdisc.org","Safety Study","30424b87-dec0-45cf-8af2-0a74d0f1b197","C49667","2023-09-29","Code_122"
"18","http://www.cdisc.org","Pharmacokinetic Study","13ff9470-7abb-475d-b0f4-bd7acc03deae","C49663","2023-09-29","Code_123"
"19","SPONSOR","Mild to Moderate Alzheimer\'s Disease","f8870997-e91b-4c1a-ac89-eb762f1d7644","MILD_MOD_ALZ","12","Code_117"
"20","SNOMED","Alzheimer\'s disease","4684d5b9-b631-47f9-8206-5b42c3e493d3","26929004","January 31, 2018","Code_118"
"21","http://www.cdisc.org","Parallel Study","a765dd6b-0595-46fa-a192-52b04d085fc8","C82639","2023-09-29","Code_124"
"22","http://www.cdisc.org","Visit","5e569251-6d2a-4037-a684-92edafe4c610","C25716","2023-09-29","Code_66"
"23","http://www.cdisc.org","Clinic","5e755a54-e531-4995-a845-21e7b0feb094","C51282","2023-09-29","Code_67"
"24","http://www.cdisc.org","In Person","becbdcc7-5278-4405-86d7-e0a85c88d843","C175574","2023-09-29","Code_68"
"25","http://www.cdisc.org","Visit","62ac87d0-c7c5-47dc-bf32-24bc641e7c0e","C25716","2023-09-29","Code_69"
"26","http://www.cdisc.org","Clinic","6f4e938f-b231-4185-9cea-9d2d9b3cff67","C51282","2023-09-29","Code_70"
"27","http://www.cdisc.org","In Person","b0cf078e-dc88-4ed0-aa49-2ebb61d3dd98","C175574","2023-09-29","Code_71"
"28","http://www.cdisc.org","Visit","0a1a694c-f993-46b4-bd5c-a321613961f5","C25716","2023-09-29","Code_72"
"29","http://www.cdisc.org","Clinic","35a6dd3a-49ca-4a26-935f-e22313a17318","C51282","2023-09-29","Code_73"
"30","http://www.cdisc.org","In Person","61f89be9-6e8b-44ea-ae92-fd2acedd4592","C175574","2023-09-29","Code_74"
"31","http://www.cdisc.org","Visit","91855468-93cf-4714-90d3-27d9d87ea502","C25716","2023-09-29","Code_75"
"32","http://www.cdisc.org","Clinic","d3ee3387-2930-4098-8566-2d65bf4f5758","C51282","2023-09-29","Code_76"
"33","http://www.cdisc.org","In Person","9acfbd4e-9596-4b68-82c9-4892264f7346","C175574","2023-09-29","Code_77"
"34","http://www.cdisc.org","Visit","b885b909-c936-4d1f-9e2f-72cc2f6b3c6c","C25716","2023-09-29","Code_78"
"35","http://www.cdisc.org","Clinic","a52b3325-f80c-4e3a-a5e2-854552723556","C51282","2023-09-29","Code_79"
"36","http://www.cdisc.org","In Person","b24c084c-c148-4591-8421-3b059aba6ecd","C175574","2023-09-29","Code_80"
"37","http://www.cdisc.org","Visit","ea7ea755-d9c0-4813-b7b2-2bd86cf874c8","C25716","2023-09-29","Code_81"
"38","http://www.cdisc.org","Clinic","1c85fa18-776b-4c43-b13a-44e42a6eee9d","C51282","2023-09-29","Code_82"
"39","http://www.cdisc.org","In Person","7532f5d1-4639-4ce1-a2bc-abb7feafe13c","C175574","2023-09-29","Code_83"
"40","http://www.cdisc.org","Visit","596a7ec1-8f4a-44f0-9ca3-f45ef6948722","C25716","2023-09-29","Code_84"
"41","http://www.cdisc.org","Clinic","5bd8e8b2-244a-4c3b-b49e-26053816c3c7","C51282","2023-09-29","Code_85"
"42","http://www.cdisc.org","In Person","dd7db7c8-4a63-4a67-b391-ac9b36debf49","C175574","2023-09-29","Code_86"
"43","http://www.cdisc.org","Telephone Call","2c496d08-33d2-49dd-91ad-41e9927907a2","C171537","2023-09-29","Code_87"
"44","http://www.cdisc.org","Visit","6c99f23f-b4ec-451b-b2d7-6e2dd9b07025","C25716","2023-09-29","Code_88"
"45","http://www.cdisc.org","Clinic","5c644787-4b41-42b2-b840-d61dc0d33087","C51282","2023-09-29","Code_89"
"46","http://www.cdisc.org","In Person","96ee26e8-8602-4935-b5c6-aa1847194382","C175574","2023-09-29","Code_90"
"47","http://www.cdisc.org","Telephone Call","1139c5f6-200c-4a55-b55a-85ca215ebdfb","C171537","2023-09-29","Code_91"
"48","http://www.cdisc.org","Visit","8a73c1b0-f8a1-4b14-841a-d22ec32a199d","C25716","2023-09-29","Code_92"
"49","http://www.cdisc.org","Clinic","21ddeda3-5736-4bfa-9cbf-81dd5cb6f86e","C51282","2023-09-29","Code_93"
"50","http://www.cdisc.org","In Person","cadf515e-4ed5-4ddb-8381-1719688bd803","C175574","2023-09-29","Code_94"
"51","http://www.cdisc.org","Telephone Call","77d56fdc-384c-4d6a-a677-f28e2307da15","C171537","2023-09-29","Code_95"
"52","http://www.cdisc.org","Visit","3520d19b-b76d-4e43-865e-435d3fce2c95","C25716","2023-09-29","Code_96"
"53","http://www.cdisc.org","Clinic","4c9f3569-3042-4f38-bab4-2a0cd6ed8109","C51282","2023-09-29","Code_97"
"54","http://www.cdisc.org","In Person","026bd817-7063-4bbd-88ba-dbe34e175fc7","C175574","2023-09-29","Code_98"
"55","http://www.cdisc.org","Telephone Call","676e4ab2-0832-411d-9feb-29d371f52deb","C171537","2023-09-29","Code_99"
"56","http://www.cdisc.org","Visit","128ff731-562f-4628-9b5a-5b0de877c1a9","C25716","2023-09-29","Code_100"
"57","http://www.cdisc.org","Clinic","12d1d57e-25e6-4db6-a975-085a48d03e25","C51282","2023-09-29","Code_101"
"58","http://www.cdisc.org","In Person","546f4530-4470-4c6a-8b84-7b22284f4070","C175574","2023-09-29","Code_102"
"59","http://www.cdisc.org","Visit","40fa92c6-0e14-4375-bbb1-03ab74059a77","C25716","2023-09-29","Code_103"
"60","http://www.cdisc.org","Clinic","6be73bb1-1dd9-4243-a534-6675b847811a","C51282","2023-09-29","Code_104"
"61","http://www.cdisc.org","In Person","5b7b2eda-aaed-4d74-9822-f57d40040570","C175574","2023-09-29","Code_105"
"62","SNOMED","CT of head without contrast","259c5054-1a74-411a-a169-ea9be87426be","383371000119108","January 31, 2018","Code_63"
"63","SPONSOR","Supine for 5 minutes","39a00a30-7edd-4fed-b142-677dc0cfdd44","123","12","Code_64"
"64","SPONSOR","Standingfor 1-3 minutes","c85da731-bc92-4b77-afa8-9d7363dd9838","124","12","Code_65"
"65","NCI Thesaurus","Vital Signs Result","fd1f7fd8-9306-48fd-81ca-d2fe4688c90e","C173522","","Code_244"
"66","http://www.cdisc.org","Kelvin","285f1586-c6a7-4328-a05c-c15546d34124","C42537","2023-09-29","Code_245"
"67","NCI Thesaurus","Unit of Temperature","dc28ff47-ecbd-4625-9d82-45c23df8e9f8","C44276","","Code_246"
"68","NCI Thesaurus","Vital Signs Location","0faddf68-f1d6-4630-83f4-a7d6ed63d6ab","C83088","","Code_247"
"69","NCI Thesaurus","Body Temperature","0a7f3fbd-7c4f-4e9b-b017-7a3bdd439e58","C174446","","Code_243"
"70","NCI Thesaurus","Vital Signs Result","64ad5631-a381-499d-a30e-82788b05ef0c","C173522","","Code_249"
"71","http://www.cdisc.org","Kilogram","1aed6175-b8e5-4dc2-81af-73f56acdd446","C28252","2023-09-29","Code_250"
"72","http://www.cdisc.org","Gram","8fad4f15-9853-4b08-98d0-838b71392be9","C48155","2023-09-29","Code_251"
"73","http://www.cdisc.org","Pound","782ac090-fa83-44d1-b871-ab63549e7efb","C48531","2023-09-29","Code_252"
"74","NCI Thesaurus","Unit of Weight","350de661-3254-47ae-bc50-97a574b4edd2","C48208","","Code_253"
"75","NCI Thesaurus","Body Weight","c2e0fa65-b788-41d2-a6b0-346c34ed0c7d","C81328","","Code_248"
"76","NCI Thesaurus","Vital Signs Result","9d9207ea-aa5e-4d47-8c7e-2da13e85ab4f","C173522","","Code_255"
"77","http://www.cdisc.org","Centimeter","c70c4e3e-7567-4acc-814e-9dce2c32fc9e","C49668","2023-09-29","Code_256"
"78","http://www.cdisc.org","Inch","4600b803-d5d5-49bf-bec0-2fd96ee5b6a9","C48500","2023-09-29","Code_257"
