"id:ID","bcPropertyResponseCodes","label","name","uuid","bcPropertyEnabled","bcPropertyDatatype","bcPropertyRequired","id"
"546","[]","Vital Signs Result","Vital Signs Result","ffc033b6-edb1-4ab4-8f9f-3790eb8e8785","True","decimal","True","BiomedicalConceptProperty_86"
"547","","Unit of Temperature","Unit of Temperature","4235dde5-1491-4bb2-9109-1d2df5859c40","True","string","True","BiomedicalConceptProperty_87"
"548","[]","Vital Signs Location","Vital Signs Location","b4393aad-bdde-434c-bd37-55601909e908","True","string","True","BiomedicalConceptProperty_88"
"549","[]","Vital Signs Result","Vital Signs Result","74caf999-855f-4ad1-898f-90d73ef8a1c5","True","decimal","True","BiomedicalConceptProperty_89"
"550","","Unit of Weight","Unit of Weight","0c41f679-b811-4432-8271-5348992cc44d","True","string","True","BiomedicalConceptProperty_90"
"551","[]","Vital Signs Result","Vital Signs Result","608f4183-f629-4433-a920-0cea271de0fd","True","decimal","True","BiomedicalConceptProperty_91"
"552","","Unit of Height","Unit of Height","ae30c718-000c-484c-972a-1234f68a47d9","True","string","True","BiomedicalConceptProperty_92"
"553","[]","Laboratory Test Result","Laboratory Test Result","025ad4ba-e35f-4084-acad-f07b048afd0e","True","decimal","True","BiomedicalConceptProperty_93"
"554","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","76114c3b-e86f-4f6c-a98f-b4d78bc73ca7","True","boolean","True","BiomedicalConceptProperty_94"
"555","[]","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","bb4b30bb-3967-4e3b-9ea6-649759c9692e","True","string","True","BiomedicalConceptProperty_95"
"556","[]","Biospecimen Type","Biospecimen Type","e28d85df-fd3b-436c-8a0e-3dc9151b533e","True","string","True","BiomedicalConceptProperty_96"
"557","[]","Laboratory Test Result","Laboratory Test Result","10ad6f5e-e25c-4911-be56-6406404f92c2","True","string","True","BiomedicalConceptProperty_97"
"558","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","27318fa8-fdff-4dd8-8e1a-008555e220df","True","boolean","True","BiomedicalConceptProperty_98"
"559","[]","Unit of Concentration","Unit of Concentration","c28185d0-5eb9-408c-a632-da9ea21a749b","True","string","True","BiomedicalConceptProperty_99"
"560","[]","Biospecimen Type","Biospecimen Type","ec48ca7b-6534-4f80-a301-6612883f8cdc","True","string","True","BiomedicalConceptProperty_100"
"561","[]","Laboratory Test Result","Laboratory Test Result","6894f789-d98e-4ffa-9411-8d3ebe5287ad","True","decimal","True","BiomedicalConceptProperty_101"
"562","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","f2ef2063-70be-42b9-9c3d-39c13abc59bb","True","boolean","True","BiomedicalConceptProperty_102"
"563","[]","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","8a20b946-3606-41d3-931b-9c5bcd151714","True","string","True","BiomedicalConceptProperty_103"
"564","[]","Biospecimen Type","Biospecimen Type","3df638f3-4512-4406-9347-7af991c8ff1b","True","string","True","BiomedicalConceptProperty_104"
"565","[]","Laboratory Test Result","Laboratory Test Result","aabcaeb7-6d28-4aed-8762-808ec9adad34","True","decimal","True","BiomedicalConceptProperty_105"
"566","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","bb1cc829-1b2f-4a66-9416-96ad6d85155e","True","boolean","True","BiomedicalConceptProperty_106"
"567","[]","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","b5aad69b-d0c7-4ca6-adb1-53e6908d0def","True","string","True","BiomedicalConceptProperty_107"
"568","[]","Biospecimen Type","Biospecimen Type","570630de-7f33-4197-88f9-13bbbf06cc4a","True","string","True","BiomedicalConceptProperty_108"
"569","[]","Laboratory Test Result","Laboratory Test Result","ad7e5f8a-da09-479e-b131-be46d9468187","True","string","True","BiomedicalConceptProperty_109"
"570","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","a0b38e06-24e5-4434-812f-363a85370780","True","boolean","True","BiomedicalConceptProperty_110"
"571","[]","Unit of Concentration","Unit of Concentration","99815e5e-8aa6-4d6e-8ce9-9bb75539af87","True","string","True","BiomedicalConceptProperty_111"
"572","[]","Biospecimen Type","Biospecimen Type","c09467a6-82ce-4554-a17b-02d1734d98a7","True","string","True","BiomedicalConceptProperty_112"
