"id:ID","timingWindowUpper","label","timingWindowLower","timingValue","description","name","uuid","timingWindow","id"
"766","","Screening","","P2W","Screening timing","TIM1","032c8399-c25c-49be-971d-56220cf8895e","","Timing_1"
"767","PT0H","Pre dose","PT4H","P2D","Pre dose timing","TIM2","95256c75-c175-4189-a0f7-86f6cb2a30bf","-4..0 hours","Timing_2"
"768","","Dosing","","P1D","Dosing anchor","TIM3","7ffb7dab-c562-4f00-9bcf-ab92a382aa4e","","Timing_3"
"769","P3D","Week 2","P3D","P2W","Week 2 timing","TIM4","7d7b9991-cf5e-4383-808a-f74261063ea6","-3..3 days","Timing_4"
"770","P3D","Week 4","P3D","P4W","Week 4 timing","TIM5","2aa91f4d-9789-47d5-a692-cf54c34014c6","-3..3 days","Timing_5"
"771","P3D","Week 6","P3D","P6W","Week 6 timing","TIM6","8238158a-169b-494e-adfd-c67e0098244b","-3..3 days","Timing_6"
"772","P3D","Week 8","P3D","P8W","Week 8 timing","TIM7","ce755ba2-9803-447d-ac41-58cf1f2acd36","-3..3 days","Timing_7"
"773","","Week 8 Home","","P2W","Week 8 at home timing","TIM8","66dce796-72e1-4f26-8615-abad17823d4d","","Timing_8"
"774","P4D","Week 12","P4D","P12W","Week 12 timing","TIM9","1c30019f-2858-4173-8a46-4086e8d4ad4f","-4..4 days","Timing_9"
"775","","Week 12 Home","","P2W","Week 12 at home timing","TIM10","490fc449-9cb0-4336-b041-e1d5f3ba5a88","","Timing_10"
"776","P4D","Week 16","P4D","P16W","Week 16 timing","TIM11","0cb96967-00a7-4ccd-86f5-55ecce6cd0ce","-4..4 days","Timing_11"
"777","","Week 16 Home","","P2W","Week 16 at home timing","TIM12","059b8f76-ba99-47e2-ac9d-4be8190654cb","","Timing_12"
"778","P4D","Week 20","P4D","P20W","Week 20 timing","TIM13","6edfb2ca-c629-4b87-93f4-bc741c323349","-4..4 days","Timing_13"
"779","","Week 20 Home","","P2W","Week 20 at home timing","TIM14","7bbea542-b5f4-4ae6-9dbe-70617d4190c6","","Timing_14"
"780","P4D","Week 24","P4D","P24W","Week 24 timing","TIM15","e29b9af4-c256-4943-add9-33fbd3cd5372","-4..4 days","Timing_15"
"781","P3D","Week 26","P3D","P26W","Week 26 timing","TIM16","a51cab05-4877-44bf-885b-782410854d81","-3..3 days","Timing_16"
"782","","Adverse Event","","P1D","Adverse Event","TIM17","cd6bd9f5-860c-43ae-a104-2012a3b6f954","","Timing_17"
"783","","Early Termination","","P1D","Early Termination","TIM18","b8b14c80-a07a-47ff-8565-b5a39b04284b","","Timing_18"
"784","","BP Anchor","","PT0M","BP Anchor","TIM19","7f884d24-80c5-4947-852d-91c526f3251b","","Timing_19"
"785","","BP while Supine","","PT5M","BP while Supine","TIM20","ee9ea532-a303-4869-9682-af5458be27da","","Timing_20"
"786","PT0M","BP Stand Up","PT2M","PT3M","BP Stand Up","TIM21","6efecccd-364b-46c9-8148-2fee73cfb5b2","-2..0 mins","Timing_21"
"787","","BP while standing","","PT0M","BP while standing","TIM22","fd0b53cb-7dd2-45f3-acad-eb721047fc1a","","Timing_22"
