"id:ID","sectionTitle","text","sectionNumber","name","uuid","id"
"822","Root","","0","ROOT","7d3513dc-0353-439b-9ada-2ed3a184fd21","NarrativeContent_1"
"823","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","0","SECTION 0","7d7ad575-b70e-4e08-948f-c1782f794bdd","NarrativeContent_2"
"824","PROTOCOL SUMMARY","<div></div>","1","SECTION 1","05914c32-fc9c-407e-bd09-865e5453f5a0","NarrativeContent_3"
"825","Protocol Synopsis","<div></div>","1.1","SECTION 1.1","165d7f2e-2601-435d-b317-90e6db29760a","NarrativeContent_4"
"826","Trial Schema","<div></div>","1.2","SECTION 1.2","93a4057e-0a88-4cd2-b2ee-fa2957678847","NarrativeContent_5"
"827","Schedule of Activities","<div></div>","1.3","SECTION 1.3","d8b420ee-7250-430c-9762-f00b929a4904","NarrativeContent_6"
"828","INTRODUCTION","<div></div>","2","SECTION 2","982c5bc5-c169-4436-bae4-66fa85370d54","NarrativeContent_7"
"829","Purpose of Trial","<div></div>","2.1","SECTION 2.1","3f7e4cf0-450d-4c7b-96ba-2eaec9180c36","NarrativeContent_8"
"830","Summary of Benefits and Risks","<div></div>","2.2","SECTION 2.2","2eacca3a-5ec4-4644-8fae-559a198599d2","NarrativeContent_9"
"831","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","3","SECTION 3","52f3e9fe-cdb7-4c77-b425-16a495b718d5","NarrativeContent_10"
"832","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","SECTION 3.1","8bc9896a-d55c-4070-9356-3b10cd9c46d3","NarrativeContent_11"
"833","TRIAL DESIGN","<div></div>","4","SECTION 4","5a3cfa86-1bba-46f8-b0ff-661a3c1ef2e9","NarrativeContent_12"
"834","Description of Trial Design","<div></div>","4.1","SECTION 4.1","30ca8727-c133-4fe6-a0ab-70feae5f149d","NarrativeContent_13"
"835","Participant Input into Design","<div></div>","4.1.1","SECTION 4.1.1","dcc5119e-1228-4615-81fc-846490ea8b18","NarrativeContent_14"
"836","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","SECTION 4.2","190827ef-b21a-4a7d-b174-09799e6c8a9f","NarrativeContent_15"
"837","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","SECTION 4.2.1","761019de-7cc0-47f1-94a6-0da3b5c3bef2","NarrativeContent_16"
"838","Rationale for Adaptive or Novel Trial Design","<div></div>","4.2.2","SECTION 4.2.2","c4b67535-c60c-402a-be06-6e6ea6b63865","NarrativeContent_17"
"839","Other Trial Design Considerations","<div></div>","4.2.3","SECTION 4.2.3","fd0e2568-d0c9-4a9f-9acd-71f8ad8e6e9b","NarrativeContent_18"
"840","Access to Trial Intervention After End of Trial","<div></div>","4.3","SECTION 4.3","9c7ce34a-d9a2-46cc-9656-9fe407debb07","NarrativeContent_19"
"841","Start of Trial and End of Trial","<div></div>","4.4","SECTION 4.4","1eeba8d7-1de0-413e-b5f9-8931624f4413","NarrativeContent_20"
"842","TRIAL POPULATION","<div></div>","5","SECTION 5","ab385f91-75d5-463d-9248-229e8285bb82","NarrativeContent_21"
"843","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","SECTION 5.1","676bcdd1-3445-4417-a439-c5dc1bd02536","NarrativeContent_22"
"844","Rationale for Trial Population","<div></div>","5.2","SECTION 5.2","2dc41635-06c8-4e85-be5d-ba6fccc253de","NarrativeContent_23"
"845","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","5.3","SECTION 5.3","0e2a517c-8794-488b-b834-48c88ccc06ed","NarrativeContent_24"
"846","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","5.4","SECTION 5.4","f280204c-f717-46a0-b1e5-a7d97ac9f806","NarrativeContent_25"
"847","Lifestyle Considerations","<div></div>","5.5","SECTION 5.5","6a8112b0-3ebf-44c5-8a28-98335c23650c","NarrativeContent_26"
"848","Meals and Dietary Restrictions","<div></div>","5.5.1","SECTION 5.5.1","c9fe0ef7-b76f-424f-9207-af0cb63ef478","NarrativeContent_27"
"849","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","5.5.2","SECTION 5.5.2","0f5aba6f-ec50-4ad6-bc32-61c48184b4ee","NarrativeContent_28"
"850","Physical Activity","<div></div>","5.5.3","SECTION 5.5.3","50b61868-ef82-4aad-9bfa-e140c1a123fa","NarrativeContent_29"
"851","Other Activity","<div></div>","5.5.4","SECTION 5.5.4","d4eea875-005d-4e67-8138-00304b0341de","NarrativeContent_30"
"852","Screen Failures","<div></div>","5.6","SECTION 5.6","97715cc5-2946-42c2-be87-91b9ed725603","NarrativeContent_31"
"853","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","6","SECTION 6","c9acf071-c2af-409c-a7a9-b1a38bccbe80","NarrativeContent_32"
"854","Description of Trial Intervention","<div></div>","6.1","SECTION 6.1","0d24cabc-316a-4ff5-909e-d3491e1874b9","NarrativeContent_33"
"855","Rationale for Trial Intervention","<div></div>","6.2","SECTION 6.2","f03a2306-5d76-4e57-8ced-8713a1f53874","NarrativeContent_34"
"856","Dosing and Administration","<div></div>","6.3","SECTION 6.3","843529d4-8dff-44ea-baf1-4a54572af043","NarrativeContent_35"
"857","Trial Intervention Dose Modification","<div></div>","6.3.1","SECTION 6.3.1","c6da22fd-04f0-4583-83d9-c65b0387bf09","NarrativeContent_36"
"858","Treatment of Overdose","<div></div>","6.4","SECTION 6.4","ad1e7880-f79a-4a0f-b499-dba9d9ea8b45","NarrativeContent_37"
"859","Preparation, Handling, Storage and Accountability","<div></div>","6.5","SECTION 6.5","3a130717-e0ce-463f-9dd0-0f61909a8299","NarrativeContent_38"
"860","Preparation of Trial Intervention","<div></div>","6.5.1","SECTION 6.5.1","2b160f42-2cc6-450e-ac1a-09860bd7d813","NarrativeContent_39"
"861","Handling and Storage of Trial Intervention","<div></div>","6.5.2","SECTION 6.5.2","9d04e2b8-eac8-47ff-aaf5-f511f560f04d","NarrativeContent_40"
"862","Accountability of Trial Intervention","<div></div>","6.5.3","SECTION 6.5.3","943d9993-8c59-48f6-a0e2-6cdc2b71b577","NarrativeContent_41"
"863","Participant Assignment, Randomisation and Blinding","<div></div>","6.6","SECTION 6.6","c6f239b6-a58b-4f9d-99f1-50def5d06ede","NarrativeContent_42"
"864","Participant Assignment","<div></div>","6.6.1","SECTION 6.6.1","0640be89-d07a-4e59-bb73-4786828e6d8e","NarrativeContent_43"
"865","Randomisation","<div></div>","6.6.2","SECTION 6.6.2","89260781-9f69-4a35-8658-fa2336ada909","NarrativeContent_44"
"866","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","SECTION 6.6.3","663bd341-6c29-40db-8f1e-97eea0c8f977","NarrativeContent_45"
"867","Trial Intervention Compliance","<div></div>","6.7","SECTION 6.7","e9287b9e-a8bd-4522-aff5-a5891f61da93","NarrativeContent_46"
"868","Concomitant Therapy","<div></div>","6.8","SECTION 6.8","4976915d-f17c-4a69-8558-949c8a0a31ec","NarrativeContent_47"
"869","Prohibited Concomitant Therapy","<div></div>","6.8.1","SECTION 6.8.1","b1d17a94-6a9f-457c-88d2-9964ad1e2004","NarrativeContent_48"
"870","Permitted Concomitant Therapy","<div></div>","6.8.2","SECTION 6.8.2","5c988fed-e5be-4024-9205-f0fd3e31a32c","NarrativeContent_49"
"871","Rescue Therapy","<div></div>","6.8.3","SECTION 6.8.3","fd3e88ac-23bc-4e71-b985-e54482a770d9","NarrativeContent_50"
"872","Other Therapy","<div></div>","6.8.4","SECTION 6.8.4","2b1543e1-d1b1-4af9-a1a5-55cf3d531d30","NarrativeContent_51"
"873","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","7","SECTION 7","2b713b01-10e6-469b-ad45-c532d22c1458","NarrativeContent_52"
"874","Discontinuation of Trial Intervention","<div></div>","7.1","SECTION 7.1","03e3c1e6-b100-4581-9ad0-8371f05561a8","NarrativeContent_53"
"875","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","7.1.1","SECTION 7.1.1","386d702a-cddb-4b52-8b6c-c9d76ea4b1c2","NarrativeContent_54"
"876","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","7.1.2","SECTION 7.1.2","eca7c4a8-17d9-4f13-b3e5-df98a46eb157","NarrativeContent_55"
"877","Rechallenge","<div></div>","7.1.3","SECTION 7.1.3","9400282c-fad7-4355-89f0-ffd9a5d09652","NarrativeContent_56"
"878","Participant Withdrawal from the Trial","<div></div>","7.2","SECTION 7.2","efd743a9-5761-4e88-bba7-b9e2d28c547f","NarrativeContent_57"
"879","Lost to Follow-Up","<div></div>","7.3","SECTION 7.3","73a47cee-4725-491b-a113-db38d4878179","NarrativeContent_58"
"880","Trial Stopping Rules","<div></div>","7.4","SECTION 7.4","7c297a8f-d231-4a25-8bdb-5037dfd70eb4","NarrativeContent_59"
"881","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","8","SECTION 8","b71ae734-0582-45b9-8156-38fdf0e511b1","NarrativeContent_60"
"882","Screening/Baseline Assessments and Procedures","<div></div>","8.1","SECTION 8.1","f87a5eb0-547f-4f91-a78c-723d408182a1","NarrativeContent_61"
"883","Efficacy Assessments and Procedures","<div></div>","8.2","SECTION 8.2","f3ee25f9-7919-4f68-b6b0-2f1ee49a9542","NarrativeContent_62"
"884","Safety Assessments and Procedures","<div></div>","8.3","SECTION 8.3","6ab9b483-2435-4f59-81ee-53b7443d4f46","NarrativeContent_63"
"885","Physical Examination","<div></div>","8.3.1","SECTION 8.3.1","0204f3b6-23cf-423e-b163-aac81eccb7da","NarrativeContent_64"
"886","Vital Signs","<div></div>","8.3.2","SECTION 8.3.2","1bc905c9-a199-4b0e-be6e-82661c22be5b","NarrativeContent_65"
"887","Electrocardiograms","<div></div>","8.3.3","SECTION 8.3.3","605cd031-eaa0-4fd2-a823-44f06e8d9187","NarrativeContent_66"
"888","Clinical Laboratory Assessments","<div></div>","8.3.4","SECTION 8.3.4","0e5f285a-f847-4cf5-9164-a84d82f0f041","NarrativeContent_67"
"889","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","8.3.5","SECTION 8.3.5","330386b1-eecd-4fae-9eab-96684a6a9b4d","NarrativeContent_68"
"890","Adverse Events and Serious Adverse Events","<div></div>","8.4","SECTION 8.4","abed4f81-56e6-4e75-9b2b-dfe8c2bc20e7","NarrativeContent_69"
"891","Definitions of AE and SAE","<div></div>","8.4.1","SECTION 8.4.1","e9e539f0-d9d9-401d-af28-d9d7a9121f4c","NarrativeContent_70"
"892","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","8.4.2","SECTION 8.4.2","3cd11d78-73d6-42a3-9341-40d55db518e9","NarrativeContent_71"
"893","Identifying AEs and SAEs","<div></div>","8.4.3","SECTION 8.4.3","3591150e-b054-4592-b592-b4ceeb3067fb","NarrativeContent_72"
"894","Recording of AEs and SAEs","<div></div>","8.4.4","SECTION 8.4.4","5ad088a1-957c-49e8-bfd4-ada887388c23","NarrativeContent_73"
"895","Follow-up of AEs and SAEs","<div></div>","8.4.5","SECTION 8.4.5","68e6bfef-9c06-4715-b104-73109bcac927","NarrativeContent_74"
"896","Reporting of SAEs","<div></div>","8.4.6","SECTION 8.4.6","23d91b4a-b0cb-4ebf-a25d-2e4cfd7c9998","NarrativeContent_75"
"897","Regulatory Reporting Requirements for SAEs","<div></div>","8.4.7","SECTION 8.4.7","13e0c6c4-d781-4557-9931-40590e3f3d83","NarrativeContent_76"
"898","Serious and Unexpected Adverse Reaction Reporting","<div></div>","8.4.8","SECTION 8.4.8","5de1f837-e400-4a66-9072-9eb5b12cb357","NarrativeContent_77"
"899","Adverse Events of Special Interest","<div></div>","8.4.9","SECTION 8.4.9","e570c2cc-9a07-433e-9805-19faf04f4f70","NarrativeContent_78"
"900","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","8.4.10","SECTION 8.4.10","7f3d0f3f-61ce-4fad-94c9-9c5e5e17ac0e","NarrativeContent_79"
"901","Pregnancy and Postpartum Information","<div></div>","8.5","SECTION 8.5","51d8533e-7876-446c-8dc4-67cdd17c9783","NarrativeContent_80"
"902","Participants Who Become Pregnant During the Trial","<div></div>","8.5.1","SECTION 8.5.1","107a4536-8278-4d39-9225-ae3bb19d4221","NarrativeContent_81"
"903","Participants Whose Partners Become Pregnant","<div></div>","8.5.2","SECTION 8.5.2","7bf8fb5e-6c4f-4229-9b68-8a37decc01ee","NarrativeContent_82"
"904","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","8.6","SECTION 8.6","fd00579d-c1db-48cb-9d49-c9f23a5d68b4","NarrativeContent_83"
"905","Definition of Medical Device Product Complaints","<div></div>","8.6.1","SECTION 8.6.1","b2d1f1c0-f59b-4834-9863-7aead575b8fb","NarrativeContent_84"
