"id:ID","label","text","description","name","uuid","id"
"480","","Subject identifier","","ENCOUNTER_START_RULE_1","8bd8d446-d9b2-4e46-bdee-7313e2093ba9","TransitionRule_1"
"481","","completion of screening activities","","ENCOUNTER_START_RULE_1","8c14f582-2436-4209-bafe-b0d0d6eff838","TransitionRule_2"
"482","","subject leaves clinic after connection of ambulatory ECG machine","","ENCOUNTER_START_RULE_2","972f5ca3-1ad7-4944-8a6d-17cd93b7cccb","TransitionRule_3"
"483","","subject has connection of ambulatory ECG machine removed","","ENCOUNTER_START_RULE_3","ab72f49f-79b3-4c75-a68b-eb6af6db6bd1","TransitionRule_4"
"484","","Radomized","","ENCOUNTER_START_RULE_3","27ed5c76-ee71-4bd9-bab6-54ae2099f279","TransitionRule_5"
"485","","End of treatment","","ENCOUNTER_START_RULE_12","a09327c2-745d-47d4-9be4-57b9cccc91c7","TransitionRule_6"
"486","","Informed consent","","ELEMENT_START_RULE_1","1ca7c609-762f-4205-94bd-dc59dd857db5","TransitionRule_7"
"487","","Completion of all screening activities and no more than 2 weeks from informed consent","","ELEMENT_END_RULE_1","ba4c76f2-86bb-450d-8f0a-d837efa25461","TransitionRule_8"
"488","","Administration of first dose","","ELEMENT_START_RULE_2","07095c2c-5443-4ad1-8e09-1fbf55ff61ed","TransitionRule_9"
"489","","End of last scheduled visit on study (including early termination)","","ELEMENT_START_RULE_7","ce199d0e-18f7-4034-b6ab-0665a5a1c27c","TransitionRule_14"
"490","","Completion of all specified followup activities (which vary on a patient-by-patient basis)","","ELEMENT_END_RULE_7","64e1cb7d-069b-4da8-af30-128b8353a802","TransitionRule_15"
"491","","Administration of first dose","","ELEMENT_START_RULE_3","86f67553-08b6-4a00-8797-31237d754821","TransitionRule_10"
"492","","Randomized","","ELEMENT_START_RULE_4","3e7686fa-7b4e-4873-9e30-26f72aad8734","TransitionRule_11"
"493","","Administration of first dose (from patches supplied at Visit 4)","","ELEMENT_START_RULE_5","e055c989-c568-4e71-a502-e91178f992c6","TransitionRule_12"
"494","","Administration of first dose (from patches supplied at Visit 12)","","ELEMENT_START_RULE_6","18e49ddc-3e08-4c6e-ba33-5187d0055f0b","TransitionRule_13"
